"cod_ine","CCAA","value","date","poblacion","per_cienmil"
1,"Andalucía",1,2020-02-27,8414240,0
1,"Andalucía",12,2020-03-02,8414240,0.1
1,"Andalucía",13,2020-03-04,8414240,0.2
1,"Andalucía",21,2020-03-06,8414240,0.2
1,"Andalucía",71,2020-03-10,8414240,0.8
1,"Andalucía",115,2020-03-12,8414240,1.4
1,"Andalucía",269,2020-03-14,8414240,3.2
1,"Andalucía",6,2020-02-28,8414240,0.1
1,"Andalucía",13,2020-03-03,8414240,0.2
1,"Andalucía",12,2020-03-05,8414240,0.1
1,"Andalucía",54,2020-03-09,8414240,0.6
1,"Andalucía",90,2020-03-11,8414240,1.1
1,"Andalucía",219,2020-03-13,8414240,2.6
2,"Aragón",80,2020-03-13,1319291,6.1
2,"Aragón",0,2020-02-27,1319291,0
2,"Aragón",0,2020-03-02,1319291,0
2,"Aragón",0,2020-03-04,1319291,0
2,"Aragón",6,2020-03-06,1319291,0.5
2,"Aragón",38,2020-03-10,1319291,2.9
2,"Aragón",64,2020-03-12,1319291,4.9
2,"Aragón",80,2020-03-14,1319291,6.1
2,"Aragón",0,2020-02-28,1319291,0
2,"Aragón",0,2020-03-03,1319291,0
2,"Aragón",1,2020-03-05,1319291,0.1
2,"Aragón",13,2020-03-09,1319291,1
2,"Aragón",45,2020-03-11,1319291,3.4
3,"Asturias",32,2020-03-11,1022800,3.1
3,"Asturias",67,2020-03-13,1022800,6.6
3,"Asturias",0,2020-02-27,1022800,0
3,"Asturias",1,2020-03-02,1022800,0.1
3,"Asturias",2,2020-03-04,1022800,0.2
3,"Asturias",5,2020-03-06,1022800,0.5
3,"Asturias",22,2020-03-10,1022800,2.2
3,"Asturias",47,2020-03-12,1022800,4.6
3,"Asturias",92,2020-03-14,1022800,9
3,"Asturias",0,2020-02-28,1022800,0
3,"Asturias",1,2020-03-03,1022800,0.1
3,"Asturias",5,2020-03-05,1022800,0.5
3,"Asturias",7,2020-03-09,1022800,0.7
4,"Baleares",11,2020-03-09,1149460,1
4,"Baleares",16,2020-03-11,1149460,1.4
4,"Baleares",30,2020-03-13,1149460,2.6
4,"Baleares",1,2020-02-27,1149460,0.1
4,"Baleares",2,2020-03-02,1149460,0.2
4,"Baleares",5,2020-03-04,1149460,0.4
4,"Baleares",6,2020-03-06,1149460,0.5
4,"Baleares",13,2020-03-10,1149460,1.1
4,"Baleares",22,2020-03-12,1149460,1.9
4,"Baleares",28,2020-03-14,1149460,2.4
4,"Baleares",1,2020-02-28,1149460,0.1
4,"Baleares",2,2020-03-03,1149460,0.2
4,"Baleares",6,2020-03-05,1149460,0.5
5,"Canarias",8,2020-03-05,2153389,0.4
5,"Canarias",22,2020-03-09,2153389,1
5,"Canarias",37,2020-03-11,2153389,1.7
5,"Canarias",70,2020-03-13,2153389,3.3
5,"Canarias",6,2020-02-27,2153389,0.3
5,"Canarias",7,2020-03-02,2153389,0.3
5,"Canarias",7,2020-03-04,2153389,0.3
5,"Canarias",11,2020-03-06,2153389,0.5
5,"Canarias",25,2020-03-10,2153389,1.2
5,"Canarias",51,2020-03-12,2153389,2.4
5,"Canarias",90,2020-03-14,2153389,4.2
5,"Canarias",6,2020-02-28,2153389,0.3
5,"Canarias",7,2020-03-03,2153389,0.3
6,"Cantabria",10,2020-03-03,581078,1.7
6,"Cantabria",10,2020-03-05,581078,1.7
6,"Cantabria",12,2020-03-09,581078,2.1
6,"Cantabria",12,2020-03-11,581078,2.1
6,"Cantabria",29,2020-03-13,581078,5
6,"Cantabria",0,2020-02-27,581078,0
6,"Cantabria",10,2020-03-02,581078,1.7
6,"Cantabria",10,2020-03-04,581078,1.7
6,"Cantabria",10,2020-03-06,581078,1.7
6,"Cantabria",12,2020-03-10,581078,2.1
6,"Cantabria",16,2020-03-12,581078,2.8
6,"Cantabria",31,2020-03-14,581078,5.3
6,"Cantabria",0,2020-02-28,581078,0
7,"Castilla-La Mancha",0,2020-02-28,2399548,0
7,"Castilla-La Mancha",7,2020-03-03,2399548,0.3
7,"Castilla-La Mancha",13,2020-03-05,2399548,0.5
7,"Castilla-La Mancha",26,2020-03-09,2399548,1.1
7,"Castilla-La Mancha",71,2020-03-11,2399548,3
7,"Castilla-La Mancha",194,2020-03-13,2399548,8.1
7,"Castilla-La Mancha",0,2020-02-27,2399548,0
7,"Castilla-La Mancha",3,2020-03-02,2399548,0.1
7,"Castilla-La Mancha",12,2020-03-04,2399548,0.5
7,"Castilla-La Mancha",15,2020-03-06,2399548,0.6
7,"Castilla-La Mancha",39,2020-03-10,2399548,1.6
7,"Castilla-La Mancha",115,2020-03-12,2399548,4.8
7,"Castilla-La Mancha",289,2020-03-14,2399548,12
8,"Castilla y León",223,2020-03-14,2032863,11
8,"Castilla y León",2,2020-02-28,2032863,0.1
8,"Castilla y León",8,2020-03-03,2032863,0.4
8,"Castilla y León",11,2020-03-05,2032863,0.5
8,"Castilla y León",23,2020-03-09,2032863,1.1
8,"Castilla y León",71,2020-03-11,2032863,3.5
8,"Castilla y León",169,2020-03-13,2032863,8.3
8,"Castilla y León",0,2020-02-27,2032863,0
8,"Castilla y León",3,2020-03-02,2032863,0.1
8,"Castilla y León",11,2020-03-04,2032863,0.5
8,"Castilla y León",14,2020-03-06,2032863,0.7
8,"Castilla y León",56,2020-03-10,2032863,2.8
8,"Castilla y León",92,2020-03-12,2032863,4.5
9,"Cataluña",260,2020-03-12,7675217,3.4
9,"Cataluña",509,2020-03-14,7675217,6.6
9,"Cataluña",3,2020-02-28,7675217,0
9,"Cataluña",15,2020-03-03,7675217,0.2
9,"Cataluña",24,2020-03-05,7675217,0.3
9,"Cataluña",75,2020-03-09,7675217,1
9,"Cataluña",156,2020-03-11,7675217,2
9,"Cataluña",316,2020-03-13,7675217,4.1
9,"Cataluña",2,2020-02-27,7675217,0
9,"Cataluña",15,2020-03-02,7675217,0.2
9,"Cataluña",15,2020-03-04,7675217,0.2
9,"Cataluña",24,2020-03-06,7675217,0.3
9,"Cataluña",124,2020-03-10,7675217,1.6
10,"C. Valenciana",30,2020-03-06,5003769,0.6
10,"C. Valenciana",50,2020-03-10,5003769,1
10,"C. Valenciana",76,2020-03-12,5003769,1.5
10,"C. Valenciana",130,2020-03-14,5003769,2.6
10,"C. Valenciana",8,2020-02-28,5003769,0.2
10,"C. Valenciana",15,2020-03-03,5003769,0.3
10,"C. Valenciana",19,2020-03-05,5003769,0.4
10,"C. Valenciana",37,2020-03-09,5003769,0.7
10,"C. Valenciana",65,2020-03-11,5003769,1.3
10,"C. Valenciana",94,2020-03-13,5003769,1.9
10,"C. Valenciana",2,2020-02-27,5003769,0
10,"C. Valenciana",15,2020-03-02,5003769,0.3
10,"C. Valenciana",19,2020-03-04,5003769,0.4
11,"Extremadura",6,2020-03-04,1067710,0.6
11,"Extremadura",6,2020-03-06,1067710,0.6
11,"Extremadura",8,2020-03-10,1067710,0.7
11,"Extremadura",19,2020-03-12,1067710,1.8
11,"Extremadura",66,2020-03-14,1067710,6.2
11,"Extremadura",0,2020-02-28,1067710,0
11,"Extremadura",6,2020-03-03,1067710,0.6
11,"Extremadura",6,2020-03-05,1067710,0.6
11,"Extremadura",7,2020-03-09,1067710,0.7
11,"Extremadura",9,2020-03-11,1067710,0.8
11,"Extremadura",39,2020-03-13,1067710,3.7
11,"Extremadura",0,2020-02-27,1067710,0
11,"Extremadura",6,2020-03-02,1067710,0.6
12,"Galicia",0,2020-03-02,2699499,0
12,"Galicia",1,2020-03-04,2699499,0
12,"Galicia",3,2020-03-06,2699499,0.1
12,"Galicia",22,2020-03-10,2699499,0.8
12,"Galicia",35,2020-03-12,2699499,1.3
12,"Galicia",115,2020-03-14,2699499,4.3
12,"Galicia",0,2020-02-28,2699499,0
12,"Galicia",0,2020-03-03,2699499,0
12,"Galicia",1,2020-03-05,2699499,0
12,"Galicia",6,2020-03-09,2699499,0.2
12,"Galicia",39,2020-03-11,2699499,1.4
12,"Galicia",85,2020-03-13,2699499,3.1
12,"Galicia",0,2020-02-27,2699499,0
13,"Madrid",4,2020-02-27,6663394,0.1
13,"Madrid",29,2020-03-02,6663394,0.4
13,"Madrid",70,2020-03-04,6663394,1.1
13,"Madrid",137,2020-03-06,6663394,2.1
13,"Madrid",782,2020-03-10,6663394,11.7
13,"Madrid",1388,2020-03-12,6663394,20.8
13,"Madrid",2940,2020-03-14,6663394,44.1
13,"Madrid",5,2020-02-28,6663394,0.1
13,"Madrid",49,2020-03-03,6663394,0.7
13,"Madrid",90,2020-03-05,6663394,1.4
13,"Madrid",469,2020-03-09,6663394,7
13,"Madrid",1024,2020-03-11,6663394,15.4
13,"Madrid",1990,2020-03-13,6663394,29.9
14,"Murcia",11,2020-03-11,1493898,0.7
14,"Murcia",35,2020-03-13,1493898,2.3
14,"Murcia",0,2020-02-27,1493898,0
14,"Murcia",0,2020-03-02,1493898,0
14,"Murcia",0,2020-03-04,1493898,0
14,"Murcia",0,2020-03-06,1493898,0
14,"Murcia",9,2020-03-10,1493898,0.6
14,"Murcia",26,2020-03-12,1493898,1.7
14,"Murcia",47,2020-03-14,1493898,3.1
14,"Murcia",0,2020-02-28,1493898,0
14,"Murcia",0,2020-03-03,1493898,0
14,"Murcia",0,2020-03-05,1493898,0
14,"Murcia",4,2020-03-09,1493898,0.3
15,"Navarra",3,2020-03-09,654214,0.5
15,"Navarra",46,2020-03-11,654214,7
15,"Navarra",130,2020-03-13,654214,19.9
15,"Navarra",0,2020-02-27,654214,0
15,"Navarra",1,2020-03-02,654214,0.2
15,"Navarra",3,2020-03-04,654214,0.5
15,"Navarra",3,2020-03-06,654214,0.5
15,"Navarra",12,2020-03-10,654214,1.8
15,"Navarra",73,2020-03-12,654214,11.2
15,"Navarra",146,2020-03-14,654214,22.3
15,"Navarra",0,2020-02-28,654214,0
15,"Navarra",1,2020-03-03,654214,0.2
15,"Navarra",3,2020-03-05,654214,0.5
16,"País Vasco",17,2020-03-05,2207776,0.8
16,"País Vasco",149,2020-03-09,2207776,6.7
16,"País Vasco",225,2020-03-11,2207776,10.2
16,"País Vasco",417,2020-03-13,2207776,18.9
16,"País Vasco",0,2020-02-27,2207776,0
16,"País Vasco",9,2020-03-02,2207776,0.4
16,"País Vasco",17,2020-03-04,2207776,0.8
16,"País Vasco",45,2020-03-06,2207776,2
16,"País Vasco",195,2020-03-10,2207776,8.8
16,"País Vasco",346,2020-03-12,2207776,15.7
16,"País Vasco",417,2020-03-14,2207776,18.9
16,"País Vasco",0,2020-02-28,2207776,0
16,"País Vasco",13,2020-03-03,2207776,0.6
17,"La Rioja",3,2020-03-03,316798,0.9
17,"La Rioja",11,2020-03-05,316798,3.5
17,"La Rioja",81,2020-03-09,316798,25.6
17,"La Rioja",179,2020-03-11,316798,56.5
17,"La Rioja",243,2020-03-13,316798,76.7
17,"La Rioja",0,2020-02-27,316798,0
17,"La Rioja",1,2020-03-02,316798,0.3
17,"La Rioja",7,2020-03-04,316798,2.2
17,"La Rioja",29,2020-03-06,316798,9.2
17,"La Rioja",144,2020-03-10,316798,45.5
17,"La Rioja",205,2020-03-12,316798,64.7
17,"La Rioja",278,2020-03-14,316798,87.8
17,"La Rioja",0,2020-02-28,316798,0
18,"Ceuta",0,2020-03-10,84777,0
18,"Ceuta",0,2020-03-12,84777,0
18,"Ceuta",0,2020-03-14,84777,0
18,"Ceuta",0,2020-02-28,84777,0
18,"Ceuta",0,2020-03-03,84777,0
18,"Ceuta",0,2020-03-05,84777,0
18,"Ceuta",0,2020-03-09,84777,0
18,"Ceuta",0,2020-03-11,84777,0
18,"Ceuta",0,2020-03-13,84777,0
18,"Ceuta",0,2020-02-27,84777,0
18,"Ceuta",0,2020-03-02,84777,0
18,"Ceuta",0,2020-03-04,84777,0
18,"Ceuta",0,2020-03-06,84777,0
19,"Melilla",2,2020-03-13,86487,2.3
19,"Melilla",0,2020-02-27,86487,0
19,"Melilla",0,2020-03-02,86487,0
19,"Melilla",0,2020-03-04,86487,0
19,"Melilla",0,2020-03-06,86487,0
19,"Melilla",0,2020-03-10,86487,0
19,"Melilla",0,2020-03-12,86487,0
19,"Melilla",3,2020-03-14,86487,3.5
19,"Melilla",0,2020-02-28,86487,0
19,"Melilla",0,2020-03-03,86487,0
19,"Melilla",0,2020-03-05,86487,0
19,"Melilla",0,2020-03-09,86487,0
19,"Melilla",0,2020-03-11,86487,0
