"CCAA","value","date","poblacion","per_cienmil"
"Andalucía",4,2020-03-12,8414240,0.05
"Andalucía",1,2020-03-04,8414240,0.01
"Andalucía",8,2020-03-13,8414240,0.1
"Andalucía",1,2020-03-10,8414240,0.01
"Andalucía",1,2020-03-05,8414240,0.01
"Andalucía",1,2020-03-09,8414240,0.01
"Andalucía",1,2020-03-06,8414240,0.01
"Andalucía",3,2020-03-11,8414240,0.04
"Aragón",3,2020-03-13,1319291,0.23
"Aragón",3,2020-03-12,1319291,0.23
"Aragón",3,2020-03-10,1319291,0.23
"Aragón",3,2020-03-11,1319291,0.23
"Aragón",1,2020-03-06,1319291,0.08
"Aragón",1,2020-03-05,1319291,0.08
"Aragón",0,2020-03-04,1319291,0
"Aragón",1,2020-03-09,1319291,0.08
"Asturias",2,2020-03-12,1022800,0.2
"Asturias",2,2020-03-13,1022800,0.2
"Asturias",2,2020-03-10,1022800,0.2
"Asturias",2,2020-03-06,1022800,0.2
"Asturias",2,2020-03-11,1022800,0.2
"Asturias",1,2020-03-04,1022800,0.1
"Asturias",2,2020-03-09,1022800,0.2
"Asturias",2,2020-03-05,1022800,0.2
"Baleares",1,2020-03-10,1149460,0.09
"Baleares",2,2020-03-12,1149460,0.17
"Baleares",1,2020-03-11,1149460,0.09
"Baleares",2,2020-03-13,1149460,0.17
"Baleares",0,2020-03-04,1149460,0
"Baleares",0,2020-03-09,1149460,0
"Baleares",0,2020-03-06,1149460,0
"Baleares",0,2020-03-05,1149460,0
"C. Valenciana",1,2020-03-10,5003769,0.02
"C. Valenciana",2,2020-03-13,5003769,0.04
"C. Valenciana",2,2020-03-12,5003769,0.04
"C. Valenciana",1,2020-03-09,5003769,0.02
"C. Valenciana",1,2020-03-11,5003769,0.02
"C. Valenciana",1,2020-03-06,5003769,0.02
"C. Valenciana",0,2020-03-05,5003769,0
"C. Valenciana",0,2020-03-04,5003769,0
"Canarias",0,2020-03-06,2153389,0
"Canarias",1,2020-03-10,2153389,0.05
"Canarias",0,2020-03-09,2153389,0
"Canarias",1,2020-03-11,2153389,0.05
"Canarias",2,2020-03-13,2153389,0.09
"Canarias",3,2020-03-12,2153389,0.14
"Canarias",0,2020-03-05,2153389,0
"Canarias",0,2020-03-04,2153389,0
"Cantabria",0,2020-03-04,581078,0
"Cantabria",0,2020-03-06,581078,0
"Cantabria",0,2020-03-10,581078,0
"Cantabria",0,2020-03-12,581078,0
"Cantabria",0,2020-03-09,581078,0
"Cantabria",0,2020-03-11,581078,0
"Cantabria",0,2020-03-13,581078,0
"Cantabria",0,2020-03-05,581078,0
"Castilla y León",8,2020-03-13,2032863,0.39
"Castilla y León",1,2020-03-06,2032863,0.05
"Castilla y León",4,2020-03-12,2032863,0.2
"Castilla y León",1,2020-03-05,2032863,0.05
"Castilla y León",1,2020-03-04,2032863,0.05
"Castilla y León",2,2020-03-11,2032863,0.1
"Castilla y León",2,2020-03-10,2032863,0.1
"Castilla y León",1,2020-03-09,2032863,0.05
"Castilla-La Mancha",2,2020-03-10,2399548,0.08
"Castilla-La Mancha",9,2020-03-12,2399548,0.38
"Castilla-La Mancha",1,2020-03-04,2399548,0.04
"Castilla-La Mancha",1,2020-03-06,2399548,0.04
"Castilla-La Mancha",10,2020-03-13,2399548,0.42
"Castilla-La Mancha",1,2020-03-05,2399548,0.04
"Castilla-La Mancha",2,2020-03-09,2399548,0.08
"Castilla-La Mancha",5,2020-03-11,2399548,0.21
"Cataluña",0,2020-03-12,7675217,0
"Cataluña",25,2020-03-13,7675217,0.33
"Cataluña",0,2020-03-04,7675217,0
"Cataluña",0,2020-03-10,7675217,0
"Cataluña",0,2020-03-11,7675217,0
"Cataluña",0,2020-03-09,7675217,0
"Cataluña",0,2020-03-06,7675217,0
"Cataluña",0,2020-03-05,7675217,0
"Ceuta",0,2020-03-12,84777,0
"Ceuta",0,2020-03-10,84777,0
"Ceuta",0,2020-03-11,84777,0
"Ceuta",0,2020-03-13,84777,0
"Ceuta",0,2020-03-06,84777,0
"Ceuta",0,2020-03-09,84777,0
"Ceuta",0,2020-03-05,84777,0
"Ceuta",0,2020-03-04,84777,0
"Extremadura",0,2020-03-06,1067710,0
"Extremadura",1,2020-03-12,1067710,0.09
"Extremadura",1,2020-03-11,1067710,0.09
"Extremadura",0,2020-03-10,1067710,0
"Extremadura",0,2020-03-05,1067710,0
"Extremadura",0,2020-03-09,1067710,0
"Extremadura",0,2020-03-04,1067710,0
"Extremadura",1,2020-03-13,1067710,0.09
"Galicia",0,2020-03-06,2699499,0
"Galicia",2,2020-03-10,2699499,0.07
"Galicia",2,2020-03-12,2699499,0.07
"Galicia",0,2020-03-04,2699499,0
"Galicia",2,2020-03-11,2699499,0.07
"Galicia",2,2020-03-13,2699499,0.07
"Galicia",0,2020-03-05,2699499,0
"Galicia",0,2020-03-09,2699499,0
"La Rioja",0,2020-03-04,316798,0
"La Rioja",0,2020-03-06,316798,0
"La Rioja",1,2020-03-10,316798,0.32
"La Rioja",1,2020-03-12,316798,0.32
"La Rioja",1,2020-03-09,316798,0.32
"La Rioja",1,2020-03-11,316798,0.32
"La Rioja",2,2020-03-13,316798,0.63
"La Rioja",0,2020-03-05,316798,0
"Madrid",135,2020-03-12,6663394,2.03
"Madrid",2,2020-03-04,6663394,0.03
"Madrid",180,2020-03-13,6663394,2.7
"Madrid",77,2020-03-10,6663394,1.16
"Madrid",2,2020-03-05,6663394,0.03
"Madrid",53,2020-03-09,6663394,0.8
"Madrid",2,2020-03-06,6663394,0.03
"Madrid",102,2020-03-11,6663394,1.53
"Melilla",0,2020-03-13,86487,0
"Melilla",0,2020-03-12,86487,0
"Melilla",0,2020-03-10,86487,0
"Melilla",0,2020-03-11,86487,0
"Melilla",0,2020-03-06,86487,0
"Melilla",0,2020-03-05,86487,0
"Melilla",0,2020-03-04,86487,0
"Melilla",0,2020-03-09,86487,0
"Murcia",1,2020-03-12,1493898,0.07
"Murcia",1,2020-03-13,1493898,0.07
"Murcia",0,2020-03-10,1493898,0
"Murcia",0,2020-03-06,1493898,0
