Fecha;Territorio;Medida;Valor;
11/09/2020;Andalucía;Confirmados PCR;40124;
11/09/2020;Andalucía;Confirmados PCR 14 días;11002;
11/09/2020;Andalucía;Confirmados PCR 7 días;5032;
11/09/2020;Andalucía;Total confirmados ;45030;
11/09/2020;Andalucía;Hospitalizados;8049;
11/09/2020;Andalucía;Total UCI;918;
11/09/2020;Andalucía;Fallecidos;1589;
11/09/2020;Andalucía;Curados;20162;
11/09/2020;Almería;Confirmados PCR;6189;
11/09/2020;Almería;Confirmados PCR 14 días;1715;
11/09/2020;Almería;Confirmados PCR 7 días;785;
11/09/2020;Almería;Total confirmados ;6467;
11/09/2020;Almería;Hospitalizados;626;
11/09/2020;Almería;Total UCI;87;
11/09/2020;Almería;Fallecidos;96;
11/09/2020;Almería;Curados;2839;
11/09/2020;Cádiz;Confirmados PCR;4349;
11/09/2020;Cádiz;Confirmados PCR 14 días;1407;
11/09/2020;Cádiz;Confirmados PCR 7 días;636;
11/09/2020;Cádiz;Total confirmados ;4677;
11/09/2020;Cádiz;Hospitalizados;763;
11/09/2020;Cádiz;Total UCI;98;
11/09/2020;Cádiz;Fallecidos;192;
11/09/2020;Cádiz;Curados;1977;
11/09/2020;Córdoba;Confirmados PCR;3765;
11/09/2020;Córdoba;Confirmados PCR 14 días;967;
11/09/2020;Córdoba;Confirmados PCR 7 días;412;
11/09/2020;Córdoba;Total confirmados ;4171;
11/09/2020;Córdoba;Hospitalizados;705;
11/09/2020;Córdoba;Total UCI;91;
11/09/2020;Córdoba;Fallecidos;124;
11/09/2020;Córdoba;Curados;1926;
11/09/2020;Granada;Confirmados PCR;5343;
11/09/2020;Granada;Confirmados PCR 14 días;1188;
11/09/2020;Granada;Confirmados PCR 7 días;586;
11/09/2020;Granada;Total confirmados ;6149;
11/09/2020;Granada;Hospitalizados;1399;
11/09/2020;Granada;Total UCI;143;
11/09/2020;Granada;Fallecidos;303;
11/09/2020;Granada;Curados;3072;
11/09/2020;Huelva;Confirmados PCR;877;
11/09/2020;Huelva;Confirmados PCR 14 días;228;
11/09/2020;Huelva;Confirmados PCR 7 días;138;
11/09/2020;Huelva;Total confirmados ;1004;
11/09/2020;Huelva;Hospitalizados;238;
11/09/2020;Huelva;Total UCI;33;
11/09/2020;Huelva;Fallecidos;52;
11/09/2020;Huelva;Curados;532;
11/09/2020;Jaén;Confirmados PCR;2887;
11/09/2020;Jaén;Confirmados PCR 14 días;737;
11/09/2020;Jaén;Confirmados PCR 7 días;358;
11/09/2020;Jaén;Total confirmados ;3384;
11/09/2020;Jaén;Hospitalizados;859;
11/09/2020;Jaén;Total UCI;100;
11/09/2020;Jaén;Fallecidos;197;
11/09/2020;Jaén;Curados;2133;
11/09/2020;Málaga;Confirmados PCR;10503;
11/09/2020;Málaga;Confirmados PCR 14 días;2987;
11/09/2020;Málaga;Confirmados PCR 7 días;1244;
11/09/2020;Málaga;Total confirmados ;12293;
11/09/2020;Málaga;Hospitalizados;1976;
11/09/2020;Málaga;Total UCI;192;
11/09/2020;Málaga;Fallecidos;316;
11/09/2020;Málaga;Curados;4449;
11/09/2020;Sevilla;Confirmados PCR;6211;
11/09/2020;Sevilla;Confirmados PCR 14 días;1773;
11/09/2020;Sevilla;Confirmados PCR 7 días;873;
11/09/2020;Sevilla;Total confirmados ;6885;
11/09/2020;Sevilla;Hospitalizados;1483;
11/09/2020;Sevilla;Total UCI;174;
11/09/2020;Sevilla;Fallecidos;309;
11/09/2020;Sevilla;Curados;3234;
10/09/2020;Andalucía;Confirmados PCR;38882;
10/09/2020;Andalucía;Confirmados PCR 14 días;10837;
10/09/2020;Andalucía;Confirmados PCR 7 días;4699;
10/09/2020;Andalucía;Total confirmados ;43783;
10/09/2020;Andalucía;Hospitalizados;7972;
10/09/2020;Andalucía;Total UCI;913;
10/09/2020;Andalucía;Fallecidos;1582;
10/09/2020;Andalucía;Curados;20095;
10/09/2020;Almería;Confirmados PCR;6092;
10/09/2020;Almería;Confirmados PCR 14 días;1823;
10/09/2020;Almería;Confirmados PCR 7 días;818;
10/09/2020;Almería;Total confirmados ;6370;
10/09/2020;Almería;Hospitalizados;617;
10/09/2020;Almería;Total UCI;86;
10/09/2020;Almería;Fallecidos;95;
10/09/2020;Almería;Curados;2826;
10/09/2020;Cádiz;Confirmados PCR;4213;
10/09/2020;Cádiz;Confirmados PCR 14 días;1402;
10/09/2020;Cádiz;Confirmados PCR 7 días;631;
10/09/2020;Cádiz;Total confirmados ;4541;
10/09/2020;Cádiz;Hospitalizados;762;
10/09/2020;Cádiz;Total UCI;98;
10/09/2020;Cádiz;Fallecidos;192;
10/09/2020;Cádiz;Curados;1973;
10/09/2020;Córdoba;Confirmados PCR;3694;
10/09/2020;Córdoba;Confirmados PCR 14 días;965;
10/09/2020;Córdoba;Confirmados PCR 7 días;402;
10/09/2020;Córdoba;Total confirmados ;4099;
10/09/2020;Córdoba;Hospitalizados;696;
10/09/2020;Córdoba;Total UCI;91;
10/09/2020;Córdoba;Fallecidos;124;
10/09/2020;Córdoba;Curados;1916;
10/09/2020;Granada;Confirmados PCR;5200;
10/09/2020;Granada;Confirmados PCR 14 días;1141;
10/09/2020;Granada;Confirmados PCR 7 días;539;
10/09/2020;Granada;Total confirmados ;6006;
10/09/2020;Granada;Hospitalizados;1389;
10/09/2020;Granada;Total UCI;142;
10/09/2020;Granada;Fallecidos;303;
10/09/2020;Granada;Curados;3052;
10/09/2020;Huelva;Confirmados PCR;851;
10/09/2020;Huelva;Confirmados PCR 14 días;224;
10/09/2020;Huelva;Confirmados PCR 7 días;119;
10/09/2020;Huelva;Total confirmados ;978;
10/09/2020;Huelva;Hospitalizados;237;
10/09/2020;Huelva;Total UCI;33;
10/09/2020;Huelva;Fallecidos;52;
10/09/2020;Huelva;Curados;523;
10/09/2020;Jaén;Confirmados PCR;2795;
10/09/2020;Jaén;Confirmados PCR 14 días;706;
10/09/2020;Jaén;Confirmados PCR 7 días;343;
10/09/2020;Jaén;Total confirmados ;3292;
10/09/2020;Jaén;Hospitalizados;852;
10/09/2020;Jaén;Total UCI;100;
10/09/2020;Jaén;Fallecidos;196;
10/09/2020;Jaén;Curados;2132;
10/09/2020;Málaga;Confirmados PCR;10025;
10/09/2020;Málaga;Confirmados PCR 14 días;2845;
10/09/2020;Málaga;Confirmados PCR 7 días;992;
10/09/2020;Málaga;Total confirmados ;11811;
10/09/2020;Málaga;Hospitalizados;1950;
10/09/2020;Málaga;Total UCI;190;
10/09/2020;Málaga;Fallecidos;315;
10/09/2020;Málaga;Curados;4439;
10/09/2020;Sevilla;Confirmados PCR;6012;
10/09/2020;Sevilla;Confirmados PCR 14 días;1731;
10/09/2020;Sevilla;Confirmados PCR 7 días;855;
10/09/2020;Sevilla;Total confirmados ;6686;
10/09/2020;Sevilla;Hospitalizados;1469;
10/09/2020;Sevilla;Total UCI;173;
10/09/2020;Sevilla;Fallecidos;305;
10/09/2020;Sevilla;Curados;3234;
09/09/2020;Andalucía;Confirmados PCR;37905;
09/09/2020;Andalucía;Confirmados PCR 14 días;10864;
09/09/2020;Andalucía;Confirmados PCR 7 días;4775;
09/09/2020;Andalucía;Total confirmados ;42805;
09/09/2020;Andalucía;Hospitalizados;7874;
09/09/2020;Andalucía;Total UCI;903;
