"date","province","ccaa","new_cases","PCR","TestAc","activos","hospitalized","intensive_care","deceased","cases_accumulated","cases_accumulated_PCR","recovered","source_name","source","comments"
"2020-03-03","Zaragoza","Aragón","","","","","","0","0","0","","","Gobierno de Aragón","http://www.aragonhoy.net/index.php/mod.noticias/mem.detalle/relmenu.9/id.256887",""
"2020-03-04","Zaragoza","Aragón","","","","","","0","0","1","","","Gobierno de Aragón","http://www.aragonhoy.net/index.php/mod.noticias/mem.detalle/relmenu.9/id.256887",""
"2020-03-05","Zaragoza","Aragón","","","","","","","0","6","","","Gobierno de Aragón","http://www.aragonhoy.net/index.php/mod.noticias/mem.detalle/relmenu.9/id.256994",""
"2020-03-06","Zaragoza","Aragón","","","","8","5","0","1","9","","","Gobierno de Aragón","http://www.aragonhoy.net/index.php/mod.noticias/mem.detalle/relmenu.9/id.256994",""
"2020-03-07","Zaragoza","Aragón","","","","10","8","0","1","11","","","Gobierno de Aragón","http://www.aragonhoy.net/index.php/mod.noticias/mem.detalle/relmenu.9/id.257000",""
"2020-03-08","Zaragoza","Aragón","","","","19","13","3","2","21","","","Gobierno de Aragón","http://www.aragonhoy.net/index.php/mod.noticias/mem.detalle/relmenu.9/id.257023",""
"2020-03-09","Teruel","Aragón","","","","","","","0","0","","","Lacomarca.net","https://www.lacomarca.net/tres-casos-coronavirus-residencia-ancianos-provincia-teruel/",""
"2020-03-09","Zaragoza","Aragón","","","","28","14","","2","30","","","Gobierno de Aragón","http://www.aragonhoy.net/index.php/mod.noticias/mem.detalle/relmenu.9/id.257068",""
"2020-03-10","Teruel","Aragón","","","","","3","","0","3","","","Lacomarca.net","https://www.lacomarca.net/tres-casos-coronavirus-residencia-ancianos-provincia-teruel/",""
"2020-03-10","Zaragoza","Aragón","","","","33","16","","3","36","","","Gobierno de Aragón","http://www.aragonhoy.net/index.php/mod.noticias/mem.detalle/relmenu.9/id.257233",""
"2020-03-11","Huesca","Aragón","","","","","","","0","0","","","Heraldo.es","https://www.heraldo.es/noticias/aragon/huesca/2020/03/12/el-concejal-de-vox-en-huesca-primer-caso-de-coronavirus-conocido-en-la-provincia-1363617.html",""
"2020-03-11","Teruel","Aragón","","","","3","3","","0","3","","","Gobierno de Aragón","http://www.aragonhoy.net/index.php/mod.noticias/mem.detalle/relmenu.9/id.257332",""
"2020-03-11","Zaragoza","Aragón","","","","40","18","","6","46","","","Gobierno de Aragón","http://www.aragonhoy.net/index.php/mod.noticias/mem.detalle/relmenu.9/id.257332",""
"2020-03-12","Huesca","Aragón","","","","","","","0","1","","","Heraldo.es","https://www.heraldo.es/noticias/aragon/huesca/2020/03/12/el-concejal-de-vox-en-huesca-primer-caso-de-coronavirus-conocido-en-la-provincia-1363617.html",""
"2020-03-12","Teruel","Aragón","","","","","","","0","4","","","diariodeteruel.es","https://www.diariodeteruel.es/noticia.asp?notid=1022484",""
"2020-03-12","Zaragoza","Aragón","","","","54","","","6","60","","","RTVE","Mapa de RTVE",""
"2020-03-13","Huesca","Aragón","","","","","","","0","1","","","RTVE","Mapa de RTVE",""
"2020-03-13","Teruel","Aragón","","","","","","","0","4","","","RTVE","Mapa de RTVE",""
"2020-03-13","Zaragoza","Aragón","","","","68","","","7","75","","","RTVE","Mapa de RTVE",""
"2020-03-14","Huesca","Aragón","","","","","","","0","1","","","RTVE","Mapa de RTVE",""
"2020-03-14","Teruel","Aragón","","","","","","","0","4","","","RTVE","Mapa de RTVE",""
"2020-03-14","Zaragoza","Aragón","","","","109","","","7","116","","","RTVE","Mapa de RTVE y http://aragonhoy.net/index.php/mod.noticias/mem.detalle/area.1050/id.257447",""
"2020-03-15","Huesca","Aragón","","","","","","","0","3","","","diariodelaltoaragon.es","https://www.diariodelaltoaragon.es/NoticiasDetalle.aspx?Id=1199912",""
"2020-03-15","Teruel","Aragón","","","","","","","0","15","","","RTVE","Mapa de RTVE",""
"2020-03-15","Zaragoza","Aragón","","","","123","","","7","130","","","RTVE","Mapa de RTVE y http://aragonhoy.net/index.php/mod.noticias/mem.detalle/area.1050/id.257489",""
"2020-03-16","Huesca","Aragón","","","","","","","0","14","","","Gobierno de Aragón","http://www.aragonhoy.net/index.php/mod.noticias/mem.detalle/id.257548",""
"2020-03-16","Teruel","Aragón","","","","","","","0","15","","","Gobierno de Aragón","http://www.aragonhoy.net/index.php/mod.noticias/mem.detalle/id.257549",""
"2020-03-16","Zaragoza","Aragón","","","","134","","","11","145","","","Gobierno de Aragón","http://www.aragonhoy.net/index.php/mod.noticias/mem.detalle/id.257547",""
"2020-03-17","Huesca","Aragón","","","","","","","0","17","","","Gobierno de Aragón","http://www.aragonhoy.net/index.php/mod.noticias/mem.detalle/id.257601",""
"2020-03-17","Teruel","Aragón","","","","","","","1","24","","","Gobierno de Aragón","http://www.aragonhoy.net/index.php/mod.noticias/mem.detalle/id.257601 y https://www.diariodeteruel.es/noticia.asp?notid=1022624",""
"2020-03-17","Zaragoza","Aragón","","","","152","","","11","163","","","Gobierno de Aragón","http://www.aragonhoy.net/index.php/mod.noticias/mem.detalle/id.257601",""
"2020-03-18","Huesca","Aragón","","","","","","","0","19","","","Gobierno de Aragón","http://www.aragonhoy.net/index.php/mod.noticias/mem.detalle/id.257646",""
"2020-03-18","Teruel","Aragón","","","","","","","1","24","","","Gobierno de Aragón","http://www.aragonhoy.net/index.php/mod.noticias/mem.detalle/id.257646",""
"2020-03-18","Zaragoza","Aragón","","","","168","","","12","180","","","Gobierno de Aragón","http://www.aragonhoy.net/index.php/mod.noticias/mem.detalle/id.257646",""
"2020-03-19","Huesca","Aragón","","","","24","","","0","24","","","RTVE","Flourish de RTVE: https://public.flourish.studio/visualisation/1451263","Hay 6 casos más en la comunidad que no son residentes en Aragón."
"2020-03-19","Teruel","Aragón","","","","26","","","1","27","","","RTVE","Flourish de RTVE: https://public.flourish.studio/visualisation/1451263","Hay 6 casos más en la comunidad que no son residentes en Aragón."
"2020-03-19","Zaragoza","Aragón","","","","210","","","14","224","","","RTVE","Flourish de RTVE: https://public.flourish.studio/visualisation/1451263","Hay 6 casos más en la comunidad que no son residentes en Aragón."
"2020-03-20","Huesca","Aragón","","","","34","","","0","34","","0","RTVE","Flourish de RTVE: https://public.flourish.studio/visualisation/1451263","Hay 8 casos más en la comunidad que no son residentes en Aragón y el Gobierno autonómico no ha informado del lugar de uno de los fallecimientos."
"2020-03-20","Teruel","Aragón","","","","38","","","2","40","","0","RTVE","Flourish de RTVE: https://public.flourish.studio/visualisation/1451263","Hay 8 casos más en la comunidad que no son residentes en Aragón y el Gobierno autonómico no ha informado del lugar de uno de los fallecimientos."
"2020-03-20","Zaragoza","Aragón","","","","264","","","14","278","","0","RTVE","Flourish de RTVE: https://public.flourish.studio/visualisation/1451263","Hay 8 casos más en la comunidad que no son residentes en Aragón y el Gobierno autonómico no ha informado del lugar de uno de los fallecimientos."
"2020-03-21","Huesca","Aragón","","","","37","","","0","37","","0","RTVE","Flourish de RTVE: https://public.flourish.studio/visualisation/1451263","Hay 11 casos más en la comunidad que no son residentes en Aragón y el Gobierno autonómico no ha informado del lugar de uno de los fallecimientos."
"2020-03-21","Teruel","Aragón","","","","45","","","2","47","","0","RTVE","Flourish de RTVE: https://public.flourish.studio/visualisation/1451263","Hay 11 casos más en la comunidad que no son residentes en Aragón y el Gobierno autonómico no ha informado del lugar de uno de los fallecimientos."
"2020-03-21","Zaragoza","Aragón","","","","315","","","14","329","","0","RTVE","Flourish de RTVE: https://public.flourish.studio/visualisation/1451263","Hay 11 casos más en la comunidad que no son residentes en Aragón y el Gobierno autonómico no ha informado del lugar de uno de los fallecimientos."
"2020-03-22","Huesca","Aragón","","","","37","19","1","1","37","","0","RTVE;diariodelaltoaragon.es","Flourish de RTVE: https://public.flourish.studio/visualisation/1451263 Actualización: 19h. y https://www.diariodelaltoaragon.es/NoticiasDetalle.aspx?Id=1200734","Hay 11 casos más en la comunidad que no son residentes en Aragón y el Gobierno autonómico no ha informado del lugar de uno de los fallecimientos."
"2020-03-22","Teruel","Aragón","","","","45","","","2","47","","0","RTVE","Flourish de RTVE: https://public.flourish.studio/visualisation/1451263 Actualización: 19h.","Hay 11 casos más en la comunidad que no son residentes en Aragón y el Gobierno autonómico no ha informado del lugar de uno de los fallecimientos."
"2020-03-22","Zaragoza","Aragón","","","","315","","","14","329","","0","RTVE","Flourish de RTVE: https://public.flourish.studio/visualisation/1451263 Actualización: 19h.","Hay 11 casos más en la comunidad que no son residentes en Aragón y el Gobierno autonómico no ha informado del lugar de uno de los fallecimientos."
