hospital,municipio,provincia
Hospital Universitario Miguel Servet,Zaragoza,Zaragoza
Hospital Clínico Universitario,Zaragoza,Zaragoza
Hospital Royo Villanova,Zaragoza,Zaragoza
Hospital Nuestra Señora de Gracia,Zaragoza,Zaragoza
Hospital General de la Defensa,Zaragoza,Zaragoza
Hospital Ernest Lluch,Calatayud,Zaragoza
Hospital Ejea – Cinco Villas,Ejea de los Caballeros,Zaragoza
MAZ,Zaragoza,Zaragoza
Hospital Viamed Montecanal,Zaragoza,Zaragoza
Clínica Montpellier,Zaragoza,Zaragoza
Hospital Quirón,Zaragoza,Zaragoza
Hospital San Juan de Dios de Zaragoza,Zaragoza,Zaragoza
Clínica El Pilar,Zaragoza,Zaragoza
Hospital de Barbastro,Barbastro,Huesca
Hospital San Jorge,Huesca,Huesca
Hospital Sagrado Corazón,Huesca,Huesca
Clínica Viamed Santiago,Huesca,Huesca
Hospital Obispo Polanco,Teruel,Teruel
Hospital de Alcañiz,Alcañiz,Teruel
Hospital San José,Teruel,Teruel
