"date","province","ccaa","new_cases","PCR","TestAc","activos","hospitalized","intensive_care","deceased","cases_accumulated","cases_accumulated_PCR","recovered","source_name","source","comments","Muestras totales","Muestras PCR","Muestras TestAc"
"2020-02-29","Asturias","Asturias, Principado de","","","","","0","1","","","1","","Asturias - Portal de Transparencia en Datos","https://app.transparenciaendatos.es/v/#!/5eb4344e16b9fc465933d217","","0","0","0"
"2020-03-01","Asturias","Asturias, Principado de","","","","","0","1","","","1","","Asturias - Portal de Transparencia en Datos","https://app.transparenciaendatos.es/v/#!/5eb4344e16b9fc465933d218","","0","0","0"
"2020-03-02","Asturias","Asturias, Principado de","","","","","0","1","","","1","","Asturias - Portal de Transparencia en Datos","https://app.transparenciaendatos.es/v/#!/5eb4344e16b9fc465933d219","","0","0","0"
"2020-03-03","Asturias","Asturias, Principado de","","","","","1","1","","","2","","Asturias - Portal de Transparencia en Datos","https://app.transparenciaendatos.es/v/#!/5eb4344e16b9fc465933d220","","0","0","0"
"2020-03-04","Asturias","Asturias, Principado de","","","","","1","1","","","3","","Asturias - Portal de Transparencia en Datos","https://app.transparenciaendatos.es/v/#!/5eb4344e16b9fc465933d221","","0","0","0"
"2020-03-05","Asturias","Asturias, Principado de","","","","","2","1","","","4","","Asturias - Portal de Transparencia en Datos","https://app.transparenciaendatos.es/v/#!/5eb4344e16b9fc465933d222","","0","0","0"
"2020-03-06","Asturias","Asturias, Principado de","","","","","5","1","","","6","","Asturias - Portal de Transparencia en Datos","https://app.transparenciaendatos.es/v/#!/5eb4344e16b9fc465933d223","","0","0","0"
"2020-03-07","Asturias","Asturias, Principado de","","","","","5","1","","","7","","Asturias - Portal de Transparencia en Datos","https://app.transparenciaendatos.es/v/#!/5eb4344e16b9fc465933d224","","0","0","0"
"2020-03-08","Asturias","Asturias, Principado de","","","","","5","1","","","9","","Asturias - Portal de Transparencia en Datos","https://app.transparenciaendatos.es/v/#!/5eb4344e16b9fc465933d225","","0","0","0"
"2020-03-09","Asturias","Asturias, Principado de","","","","","9","2","","","11","","Asturias - Portal de Transparencia en Datos","https://app.transparenciaendatos.es/v/#!/5eb4344e16b9fc465933d226","","0","0","0"
"2020-03-10","Asturias","Asturias, Principado de","","","","","9","2","","","32","","Asturias - Portal de Transparencia en Datos","https://app.transparenciaendatos.es/v/#!/5eb4344e16b9fc465933d227","","0","0","0"
"2020-03-11","Asturias","Asturias, Principado de","","","","","10","2","","","36","","Asturias - Portal de Transparencia en Datos","https://app.transparenciaendatos.es/v/#!/5eb4344e16b9fc465933d228","","0","0","0"
"2020-03-12","Asturias","Asturias, Principado de","","","","","10","1","","","40","","Asturias - Portal de Transparencia en Datos","https://app.transparenciaendatos.es/v/#!/5eb4344e16b9fc465933d229","","0","0","0"
"2020-03-13","Asturias","Asturias, Principado de","","","","","14","1","","","73","","Asturias - Portal de Transparencia en Datos","https://app.transparenciaendatos.es/v/#!/5eb4344e16b9fc465933d230","","0","0","0"
"2020-03-14","Asturias","Asturias, Principado de","","","","","18","1","","","107","","Asturias - Portal de Transparencia en Datos","https://app.transparenciaendatos.es/v/#!/5eb4344e16b9fc465933d231","","0","0","0"
"2020-03-15","Asturias","Asturias, Principado de","","","","","21","2","","","149","","Asturias - Portal de Transparencia en Datos","https://app.transparenciaendatos.es/v/#!/5eb4344e16b9fc465933d232","","0","0","0"
"2020-03-16","Asturias","Asturias, Principado de","","","","","29","4","","","193","","Asturias - Portal de Transparencia en Datos","https://app.transparenciaendatos.es/v/#!/5eb4344e16b9fc465933d233","","0","0","0"
