FECHA,HOSPITALIZACIONES PLANTA,HOSPITALIZACIONES UCI
23/07/2020,3,3
19/07/2020,1,3
16/07/2020,1,3
15/07/2020,1,3
14/07/2020,1,3
08/07/2020,1,3
07/07/2020,1,3
05/07/2020,0,4
04/07/2020,0,4
02/07/2020,1,4
01/07/2020,1,4
30/06/2020,1,4
25/06/2020,1,6
23/06/2020,4,7
22/06/2020,4,8
21/06/2020,5,8
18/06/2020,5,9
13/06/2020,7,11
11/06/2020,7,10
09/06/2020,13,9
08/06/2020,13,9
07/06/2020,12,9
06/06/2020,12,9
04/06/2020,26,9
10/04/2020,330,62
09/04/2020,346,65
13/07/2020,1,3
08/04/2020,350,65
20/07/2020,2,3
11/04/2020,341,61
07/04/2020,354,70
05/04/2020,364,76
04/04/2020,356,83
19/04/2020,358,56
29/05/2020,27,10
31/03/2020,318,72
22/07/2020,3,3
13/04/2020,383,63
01/04/2020,309,76
29/03/2020,281,57
03/04/2020,347,81
20/03/2020,99,12
27/03/2020,214,51
26/07/2020,3,3
29/06/2020,1,5
25/03/2020,200,34
24/03/2020,166,29
15/06/2020,9,12
11/03/2020,10,2
14/03/2020,18,1
06/03/2020,5,1
27/05/2020,32,10
06/07/2020,1,3
10/06/2020,11,9
28/03/2020,249,57
02/03/2020,0,1
04/03/2020,1,1
05/06/2020,12,9
01/03/2020,0,1
24/06/2020,3,6
18/05/2020,64,19
28/06/2020,1,5
01/06/2020,28,9
03/03/2020,1,1
22/03/2020,156,20
12/06/2020,7,10
08/03/2020,5,1
15/03/2020,21,2
14/04/2020,371,60
02/04/2020,329,82
28/04/2020,231,38
16/03/2020,29,4
09/07/2020,1,3
09/03/2020,9,2
25/05/2020,38,13
13/03/2020,14,1
17/03/2020,38,4
27/06/2020,1,5
19/03/2020,69,6
05/03/2020,2,1
12/04/2020,371,61
26/04/2020,251,45
22/05/2020,40,13
29/02/2020,0,1
23/03/2020,158,23
07/03/2020,5,1
28/05/2020,29,10
02/05/2020,166,35
14/06/2020,7,12
06/04/2020,377,74
20/04/2020,353,53
12/07/2020,1,3
16/06/2020,5,11
12/03/2020,10,1
18/03/2020,48,5
10/05/2020,87,29
30/03/2020,306,61
26/03/2020,192,48
25/04/2020,258,46
29/04/2020,213,34
17/04/2020,349,58
21/07/2020,2,3
21/03/2020,128,15
16/04/2020,367,61
01/05/2020,166,37
18/04/2020,360,56
19/06/2020,3,9
17/05/2020,60,23
21/04/2020,334,56
05/05/2020,141,29
22/04/2020,315,53
23/04/2020,290,50
24/04/2020,269,48
08/05/2020,96,31
24/05/2020,42,13
27/04/2020,246,43
03/05/2020,161,35
04/05/2020,153,33
06/05/2020,133,30
07/05/2020,124,30
09/05/2020,85,30
15/04/2020,367,61
11/05/2020,87,26
12/05/2020,80,25
30/04/2020,191,36
15/05/2020,63,22
10/03/2020,9,2
31/05/2020,30,9
16/05/2020,59,23
19/05/2020,52,16
02/06/2020,29,9
20/05/2020,50,15
17/06/2020,8,7
21/05/2020,50,13
14/05/2020,61,23
23/05/2020,40,13
26/05/2020,34,13
30/05/2020,31,9
13/05/2020,73,24
03/06/2020,26,9
