"date","province","ccaa","new_cases","PCR","TestAc","activos","hospitalized","intensive_care","deceased","cases_accumulated","cases_accumulated_PCR","recovered","source_name","source","comments"
"2020-02-09","Balears, Illes","Balears, Illes","1","","","","","","","1","","","","http://www.caib.es/sites/coronavirus/es/n/los_resultados_confirman_que_el_hombre_en_investigacion_e_ingresado_en_son_espases_tiene_coronavirus_2019-ncov_mientras_que_la_mujer_y_las_hijas_han_dado_negativo_y_se_hallan_asintomaticas/",""
"2020-02-29","Balears, Illes","Balears, Illes","1","","","","","","","2","","","Conselleria de Salut y Consumo - Govern Illes Balears","http://www.caib.es/pidip2front/jsp/es/ficha-convocatoria/9416950",""
"2020-03-02","Balears, Illes","Balears, Illes","","","","","","","","2","","","Conselleria de Salut y Consumo - Govern Illes Balears","http://www.caib.es/pidip2front/jsp/es/ficha-convocatoria/9417440",""
"2020-03-03","Balears, Illes","Balears, Illes","1","","","","","","","3","","","Conselleria de Salut y Consumo - Govern Illes Balears","http://www.caib.es/pidip2front/jsp/es/ficha-convocatoria/9417950",""
"2020-03-04","Balears, Illes","Balears, Illes","2","","","","","","","","","1","Conselleria de Salut y Consumo - Govern Illes Balears","http://www.caib.es/pidip2front/jsp/es/ficha-convocatoria/9418750",""
"2020-03-05","Balears, Illes","Balears, Illes","1","","","","","","","6","","1","Conselleria de Salut y Consumo - Govern Illes Balears","http://www.caib.es/pidip2front/jsp/es/ficha-convocatoria/9419750",""
"2020-03-06","Balears, Illes","Balears, Illes","1","","","","","","","","","","Conselleria de Salut y Consumo - Govern Illes Balears","http://www.caib.es/pidip2front/jsp/es/ficha-convocatoria/9421000","Faltan datos en la nota."
"2020-03-07","Balears, Illes","Balears, Illes","1","","","","","","","","","","Conselleria de Salut y Consumo - Govern Illes Balears","http://www.caib.es/pidip2front/jsp/es/ficha-convocatoria/9421410","Faltan datos en la nota."
"2020-03-09","Balears, Illes","Balears, Illes","3","","","","","","","","","","Conselleria de Salut y Consumo - Govern Illes Balears","http://www.caib.es/pidip2front/jsp/es/ficha-convocatoria/9421560","Faltan datos en la nota."
"2020-03-10","Balears, Illes","Balears, Illes","2","","","","","","","","","","Conselleria de Salut y Consumo - Govern Illes Balears","http://www.caib.es/pidip2front/jsp/es/ficha-convocatoria/9422530","Faltan datos en la nota."
"2020-03-11","Balears, Illes","Balears, Illes","3","","","","7","","1","16","","","Conselleria de Salut y Consumo - Govern Illes Balears","http://www.caib.es/pidip2front/jsp/es/ficha-convocatoria/9423190","Faltan datos en la nota."
"2020-03-12","Balears, Illes","Balears, Illes","4","","","","","","","","","1","Conselleria de Salut y Consumo - Govern Illes Balears","http://www.caib.es/pidip2front/jsp/es/ficha-convocatoria/9423930","Faltan datos en la nota."
"2020-03-13","Balears, Illes","Balears, Illes","","","","","","","1","26","","1","Conselleria de Salut y Consumo - Govern Illes Balears","http://www.caib.es/pidip2front/jsp/es/ficha-convocatoria/9424890","2"
"2020-03-14","Balears, Illes","Balears, Illes","","","","","8","","","44","","2","Conselleria de Salut y Consumo - Govern Illes Balears","http://www.caib.es/pidip2front/jsp/es/ficha-convocatoria/9425390","Faltan datos en la nota."
"2020-03-15","Balears, Illes","Balears, Illes","","","","","","","","55","","","Conselleria de Salut y Consumo - Govern Illes Balears","http://www.caib.es/pidip2front/jsp/es/ficha-convocatoria/9425450","Solo se mencionan ""11 nuevos casos"", además de los acumulados"
"2020-03-16","Balears, Illes","Balears, Illes","","","","","17","4","1","73","","2","Conselleria de Salut y Consumo - Govern Illes Balears","http://www.caib.es/pidip2front/jsp/es/ficha-convocatoria/9426070","Faltan datos en la nota."
"2020-03-17","Balears, Illes","Balears, Illes","","","","","38","5","1","92","","4","Conselleria de Salut y Consumo - Govern Illes Balears","http://www.caib.es/pidip2front/jsp/es/ficha-convocatoria/9426960","Faltan datos en la nota."
"2020-03-18","Balears, Illes","Balears, Illes","","","","","53","5","2","112","","4","Conselleria de Salut y Consumo - Govern Illes Balears","http://www.caib.es/pidip2front/jsp/es/ficha-convocatoria/9427500","Faltan datos en la nota."
