"date","province","ccaa","new_cases","PCR","TestAc","activos","hospitalized","intensive_care","deceased","cases_accumulated","cases_accumulated_PCR","recovered","source_name","source","comments"
"2020-03-13","Ciudad Real","Castilla - La Mancha","","","","","","","","44","","","Sanidad de Castilla-La Mancha","https://sanidad.castillalamancha.es/saladeprensa/notas-de-prensa/castilla-la-mancha-confirma-194-casos-positivos-por-infeccion-de",""
"2020-03-13","Cuenca","Castilla - La Mancha","","","","","","","","11","","","Sanidad de Castilla-La Mancha","https://sanidad.castillalamancha.es/saladeprensa/notas-de-prensa/castilla-la-mancha-confirma-194-casos-positivos-por-infeccion-de",""
"2020-03-13","Guadalajara","Castilla - La Mancha","","","","","","","","70","","","Sanidad de Castilla-La Mancha","https://sanidad.castillalamancha.es/saladeprensa/notas-de-prensa/castilla-la-mancha-confirma-194-casos-positivos-por-infeccion-de",""
"2020-03-13","Toledo","Castilla - La Mancha","","","","","","","","31","","","Sanidad de Castilla-La Mancha","https://sanidad.castillalamancha.es/saladeprensa/notas-de-prensa/castilla-la-mancha-confirma-194-casos-positivos-por-infeccion-de",""
"2020-03-14","Albacete","Castilla - La Mancha","","","","","","","0","70","","","Sanidad de Castilla-La Mancha","https://sanidad.castillalamancha.es/saladeprensa/notas-de-prensa/castilla-la-mancha-eleva-el-numero-de-casos-confirmados-por-infeccion",""
"2020-03-14","Ciudad Real","Castilla - La Mancha","","","","","","","2","49","","","Sanidad de Castilla-La Mancha","https://sanidad.castillalamancha.es/saladeprensa/notas-de-prensa/castilla-la-mancha-eleva-el-numero-de-casos-confirmados-por-infeccion",""
"2020-03-14","Cuenca","Castilla - La Mancha","","","","","","","2","24","","","Sanidad de Castilla-La Mancha","https://sanidad.castillalamancha.es/saladeprensa/notas-de-prensa/castilla-la-mancha-eleva-el-numero-de-casos-confirmados-por-infeccion",""
"2020-03-14","Guadalajara","Castilla - La Mancha","","","","","","","0","88","","","Sanidad de Castilla-La Mancha","https://sanidad.castillalamancha.es/saladeprensa/notas-de-prensa/castilla-la-mancha-eleva-el-numero-de-casos-confirmados-por-infeccion",""
"2020-03-14","Toledo","Castilla - La Mancha","","","","","","","1","58","","","Sanidad de Castilla-La Mancha","https://sanidad.castillalamancha.es/saladeprensa/notas-de-prensa/castilla-la-mancha-eleva-el-numero-de-casos-confirmados-por-infeccion",""
"2020-03-15","Albacete","Castilla - La Mancha","","","","","","","1","79","","","Sanidad de Castilla-La Mancha","https://sanidad.castillalamancha.es/saladeprensa/notas-de-prensa/se-elevan-401-los-casos-confirmados-por-coronavirus-en-castilla-la",""
