TipusCasData,ComarcaCodi,ComarcaDescripcio,MunicipiCodi,MunicipiDescripcio,SexeCodi,SexeDescripcio,TipusCasDescripcio,NumCasos
03/06/2020,20,Gironès,17079,Girona,0,Home,Sospitós,4
03/06/2020,19,Garrotxa,17109,Montagut i Oix,1,Dona,Sospitós,1
03/06/2020,40,Vallès Occidental,08125,Montcada i Reixac,1,Dona,Sospitós,4
03/06/2020,34,Selva,17103,Maçanet de la Selva,1,Dona,Positiu PCR,1
03/06/2020,33,Segrià ,25038,Aitona,1,Dona,Sospitós,1
03/06/2020,13,Barcelonès,08101,L'Hospitalet de Llobregat,0,Home,Positiu per ELISA,1
03/06/2020,03,Alt Penedès,08240,Sant Sadurní d'Anoia,1,Dona,Sospitós,1
03/06/2020,21,Maresme,08007,Arenys de Munt,1,Dona,Sospitós,1
03/06/2020,02,Alt Empordà ,17187,Saus Camallera i Llampaies,1,Dona,Sospitós,1
03/06/2020,34,Selva,17193,Sils,1,Dona,Positiu PCR,1
03/06/2020,13,Barcelonès,08101,L'Hospitalet de Llobregat,0,Home,Sospitós,7
03/06/2020,13,Barcelonès,08245,Santa Coloma de Gramenet,0,Home,Positiu per Test Ràpid,1
03/06/2020,30,Ribera d'Ebre,43093,Móra d'Ebre,0,Home,Sospitós,2
03/06/2020,40,Vallès Occidental,08300,Viladecavalls,1,Dona,Sospitós,2
03/06/2020,03,Alt Penedès,08305,Vilafranca del Penedès,0,Home,Sospitós,3
03/06/2020,21,Maresme,08214,Vilassar de Dalt,1,Dona,Sospitós,2
03/06/2020,30,Ribera d'Ebre,43125,Riba-Roja d'Ebre,0,Home,Sospitós,1
03/06/2020,40,Vallès Occidental,08279,Terrassa,0,Home,Sospitós,9
03/06/2020,21,Maresme,08003,Alella,0,Home,Sospitós,2
03/06/2020,27,Pla d'Urgell,25113,Ivars d'Urgell,1,Dona,Sospitós,1
03/06/2020,06,Anoia,08102,Igualada,1,Dona,Sospitós,2
03/06/2020,08,Baix Camp,43167,Vilanova d'Escornalbou,0,Home,Sospitós,1
03/06/2020,20,Gironès,17155,Salt,1,Dona,Sospitós,3
03/06/2020,34,Selva,17095,Lloret de Mar,1,Dona,Sospitós,11
03/06/2020,40,Vallès Occidental,08120,Matadepera,1,Dona,Sospitós,1
03/06/2020,40,Vallès Occidental,08291,Vacarisses,0,Home,Sospitós,1
03/06/2020,40,Vallès Occidental,08266,Cerdanyola del Vallès,0,Home,Sospitós,3
03/06/2020,21,Maresme,08284,Tordera,0,Home,Sospitós,1
03/06/2020,27,Pla d'Urgell,25137,Mollerussa,1,Dona,Sospitós,1
03/06/2020,33,Segrià ,25012,Alcoletge,0,Home,Sospitós,2
