Data defunció,Codi Comarca,Comarca,Codi Sexe,Sexe,Nombre defuncions
02/05/2020,40,Vallès Occidental,1,Dona,1
02/05/2020,20,Gironès,0,Home,1
02/05/2020,10,Baix Empordà,1,Dona,1
02/05/2020,34,Selva,0,Home,1
01/05/2020,7,Bages,0,Home,1
01/05/2020,13,Barcelonès,1,Dona,9
01/05/2020,3,Alt Penedès,1,Dona,1
01/05/2020,11,Baix Llobregat,0,Home,6
01/05/2020,21,Maresme,1,Dona,4
01/05/2020,17,Garraf,0,Home,1
01/05/2020,40,Vallès Occidental,0,Home,3
01/05/2020,12,Baix Penedès,1,Dona,1
01/05/2020,20,Gironès,0,Home,2
01/05/2020,40,Vallès Occidental,1,Dona,3
01/05/2020,11,Baix Llobregat,1,Dona,7
01/05/2020,13,Barcelonès,0,Home,8
01/05/2020,20,Gironès,1,Dona,2
01/05/2020,32,Segarra,0,Home,1
01/05/2020,41,Vallès Oriental,0,Home,1
01/05/2020,33,Segrià,0,Home,2
01/05/2020,41,Vallès Oriental,1,Dona,1
30/04/2020,11,Baix Llobregat,1,Dona,2
30/04/2020,36,Tarragonès,0,Home,1
30/04/2020,40,Vallès Occidental,0,Home,5
30/04/2020,11,Baix Llobregat,0,Home,4
30/04/2020,14,Berguedà,0,Home,1
30/04/2020,6,Anoia,1,Dona,1
30/04/2020,13,Barcelonès,1,Dona,19
30/04/2020,10,Baix Empordà,1,Dona,1
30/04/2020,21,Maresme,0,Home,2
30/04/2020,17,Garraf,0,Home,1
30/04/2020,13,Barcelonès,0,Home,13
30/04/2020,1,Alt Camp,0,Home,1
30/04/2020,41,Vallès Oriental,1,Dona,4
30/04/2020,17,Garraf,1,Dona,2
30/04/2020,3,Alt Penedès,1,Dona,1
30/04/2020,7,Bages,1,Dona,1
30/04/2020,21,Maresme,1,Dona,3
30/04/2020,7,Bages,0,Home,1
30/04/2020,24,Osona,1,Dona,1
30/04/2020,20,Gironès,1,Dona,3
30/04/2020,8,Baix Camp,0,Home,1
30/04/2020,40,Vallès Occidental,1,Dona,10
29/04/2020,42,Moianès,0,Home,1
29/04/2020,40,Vallès Occidental,0,Home,4
29/04/2020,40,Vallès Occidental,1,Dona,14
29/04/2020,34,Selva,0,Home,1
29/04/2020,21,Maresme,1,Dona,1
29/04/2020,17,Garraf,0,Home,2
29/04/2020,13,Barcelonès,0,Home,16
