aga,province
ALT CAMP I CONCA DE BARBERÀ,Tarragona
ALT EMPORDÀ,Girona
ALT MARESME,Girona
ALT PENEDÈS,Barcelona
ALT URGELL,Lleida
ALTA RIBAGORÇA,Lleida
ALTEBRAT,Tarragona
ANOIA,Barcelona
ARAN,Barcelona
BAGES I SOLSONÈS,Barcelona
BAIX CAMP I PRIORAT,Tarragona
BAIX EBRE,Tarragona
BAIX EMPORDÀ,Girona
BAIX LLOBREGAT CENTRE I FONTSANTA -L'H N,Barcelona
BAIX LLOBREGAT LITORAL I SANT BOI,Barcelona
BAIX LLOBREGAT LITORAL I VILADECANS,Barcelona
BAIX LLOBREGAT NORD,Barcelona
BAIX MONTSENY,Barcelona
BAIX PENEDÈS,Tarragona
BAIX VALLÈS,Barcelona
BARCELONA DRETA,Barcelona
BARCELONA ESQUERRA,Barcelona
BARCELONA LITORAL MAR,Barcelona
BARCELONA NORD,Barcelona
BARCELONÈS NORD I BAIX MARESME,Barcelona
BERGUEDÀ,Barcelona
CERDANYA,Lleida
GARRAF,Barcelona
GARROTXA,Girona
GIRONÈS NORD I PLA DE L'ESTANY,Girona
GIRONÈS SUD I SELVA INTERIOR,Girona
L'HOSPITALET SUD I EL PRAT DE LLOBREGAT,Barcelona
LLEIDA,Lleida
MARESME CENTRAL,Barcelona
MONTSIÀ,Tarragona
OSONA,Barcelona
PALLARS,Lleida
RIPOLLÈS,Girona
SELVA MARÍTIMA,Girona
TARRAGONÈS,Tarragona
VALLÈS OCCIDENTAL EST,Barcelona
VALLÈS OCCIDENTAL OEST,Barcelona
VALLÈS ORIENTAL CENTRAL,Barcelona
