"date","province","ccaa","new_cases","PCR","TestAc","activos","hospitalized","intensive_care","deceased","cases_accumulated","cases_accumulated_PCR","recovered","source_name","source","comments"
"2020-03-15","Ceuta","Ceuta","","","","","0","","","1","","","Ingesa Ceuta - Twitter","https://twitter.com/Ingesa_Ceuta/",""
"2020-03-16","Ceuta","Ceuta","","","","","0","","","","","","","","NO HAY DATOS"
"2020-03-17","Ceuta","Ceuta","","","","","0","","","","","","","","NO HAY DATOS"
"2020-03-18","Ceuta","Ceuta","","","","","0","","","","","","","","NO HAY DATOS"
"2020-03-19","Ceuta","Ceuta","","","","","0","","","5","","","Ingesa Ceuta - Twitter","https://twitter.com/Ingesa_Ceuta/",""
"2020-03-20","Ceuta","Ceuta","","","","","0","","","","","","","","NO HAY DATOS"
"2020-03-21","Ceuta","Ceuta","","","","","0","","","","","","","","NO HAY DATOS"
"2020-03-22","Ceuta","Ceuta","","","","","0","","","","","","Ingesa Ceuta - Twitter","https://twitter.com/Ingesa_Ceuta/",""
"2020-03-23","Ceuta","Ceuta","","","","","0","","","","","","","","NO HAY DATOS"
"2020-03-24","Ceuta","Ceuta","","","","","0","","","9","","","Ingesa Ceuta - Twitter","https://twitter.com/Ingesa_Ceuta/",""
"2020-03-25","Ceuta","Ceuta","","","","","0","2","","10","","","Ingesa Ceuta - Twitter","https://twitter.com/Ingesa_Ceuta/",""
"2020-03-26","Ceuta","Ceuta","","","","","0","","","","","","","","NO HAY DATOS"
"2020-03-27","Ceuta","Ceuta","","","","","0","1","1","16","","","Ingesa Ceuta - Twitter","https://twitter.com/Ingesa_Ceuta/",""
"2020-03-28","Ceuta","Ceuta","","","","","0","1","1","21","","","Ingesa Ceuta - Twitter","https://twitter.com/Ingesa_Ceuta/",""
"2020-03-29","Ceuta","Ceuta","","","","","0","","1","29","","","Ingesa Ceuta - Twitter","https://twitter.com/Ingesa_Ceuta/",""
"2020-03-30","Ceuta","Ceuta","","","","","2","2","1","34","","","Ingesa Ceuta - Twitter","https://twitter.com/Ingesa_Ceuta/",""
"2020-03-31","Ceuta","Ceuta","","","","","3","2","1","51","","","Ingesa Ceuta - Twitter","https://twitter.com/Ingesa_Ceuta/",""
"2020-04-01","Ceuta","Ceuta","","","","","3","3","1","55","","","Ingesa Ceuta - Twitter","https://twitter.com/Ingesa_Ceuta/",""
"2020-04-02","Ceuta","Ceuta","","","","","8","","1","62","","1","Ingesa Ceuta - Twitter","https://twitter.com/Ingesa_Ceuta/",""
"2020-04-03","Ceuta","Ceuta","","","","","5","3","1","63","","2","Ingesa Ceuta - Twitter","https://twitter.com/Ingesa_Ceuta/",""
"2020-04-04","Ceuta","Ceuta","","","","","5","2","2","83","","","Ingesa Ceuta - Twitter","https://twitter.com/Ingesa_Ceuta/",""
"2020-04-05","Ceuta","Ceuta","","","","80","4","2","3","83","","2","Ingesa Ceuta - Twitter","https://twitter.com/Ingesa_Ceuta/",""
"2020-04-06","Ceuta","Ceuta","","","","","2","1","4","83","","","Ingesa Ceuta - Twitter","https://twitter.com/Ingesa_Ceuta/",""
"2020-04-07","Ceuta","Ceuta","","","","","1","1","4","84","","8","Ingesa Ceuta - Twitter","https://twitter.com/Ingesa_Ceuta/",""
"2020-04-08","Ceuta","Ceuta","","","","","0","","","","","","","","NO HAY DATOS"
"2020-04-09","Ceuta","Ceuta","","","","70","0","1","4","87","","13","Ingesa Ceuta - Twitter","https://twitter.com/Ingesa_Ceuta/",""
