Evolución nº de ingresados en planta;;;;;;;;;;;;;;;;;;;;;
Se incluye todos los pacientes que a fecha de hoy han sido o son positivos.;;;;;;;;;;;;;;;;;;;;;
;Ingresados en Planta;01 Araba;02 Cruces;03 Donosti;04 Basurto;05 Galdakao;06 Zumarraga;07 Bidasoa;08 Mendaro;09 Alto Deba;10 San Eloy;11 Urduliz;12 Eibar;13 Leza;14 Sta Marina;15 Gorliz;BERMEO H.;ZALDIBAR H.;ZAMUDIO H.;ÁLAVA PSIQUIÁTRICO H.;
01/03/2020;281;76;27;20;38;25;3;2;;1;4;1;1;10;16;12;1;3;7;34;
02/03/2020;276;75;29;16;34;24;3;2;;1;5;1;1;10;17;13;1;3;7;34;
03/03/2020;285;78;29;17;30;29;2;1;1;3;5;2;1;10;18;13;1;3;8;34;
04/03/2020;286;84;27;15;30;29;2;2;1;3;5;2;1;9;19;12;1;3;7;34;
05/03/2020;293;83;31;12;35;30;3;1;1;3;5;2;1;8;20;12;1;3;8;34;
06/03/2020;291;82;30;15;38;27;4;2;0;3;2;2;1;8;19;12;1;3;8;34;
07/03/2020;321;94;37;17;39;31;4;2;;3;4;2;1;8;21;12;1;3;8;34;
08/03/2020;344;106;38;19;43;33;4;3;;3;5;2;1;8;21;12;1;3;8;34;
09/03/2020;365;122;38;23;41;33;2;2;1;3;7;2;2;10;21;12;1;3;8;34;
10/03/2020;396;143;42;24;41;33;1;2;1;4;9;6;2;9;21;11;1;3;9;34;
11/03/2020;424;162;49;24;41;37;2;1;1;2;8;6;2;9;23;11;1;3;8;34;
12/03/2020;470;194;55;24;44;41;2;1;1;2;7;6;2;9;25;11;1;3;8;34;
13/03/2020;493;203;54;26;54;43;2;1;2;6;8;5;3;9;22;9;1;3;8;34;
14/03/2020;526;218;58;28;56;47;3;1;2;7;9;7;4;8;23;9;1;3;8;34;
15/03/2020;557;227;64;29;57;50;4;2;3;7;10;7;9;7;26;9;1;3;8;34;
16/03/2020;572;222;69;28;61;55;3;2;3;8;11;9;12;7;28;8;1;3;8;34;
