Evolución Nº de ingresos nuevos en planta;;;;;;;;;;;;;;;;;;;;;
Se incluye todos los pacientes que a fecha de hoy han sido o son positivos.;;;;;;;;;;;;;;;;;;;;;
;Nuevos Ingresos Hospitalarios;01 Araba;02 Cruces;03 Donosti;04 Basurto;05 Galdakao;06 Zumarraga;07 Bidasoa;08 Mendaro;09 Alto Deba;10 San Eloy;11 Urduliz;12 Eibar;13 Leza;14 Sta Marina;15 Gorliz;BERMEO H.;ZALDIBAR H.;ZAMUDIO H.;ÁLAVA PSIQUIÁTRICO H.;
01/03/2020;13;6;0;1;2;2;0;0;;0;1;1;0;0;0;0;0;0;0;0;
02/03/2020;27;11;5;1;3;2;1;0;;0;1;0;0;0;2;1;0;0;0;0;
03/03/2020;38;11;6;4;3;6;0;0;1;2;0;1;0;0;2;1;0;0;1;0;
04/03/2020;31;12;2;4;6;3;0;1;0;0;1;0;0;0;1;1;0;0;0;0;
05/03/2020;39;13;10;3;5;3;1;0;0;1;0;0;0;0;2;0;0;0;1;0;
06/03/2020;31;10;4;4;6;1;1;1;;1;1;0;0;0;1;1;0;0;0;0;
07/03/2020;40;17;11;1;3;5;0;0;;0;2;0;0;0;1;0;0;0;0;0;
08/03/2020;32;16;3;4;3;3;0;1;;0;1;0;0;0;1;0;0;0;0;0;
09/03/2020;57;27;6;5;3;7;0;0;1;0;2;0;1;2;1;2;0;0;0;0;
10/03/2020;69;33;8;2;6;6;0;1;0;0;3;4;0;1;4;0;0;0;1;0;
11/03/2020;71;36;11;6;8;6;1;0;0;0;0;1;0;0;2;0;0;0;0;0;
12/03/2020;88;45;11;5;13;7;0;0;0;0;1;3;0;0;3;0;0;0;0;0;
13/03/2020;89;43;10;8;8;8;0;0;1;4;2;1;1;1;2;0;0;0;0;0;
14/03/2020;68;34;8;4;6;7;1;0;0;1;2;3;1;0;1;0;0;0;0;0;
15/03/2020;64;24;9;3;4;6;2;1;1;3;2;1;5;0;3;0;0;0;0;0;
16/03/2020;96;33;14;5;11;12;0;0;1;1;5;4;3;1;5;0;0;0;1;0;
17/03/2020;129;53;17;10;10;16;1;0;1;1;3;8;3;0;6;0;0;0;0;0;
18/03/2020;173;57;36;10;16;21;2;3;2;1;3;7;3;0;10;1;0;0;0;1;
19/03/2020;157;53;22;11;29;18;0;0;0;0;4;13;1;0;5;1;0;0;0;0;
20/03/2020;199;61;23;13;28;23;0;2;4;13;6;5;3;0;16;2;0;0;0;0;
21/03/2020;240;63;35;13;37;35;2;5;3;3;4;19;2;0;16;3;0;0;0;0;
22/03/2020;167;30;30;12;28;14;3;2;1;2;5;15;1;0;19;5;0;0;0;0;
23/03/2020;231;51;36;26;38;18;2;3;6;7;9;9;1;0;19;6;0;0;0;0;
24/03/2020;354;84;61;29;54;45;4;2;3;4;13;23;9;0;17;6;0;0;0;0;
25/03/2020;341;65;53;33;51;56;3;5;7;4;14;21;3;0;9;17;0;0;0;0;
26/03/2020;327;53;43;48;63;34;5;5;7;6;7;12;8;3;17;16;0;0;0;0;
27/03/2020;256;54;46;23;39;29;2;4;7;4;11;14;5;0;8;9;0;0;1;0;
28/03/2020;260;36;37;30;61;34;3;5;2;4;9;15;3;0;10;7;0;4;0;0;
29/03/2020;154;29;20;18;21;22;0;0;5;3;3;10;4;0;12;4;0;3;0;0;
30/03/2020;193;46;29;25;27;15;5;4;3;1;9;6;3;0;10;4;0;6;0;0;
31/03/2020;242;34;43;24;50;23;6;3;4;1;4;13;7;0;14;11;0;5;0;0;
01/04/2020;230;44;46;24;47;26;4;0;2;5;4;8;4;0;10;6;0;0;0;0;
02/04/2020;164;28;31;22;28;24;2;1;2;0;5;6;3;0;5;6;0;1;0;0;
03/04/2020;159;21;36;18;29;10;2;4;1;6;7;9;1;1;8;3;0;2;1;0;
04/04/2020;110;10;16;7;17;19;1;1;1;3;1;8;2;0;15;7;0;1;1;0;
05/04/2020;65;7;8;2;12;6;0;1;2;0;0;2;0;0;19;6;0;0;0;0;
06/04/2020;141;13;25;33;11;10;2;1;6;2;4;0;5;0;19;8;0;2;0;0;
07/04/2020;133;17;16;23;29;7;3;1;2;1;7;6;4;0;9;5;0;2;1;0;
08/04/2020;142;20;29;7;26;10;2;1;2;1;5;8;5;0;19;6;0;1;0;0;
09/04/2020;114;18;17;19;30;5;0;1;4;1;1;4;2;0;9;3;0;0;0;0;
10/04/2020;127;11;17;18;28;13;0;0;4;2;4;6;6;0;8;9;0;1;0;0;
11/04/2020;74;9;10;15;7;9;1;1;2;4;2;1;2;0;9;2;0;0;0;0;
12/04/2020;50;7;7;7;12;2;2;0;1;0;1;0;2;0;7;1;0;1;0;0;
13/04/2020;66;7;9;8;13;3;1;2;3;0;2;5;4;0;7;1;0;1;0;0;
14/04/2020;99;12;17;11;19;2;0;1;5;1;3;4;7;0;11;1;0;4;1;0;
15/04/2020;74;12;12;12;13;3;2;0;0;0;1;3;1;0;11;2;0;2;0;0;
