Evolución nº total de altas hospitalización;;;;;;;;;;;;;;;;;;;;;
Se incluye todos los pacientes que a fecha de hoy han sido o son positivos.;;;;;;;;;;;;;;;;;;;;;
;Altas Planta;01 Araba;02 Cruces;03 Donosti;04 Basurto;05 Galdakao;06 Zumarraga;07 Bidasoa;08 Mendaro;09 Alto Deba;10 San Eloy;11 Urduliz;12 Eibar;13 Leza;14 Sta Marina;15 Gorliz;BERMEO H.;ZALDIBAR H.;ZAMUDIO H.;ÁLAVA PSIQUIÁTRICO H.;
01/03/2020;1;0;0;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;
02/03/2020;27;9;3;3;6;3;1;0;;0;0;0;0;0;2;0;0;0;0;0;
03/03/2020;26;9;6;3;4;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;
04/03/2020;30;5;5;6;5;4;0;0;0;0;1;0;0;1;0;2;0;0;1;0;
05/03/2020;34;12;5;6;3;2;0;1;1;1;1;0;0;1;1;0;0;0;0;0;
06/03/2020;29;9;6;1;4;3;0;0;;1;2;0;0;0;2;1;0;0;0;0;
07/03/2020;5;4;0;0;1;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;
08/03/2020;9;4;1;2;0;1;0;0;;0;0;0;0;0;1;0;0;0;0;0;
09/03/2020;33;9;5;1;6;7;1;1;0;0;0;0;0;0;1;2;0;0;0;0;
10/03/2020;32;10;2;1;5;4;1;1;0;0;1;0;0;2;4;1;0;0;0;0;
11/03/2020;38;14;3;5;8;3;0;1;0;1;1;1;0;0;0;0;0;0;1;0;
12/03/2020;37;12;5;4;7;3;0;0;0;0;2;3;0;0;1;0;0;0;0;0;
13/03/2020;63;32;13;4;0;5;0;0;0;0;1;2;0;1;4;1;0;0;0;0;
14/03/2020;27;12;3;2;4;3;0;0;0;0;1;1;0;1;0;0;0;0;0;0;
15/03/2020;24;10;1;2;2;2;1;0;0;3;1;1;0;1;0;0;0;0;0;0;
16/03/2020;71;34;7;6;6;5;1;0;1;0;3;2;0;1;3;1;0;0;1;0;
17/03/2020;68;34;9;3;10;7;0;0;0;0;1;2;0;0;2;0;0;0;0;0;
18/03/2020;75;38;9;4;6;10;0;0;0;0;4;1;0;0;2;1;0;0;0;0;
19/03/2020;30;14;5;0;0;5;0;0;0;1;2;0;1;1;1;0;0;0;0;0;
20/03/2020;92;41;7;5;12;5;1;0;1;2;6;3;3;0;2;4;0;0;0;0;
21/03/2020;64;29;5;2;7;14;0;2;0;1;1;0;1;0;1;1;0;0;0;0;
22/03/2020;49;30;2;0;3;7;0;2;0;0;0;3;0;0;1;1;0;0;0;0;
23/03/2020;129;53;17;4;24;12;3;3;0;3;3;2;1;0;1;2;0;0;1;0;
24/03/2020;136;56;21;12;12;13;0;0;1;2;10;3;3;0;3;0;0;0;0;0;
