Evolución nº de ingresados en UCI;;;;;;;;;;;;;;;;;;;;;
Se incluye todos los pacientes que a fecha de hoy han sido o son positivos.;;;;;;;;;;;;;;;;;;;;;
;Ingresados UCI;01 Araba;02 Cruces;03 Donosti;04 Basurto;05 Galdakao;06 Zumarraga;07 Bidasoa;08 Mendaro;09 Alto Deba;10 San Eloy;11 Urduliz;12 Eibar;13 Leza;14 Sta Marina;15 Gorliz;BERMEO H.;ZALDIBAR H.;ZAMUDIO H.;ÁLAVA PSIQUIÁTRICO H.;
01/03/2020;11;4;4;;3;;;;;;;;;;;;;;;;
02/03/2020;11;5;2;;4;;;;;;0;;;;;;;;;;
03/03/2020;12;4;2;;6;0;;;;;;;;;;;;;;;
04/03/2020;14;5;2;;7;;;;;;;;;;;;;;;;
05/03/2020;15;8;3;;4;;;;;;;;;;;;;;;;
06/03/2020;14;9;2;;3;;;;;;;;;;;;;;;;
07/03/2020;15;9;3;;3;;;;;;;;;;;;;;;;
08/03/2020;15;9;3;;3;;;;;;;;;;;;;;;;
09/03/2020;15;9;4;;2;;;;;;0;;;;;;;;;;
10/03/2020;20;10;6;;2;2;;;;;;;;;;;;;;;
11/03/2020;24;13;7;1;2;1;;;;;;;;;;;;;;;
12/03/2020;27;13;8;1;4;1;;;;;;;;;;;;;;;
13/03/2020;27;15;5;3;2;2;;;;;;;;;;;;;;;
14/03/2020;33;21;5;3;2;2;;;;;;;;;;;;;;;
15/03/2020;38;23;7;3;2;3;;;;;;;;;;;;;;;
16/03/2020;44;24;9;2;3;5;;;;;1;;;;;;;;;;
17/03/2020;48;26;10;2;3;7;;;;;0;;;;;;;;;;
18/03/2020;57;29;11;2;7;8;;;;;;;;;;;;;;;
19/03/2020;70;30;15;4;11;10;;;;;;;;;;;;;;;
20/03/2020;80;31;21;6;12;10;;;;;;0;;;;;;;;;
21/03/2020;87;32;23;8;11;11;;;;;;2;;;;;;;;;
22/03/2020;103;33;32;11;12;11;;;;;3;1;;;;;;;;;
23/03/2020;118;36;36;14;17;12;;;;;3;0;;;;;;;;;
24/03/2020;139;38;43;20;21;13;0;;;;2;2;;;;;;;;;
25/03/2020;166;40;52;27;25;18;;;;;4;0;;;;;;;;;
26/03/2020;178;38;58;30;28;20;;;;;1;3;;;;;;;;;
27/03/2020;199;41;66;33;34;19;;;;;2;4;;;;;;;;;
28/03/2020;206;42;68;35;34;20;;;;;2;5;;;;;;;;;
29/03/2020;207;40;68;38;38;19;;;;;1;3;;;;;;;;;
30/03/2020;216;36;70;41;39;24;;;;;1;5;;;;;;;;;
31/03/2020;224;34;70;46;40;26;;;;;2;6;;;;;;;;;
01/04/2020;227;37;71;44;41;26;;;;;1;7;;;;;;;;;
02/04/2020;233;40;77;44;38;25;;;;;1;8;;;;;;;;;
03/04/2020;224;40;77;45;33;21;;;1;;1;6;;;;;;;;;
04/04/2020;215;36;73;46;32;20;;;1;;0;7;;;;;;;;;
05/04/2020;219;35;74;46;36;20;;;1;;;7;;;;;;;;;
06/04/2020;214;36;68;45;35;21;;;0;;;9;;;;;;;;;
07/04/2020;205;34;65;45;33;19;;;;;;9;;;;;;;;;
08/04/2020;199;34;63;44;30;18;;;;;;10;;;;;;;;;
09/04/2020;193;35;62;41;28;18;;;;;0;9;;;;;;;;;
10/04/2020;187;33;62;41;23;19;;;;;;9;;;;;;;;;
11/04/2020;183;33;63;40;20;18;;;;;;9;;;;;;;;;
12/04/2020;181;31;62;39;22;18;;;;;;9;;;;;;;;;
13/04/2020;172;30;59;37;19;18;;;1;;;8;;;;;;;;;
14/04/2020;167;30;58;35;19;16;;;1;;;8;;;;;;;;;
15/04/2020;162;30;55;34;20;15;;;1;;0;7;;;;;;;;;
16/04/2020;150;27;55;30;19;13;;;0;;;6;;;;;;;;;
17/04/2020;144;27;55;27;19;10;;;1;;;5;;;;;;;;;
18/04/2020;140;26;53;26;19;10;;;1;;;5;;;;;;;;;
19/04/2020;140;24;53;26;20;10;;;0;;;7;;;;;;;;;
20/04/2020;127;21;49;25;20;6;;;;;;6;;;;;;;;;
21/04/2020;123;20;48;25;17;6;;;;;;7;;;;;;;;;
22/04/2020;116;19;46;23;16;6;;;;;;6;;;;;;;;;
23/04/2020;113;18;46;22;15;5;;;1;;;6;;;;;;;;;
24/04/2020;116;19;47;22;15;7;;;0;;;6;;;;;;;;;
25/04/2020;113;19;45;20;15;8;;;;;;6;;;;;;;;;
26/04/2020;113;20;45;19;15;8;;;;;;6;;;;;;;;;
27/04/2020;106;16;46;17;14;8;;;;;;5;;;;;;;;;
28/04/2020;99;14;44;16;13;7;;;;;;5;;;;;;;;;
29/04/2020;96;15;44;15;13;7;;;;;;2;;;;;;;;;
30/04/2020;89;16;41;14;11;7;;;;;;0;;;;;;;;;
01/05/2020;89;18;41;14;11;5;;;;;;;;;;;;;;;
02/05/2020;86;16;42;14;11;3;;;;;;;;;;;;;;;
03/05/2020;86;16;42;14;11;3;;;;;;;;;;;;;;;
04/05/2020;80;15;41;11;10;3;;;;;;;;;;;;;;;
05/05/2020;77;15;39;9;11;3;;;;;;;;;;;;;;;
06/05/2020;76;12;41;9;10;4;;;;;;;;;;;;;;;
07/05/2020;74;11;39;9;11;4;;;;;;;;;;;;;;;
08/05/2020;72;11;40;8;11;2;;;;;;;;;;;;;;;
09/05/2020;69;11;38;8;10;2;;;;;;;;;;;;;;;
10/05/2020;70;11;39;8;10;2;;;;;;;;;;;;;;;
11/05/2020;61;10;32;7;10;2;;;;;;;;;;;;;;;
12/05/2020;57;10;30;7;8;2;;;;;0;;;;;;;;;;
13/05/2020;57;11;29;7;8;2;;;;;;;;;;;;;;;
14/05/2020;51;9;27;7;6;2;;;;;;;;;;;;;;;
15/05/2020;50;7;28;7;6;2;;;;;0;;;;;;;;;;
16/05/2020;49;7;27;7;6;2;;;;;;;;;;;;;;;
17/05/2020;49;7;27;7;6;2;;;;;;;;;;;;;;;
18/05/2020;46;8;25;7;6;0;;;;;;;;;;;;;;;
19/05/2020;45;6;25;7;6;;;;;;;1;;;;;;;;;
20/05/2020;41;6;22;6;6;;;;;;;1;;;;;;;;;
21/05/2020;39;4;23;6;5;;;;;;;1;;;;;;;;;
22/05/2020;35;4;21;6;3;;;;;;;1;;;;;;;;;
23/05/2020;35;4;21;6;3;;;;;;;1;;;;;;;;;
24/05/2020;35;4;21;6;3;;;;;;;1;;;;;;;;;
25/05/2020;29;3;19;6;1;;;;;;;0;;;;;;;;;
26/05/2020;28;3;19;5;1;;;;;;;;;;;;;;;;
27/05/2020;28;3;20;3;2;;;;;;;;;;;;;;;;
28/05/2020;26;4;16;3;2;1;;;;;;;;;;;;;;;
29/05/2020;29;5;17;3;2;2;;;;;;;;;;;;;;;
30/05/2020;29;5;17;3;3;1;;;;;;;;;;;;;;;
