Evolución nº de nuevos ingresos en UCI;;;;;;;;;;;;;;;;;;;;;;
Se incluye todos los pacientes que a fecha de hoy han sido o son positivos.;;;;;;;;;;;;;;;;;;;;;;
;Nuevos Ingresos UCI;01 Araba;02 Cruces;03 Donosti;04 Basurto;05 Galdakao;06 Zumarraga;07 Bidasoa;08 Mendaro;09 Alto Deba;10 San Eloy;11 Urduliz;12 Eibar;13 Leza;14 Sta Marina;15 Gorliz;BERMEO H.;ZALDIBAR H.;ZAMUDIO H.;ÁLAVA PSIQUIÁTRICO H.;;
01/03/2020;0;0;0;;0;;;;;;;;;;;;;;;;;
02/03/2020;3;1;0;;1;;;;;;1;;;;;;;;;;;
03/03/2020;3;0;0;;2;1;;;;;;;;;;;;;;;;
04/03/2020;3;1;1;;1;;;;;;;;;;;;;;;;;
05/03/2020;5;4;1;;0;;;;;;;;;;;;;;;;;
06/03/2020;4;3;0;;1;;;;;;;;;;;;;;;;;
07/03/2020;4;3;1;;0;;;;;;;;;;;;;;;;;
08/03/2020;1;1;0;;0;;;;;;;;;;;;;;;;;
09/03/2020;5;3;1;;0;;;;;;1;;;;;;;;;;;
10/03/2020;7;2;2;;1;2;;;;;;;;;;;;;;;;
11/03/2020;7;3;3;1;0;0;;;;;;;;;;;;;;;;
12/03/2020;6;1;2;0;3;0;;;;;;;;;;;;;;;;
13/03/2020;6;2;0;2;1;1;;;;;;;;;;;;;;;;
14/03/2020;8;8;0;0;0;0;;;;;;;;;;;;;;;;
15/03/2020;8;5;2;0;0;1;;;;;;;;;;;;;;;;
16/03/2020;9;2;3;0;1;2;;;;;1;;;;;;;;;;;
17/03/2020;7;3;2;0;0;2;;;;;0;;;;;;;;;;;
18/03/2020;12;6;1;0;4;1;;;;;;;;;;;;;;;;
19/03/2020;17;2;5;2;6;2;;;;;;;;;;;;;;;;
20/03/2020;14;3;7;2;1;0;;;;;;1;;;;;;;;;;
21/03/2020;13;3;3;2;1;2;;;;;;2;;;;;;;;;;
22/03/2020;21;2;10;4;1;0;;;;;3;1;;;;;;;;;;
23/03/2020;20;5;4;3;6;2;;;;;0;0;;;;;;;;;;
24/03/2020;27;4;7;6;4;2;1;;;;0;3;;;;;;;;;;
25/03/2020;42;5;12;7;5;5;;;;;4;4;;;;;;;;;;
26/03/2020;27;1;9;4;3;4;;;;;1;5;;;;;;;;;;
27/03/2020;30;5;8;3;6;2;;;;;2;4;;;;;;;;;;
28/03/2020;19;2;6;3;3;3;;;;;0;2;;;;;;;;;;
29/03/2020;13;0;2;4;6;1;;;;;0;0;;;;;;;;;;
30/03/2020;17;1;4;3;2;5;;;;;0;2;;;;;;;;;;
31/03/2020;18;3;2;5;3;3;;;;;1;1;;;;;;;;;;
