Hildako-kopuruaren bilakaera Lurralde Historikoaren arabera / Evolución del nº fallecidos según TTHH;;;;
;Araba;Bizkaia;Gipuzkoa;Guztira / Total 
Guztira / Total desde 01/03/2020;222;519;127;868
15/03/2020;10;2;2;14
16/03/2020;2;2;1;5
17/03/2020;5;4;0;9
18/03/2020;9;4;1;14
19/03/2020;12;5;2;19
20/03/2020;3;3;3;9
21/03/2020;9;10;3;22
22/03/2020;4;9;1;14
23/03/2020;5;7;3;15
24/03/2020;9;7;4;20
25/03/2020;4;15;6;25
26/03/2020;3;14;3;20
27/03/2020;6;13;3;22
28/03/2020;7;17;8;32
29/03/2020;7;12;6;25
30/03/2020;12;19;3;34
31/03/2020;12;16;1;29
01/04/2020;7;14;4;25
02/04/2020;4;14;1;19
03/04/2020;7;12;7;26
04/04/2020;5;18;1;24
05/04/2020;7;18;0;25
06/04/2020;6;19;3;28
07/04/2020;2;13;2;17
08/04/2020;4;18;1;23
09/04/2020;4;12;6;22
10/04/2020;2;13;4;19
11/04/2020;2;14;5;21
12/04/2020;0;9;0;9
13/04/2020;1;15;3;19
14/04/2020;2;6;2;10
15/04/2020;4;6;3;13
16/04/2020;3;7;2;12
17/04/2020;5;9;8;22
18/04/2020;3;6;1;10
19/04/2020;2;8;2;12
20/04/2020;0;6;0;6
21/04/2020;0;14;2;16
22/04/2020;2;6;2;10
23/04/2020;0;5;0;5
24/04/2020;3;3;1;7
25/04/2020;1;2;0;3
26/04/2020;0;5;2;7
27/04/2020;0;6;1;7
28/04/2020;0;8;1;9
29/04/2020;0;4;2;6
30/04/2020;0;6;2;8
01/05/2020;0;6;0;6
02/05/2020;1;6;1;8
03/05/2020;0;6;0;6
04/05/2020;0;5;1;6
05/05/2020;0;6;3;9
06/05/2020;1;4;0;5
07/05/2020;0;5;0;5
08/05/2020;2;5;0;7
09/05/2020;3;1;0;4
10/05/2020;1;3;1;5
11/05/2020;1;5;1;7
12/05/2020;1;5;0;6
13/05/2020;0;1;0;1
14/05/2020;0;2;0;2
15/05/2020;1;1;0;2
