Ospitaleko alta-kopuruaren eguneko bilakaera / Evolución de altas hospitalarias;;;;;;;;;;;;;;;;;;;;
;Guztira /Total;01 Araba;02 Cruces;03 Donosti;04 Basurto;05 Galdakao;06 Zumarraga;07 Bidasoa;08 Mendaro;09 Alto Deba;10 San Eloy;11 Urduliz;12 Eibar;13 Leza;14 Sta Marina;15 Gorliz;BERMEO H.;ZALDIBAR H.;ZAMUDIO H.;ÁLAVA PSIQUIÁTRICO H.
15/03/2020;22;10;;2;2;2;1;;;3;;1;;1;;;;;;
16/03/2020;62;32;5;6;4;5;1;;1;;1;2;;1;3;1;;;;
17/03/2020;61;31;7;3;10;6;;;;;1;1;;;2;;;;;
18/03/2020;69;38;8;2;4;9;;;;;4;1;;;2;1;;;;
19/03/2020;29;14;4;;;5;;;;1;2;;1;1;1;;;;;
20/03/2020;83;37;5;5;10;5;1;;1;2;6;2;3;;2;4;;;;
21/03/2020;63;28;5;2;7;14;;2;;1;1;;1;;1;1;;;;
22/03/2020;48;29;2;;3;7;;2;;;;3;;;1;1;;;;
23/03/2020;124;52;15;4;22;12;3;3;;3;3;2;1;;1;2;;;1;
24/03/2020;133;53;21;12;12;13;;;1;2;10;3;3;;3;;;;;
25/03/2020;178;54;22;11;28;15;2;2;3;10;7;13;3;1;7;;;;;
26/03/2020;174;57;20;7;32;17;3;3;2;2;12;6;1;;11;1;;;;
27/03/2020;238;58;28;15;49;39;2;3;2;1;3;18;3;1;15;1;;;;
28/03/2020;107;24;11;14;12;25;;1;;4;4;2;1;1;6;2;;;;
29/03/2020;102;31;6;10;22;12;;;2;3;5;2;2;;3;4;;;;
30/03/2020;291;60;53;32;42;38;6;2;1;9;8;19;2;;8;11;;;;
31/03/2020;250;62;43;33;38;25;2;4;9;3;2;13;;;8;8;;;;
01/04/2020;232;66;32;26;30;25;3;2;7;5;9;11;2;;8;5;;1;;
02/04/2020;208;37;35;16;35;33;2;5;7;2;4;13;1;;10;6;;2;;
03/04/2020;246;47;43;26;43;33;2;6;5;2;2;14;1;;14;7;;;1;
04/04/2020;121;22;15;22;23;12;;;;3;7;3;1;;8;2;;3;;
05/04/2020;77;13;;4;28;12;;1;2;;4;2;;;7;4;;;;
06/04/2020;276;44;53;35;43;35;3;2;4;6;10;10;3;;18;5;;3;1;1
07/04/2020;191;35;32;25;28;21;1;3;4;5;3;15;5;;12;1;;;1;
08/04/2020;220;32;45;22;33;19;4;3;7;3;5;15;2;;20;10;;;;
09/04/2020;136;11;14;24;32;21;3;2;3;2;1;7;3;;4;8;;;1;
10/04/2020;129;16;24;15;34;6;1;1;2;1;3;9;2;;6;7;;2;;
11/04/2020;101;7;16;13;24;6;;2;4;2;5;3;4;;11;2;;2;;
12/04/2020;53;5;8;3;18;8;;1;;1;1;;;;5;2;;1;;
13/04/2020;130;13;24;11;29;12;2;2;3;;2;9;6;;12;4;;1;;
14/04/2020;167;27;40;15;26;17;2;1;3;7;6;8;;;7;5;;3;;
15/04/2020;142;21;25;23;21;9;3;;4;4;;6;1;;16;6;;3;;
16/04/2020;130;22;20;20;17;10;2;;3;2;3;6;6;;14;3;;2;;
17/04/2020;132;22;19;17;19;12;;1;4;;4;6;6;;13;5;;4;;
18/04/2020;40;7;2;5;9;3;;;;;1;2;4;1;3;2;;1;;
19/04/2020;28;2;8;1;5;;;1;;;2;1;1;;5;1;;;;1
20/04/2020;117;18;26;7;27;12;2;;2;;1;2;;1;11;5;;3;;
21/04/2020;100;10;23;8;12;7;;1;3;2;1;2;3;;18;6;;4;;
22/04/2020;79;11;13;10;8;11;1;;2;;1;5;4;;11;2;;;;
23/04/2020;80;7;11;12;12;5;1;2;1;;1;1;3;;18;4;;;1;1
24/04/2020;105;16;16;15;17;3;2;;1;;3;5;8;2;13;4;;;;
25/04/2020;11;2;1;1;2;;;;;;2;1;1;;1;;;;;
26/04/2020;11;2;;1;3;;;;;;;;1;;3;1;;;;
27/04/2020;71;11;11;6;11;4;4;;3;;1;4;3;1;11;1;;;;
28/04/2020;54;;7;7;8;6;;1;2;;2;2;3;;9;6;;;1;
29/04/2020;61;11;5;11;8;3;2;;;;1;3;5;;8;4;;;;
30/04/2020;86;19;16;13;3;5;2;1;3;;;4;3;;13;4;;;;
01/05/2020;12;2;2;1;3;;;;;;1;;;;2;1;;;;
02/05/2020;16;1;6;1;2;1;;;;;2;;;;3;;;;;
03/05/2020;9;1;1;1;2;;;;;;;;;;2;2;;;;
04/05/2020;76;17;8;10;11;8;;1;2;;1;1;3;;12;2;;;;
05/05/2020;62;14;3;12;7;11;1;;1;2;1;1;1;;3;5;;;;
06/05/2020;57;8;11;9;8;5;;2;1;;4;2;2;;2;2;;;1;
07/05/2020;49;6;10;6;8;4;1;;3;;2;1;2;;5;1;;;;
08/05/2020;72;21;9;4;9;3;2;;3;;3;;6;;7;4;;;1;
09/05/2020;13;4;1;2;2;;;;;;1;;1;;;2;;;;
10/05/2020;8;3;;;1;;1;;;;;;;;3;;;;;
11/05/2020;37;8;11;6;6;2;;;;;;1;1;;2;;;;;
12/05/2020;52;12;7;4;6;3;2;;1;1;;;1;;10;4;;;1;
13/05/2020;41;9;11;1;3;4;2;;;;;;;2;6;3;;;;
14/05/2020;33;5;6;1;7;3;;;2;;1;1;;1;6;;;;;
15/05/2020;59;9;8;10;5;7;;;1;;1;1;3;1;7;6;;;;
