Evolución nº de ingresos nuevos en planta;;;;;;;;;;;;;;;;;;;;;;
Para los pacientes positivos, se incluye únicamente información del período en que ha sido positivo.;;;;;;;;;;;;;;;;;;;;;;
;Ingresos nuevos en planta;01 Araba;02 Cruces;03 Donosti;04 Basurto;05 Galdakao;06 Zumarraga;07 Bidasoa;08 Mendaro;09 Alto Deba;10 San Eloy;11 Urduliz;12 Eibar;13 Leza;14 Sta Marina;15 Gorliz;BERMEO H.;ZALDIBAR H.;ZAMUDIO H.;ÁLAVA PSIQUIÁTRICO H.;;
03/03/2020;3;1;1;1;;;;;;;;;;;;;;;;;;
04/03/2020;0;0;0;0;;0;;;;;;;;;;;;;;;;
05/03/2020;0;0;0;0;;0;;;;;;;;;;;;;;;;
06/03/2020;1;1;0;0;;0;;;;;;;;;;;;;;;;
07/03/2020;14;9;3;0;;2;;;;0;;;;;;;;;;;;
08/03/2020;10;10;0;0;;0;;;;0;;;;;;;;;;;;
09/03/2020;21;16;1;0;;4;;;;0;;;;;;;;;;;;
10/03/2020;24;18;1;0;0;3;;;;0;;2;;;;;;;;;;
11/03/2020;31;25;1;2;0;3;;;;0;0;0;;;;;;;;;;
12/03/2020;42;31;2;1;0;5;0;;;;0;3;;;;;;;;;;
13/03/2020;50;33;3;3;2;4;0;;1;2;;0;1;1;;;;;;;;
14/03/2020;40;25;3;1;3;5;0;;0;0;0;1;1;0;1;;;;;;;
15/03/2020;44;17;7;2;3;5;1;1;0;2;0;1;5;0;0;;;;;;;
16/03/2020;56;21;8;3;6;12;0;0;1;0;0;1;3;;1;;;;;;;
17/03/2020;101;46;11;6;6;15;0;0;1;1;1;7;3;;4;;;;;0;;
18/03/2020;110;43;20;5;8;17;0;2;2;0;2;6;3;0;2;;;;;0;;
19/03/2020;104;23;14;10;22;17;0;0;0;0;2;12;1;0;2;1;;;;0;;
20/03/2020;148;47;16;6;27;21;0;1;2;7;3;5;3;;9;1;;;;0;;
21/03/2020;195;50;27;10;33;33;1;3;2;2;1;14;2;;14;3;;;;0;;
22/03/2020;128;20;22;9;24;12;1;0;1;2;3;13;1;;16;4;;;;0;;
23/03/2020;146;22;25;14;37;13;0;2;1;5;4;6;1;;14;2;;;;0;;
24/03/2020;259;39;47;16;49;43;1;2;1;1;10;21;9;;15;5;;;;0;;
25/03/2020;249;32;42;16;47;51;2;3;2;2;9;17;3;0;9;14;;;;0;;
26/03/2020;238;32;31;29;51;34;2;4;3;2;3;10;8;0;15;14;;;;0;;
27/03/2020;183;36;41;10;30;24;2;1;4;1;4;11;5;0;5;9;;;;0;;
28/03/2020;216;28;36;23;50;33;1;1;2;2;6;13;3;0;7;7;;4;;0;;
29/03/2020;122;27;19;10;14;20;0;0;2;1;1;9;4;;9;3;0;3;;0;;
30/03/2020;133;24;25;19;21;13;3;1;2;1;1;4;3;;8;2;0;6;;0;;
31/03/2020;184;17;37;16;38;23;2;3;4;0;0;11;7;;11;10;0;5;;0;;
01/04/2020;175;32;41;12;41;22;1;0;1;2;4;4;4;;7;4;0;0;;0;;
02/04/2020;131;22;26;15;22;21;2;0;2;0;2;5;3;;5;5;0;1;0;0;;
03/04/2020;119;14;30;10;25;8;2;0;1;3;4;9;1;;8;1;0;2;1;0;;
04/04/2020;94;8;12;6;15;18;0;1;1;3;1;7;2;;13;6;0;1;0;0;;
05/04/2020;51;6;4;2;10;5;0;1;2;0;0;2;0;;17;2;0;0;0;0;;
06/04/2020;107;8;22;18;8;10;1;0;2;1;4;0;5;;18;8;0;2;0;0;;
07/04/2020;96;11;12;15;21;7;1;0;1;1;4;4;4;;8;4;0;2;1;0;;
08/04/2020;118;13;25;5;22;10;1;1;1;1;5;7;5;;15;6;0;1;0;0;;
09/04/2020;85;12;14;13;28;4;0;0;0;1;1;3;1;;6;2;0;0;0;0;;
10/04/2020;104;9;14;10;23;13;0;0;3;2;3;5;6;;6;9;0;1;;0;;
11/04/2020;60;8;6;9;7;9;1;0;1;4;1;1;2;;9;2;0;0;;0;;
12/04/2020;40;6;5;5;8;2;2;0;1;0;0;0;2;;7;1;0;1;;0;;
13/04/2020;50;6;6;3;12;3;1;2;2;0;1;3;4;;5;1;0;1;;0;;
14/04/2020;90;10;14;9;19;1;0;1;5;1;3;4;7;;10;1;0;4;1;0;;
15/04/2020;63;9;10;9;12;3;2;0;0;0;0;3;1;0;11;2;0;1;0;0;;
16/04/2020;68;10;11;8;10;6;1;0;3;0;2;1;3;0;11;1;0;0;1;0;;
17/04/2020;47;11;7;6;5;1;1;2;0;1;0;2;0;0;6;3;0;0;1;1;;
18/04/2020;25;1;4;1;6;7;0;0;0;0;1;0;0;0;3;1;0;0;0;1;;
19/04/2020;27;3;5;4;2;1;0;0;3;0;1;2;0;;5;1;0;0;0;0;;
20/04/2020;41;5;7;3;7;2;0;0;2;0;3;0;1;0;9;1;0;0;1;0;;
21/04/2020;34;3;5;4;6;3;1;1;2;0;0;0;2;;6;1;0;0;0;0;;
22/04/2020;33;8;4;3;5;3;0;0;1;;1;1;1;;2;3;0;;1;0;;
23/04/2020;33;4;5;7;4;0;0;1;0;;1;0;0;0;8;2;0;;1;0;;
24/04/2020;32;7;3;8;3;2;0;0;1;;2;2;1;0;0;2;0;;1;0;;
25/04/2020;22;3;4;3;1;2;1;1;0;;0;0;0;;5;2;0;;0;0;;
26/04/2020;17;2;4;0;1;2;1;0;2;;0;0;0;;2;3;0;;0;0;;
27/04/2020;23;6;3;3;6;1;0;0;1;;0;1;0;;2;0;0;;0;0;;
28/04/2020;24;2;5;2;1;1;1;0;1;;1;1;1;;5;3;0;;0;0;;
29/04/2020;35;8;11;6;2;1;0;1;0;;2;0;0;;4;0;0;;0;0;;
30/04/2020;35;4;8;1;11;2;1;0;2;;0;0;1;1;1;3;0;;0;0;;
01/05/2020;22;6;3;1;6;1;0;0;1;;1;0;0;0;2;1;0;;0;0;;
02/05/2020;15;3;2;0;5;0;0;0;0;1;0;0;0;0;4;0;0;;0;0;;
03/05/2020;12;4;3;0;3;1;0;0;0;0;0;0;0;0;1;0;0;;0;0;;
04/05/2020;24;9;2;2;4;2;0;0;0;0;0;0;1;0;2;2;0;;0;0;;
05/05/2020;34;7;4;2;6;5;1;0;1;0;1;0;0;0;3;3;0;;1;0;;
06/05/2020;18;2;7;0;4;0;0;0;0;;0;0;0;0;4;1;0;;0;0;;
07/05/2020;22;3;5;3;6;3;0;0;0;;0;0;1;0;0;1;0;;0;0;;
08/05/2020;22;9;4;2;1;0;1;0;0;;0;0;0;0;2;2;0;;1;0;;
09/05/2020;10;2;4;0;1;1;0;0;0;;0;0;0;0;1;1;0;;0;0;;
10/05/2020;7;1;2;1;2;0;0;0;0;;0;0;0;0;1;0;0;;0;0;;
11/05/2020;14;2;2;1;3;4;2;0;0;;0;0;0;0;0;0;0;;0;0;;
12/05/2020;27;6;4;2;5;4;0;1;0;;0;;0;0;3;2;0;;0;0;;
