Tabla 8.- OSPITALERATUTAKO PERTSONA METATUEN, EGUNEKO OSPITALERATUEN ETA ZIUN ALTA EMANDAKO PERTSONEN BILAKAERA. EVOLUCIÓN DE LOS INGRESOS ACUMULADOS, DIARIOS Y ALTAS EN UCI;;;;;;;;;;;;;;;;;;;;;;;;;;;
;TOTALES;;;01 ARABA;;;02 CRUCES;;;03 DONOSTI;;;04 BASURTO;;;05 GALDAKAO;;;08 MENDARO;;;10 SAN ELOY;;;11 URDULIZ;;
;Ingr;Ingr dia;Altas dia;Ingr;Ingr dia;Altas dia;Ingr;Ingr dia;Altas dia;Ingr;Ingr dia;Altas dia;Ingr;Ingr dia;Altas dia;Ingr;Ingr dia;Altas dia;Ingr;Ingr dia;Altas dia;Ingr;Ingr dia;Altas dia;Ingr;Ingr dia;Altas dia
1-mar.;11;0;0;4;0;0;4;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2-mar.;10;2;2;5;1;0;2;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;1;1;0;0;0
3-mar.;11;2;2;4;0;1;2;0;1;0;0;0;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0
4-mar.;13;3;1;5;1;0;2;1;1;0;0;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0
5-mar.;14;5;4;8;4;1;3;1;0;0;0;0;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0
6-mar.;13;4;4;9;3;2;2;0;0;0;0;0;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0
7-mar.;14;3;2;9;2;2;3;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8-mar.;14;1;1;9;1;1;3;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9-mar.;14;5;5;9;3;3;4;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0
10-mar.;19;6;1;10;2;1;6;2;0;0;0;0;1;0;0;2;2;0;0;0;0;0;0;0;0;0;0
11-mar.;22;6;3;13;3;0;6;2;2;1;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0
12-mar.;26;6;2;13;1;1;7;2;1;1;0;0;4;3;0;1;0;0;0;0;0;0;0;0;0;0;0
13-mar.;27;6;5;15;2;0;5;0;2;3;2;0;2;1;3;2;1;0;0;0;0;0;0;0;0;0;0
14-mar.;33;8;2;21;8;2;5;0;0;3;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0
15-mar.;38;8;3;23;5;3;7;2;0;3;0;0;2;0;0;3;1;0;0;0;0;0;0;0;0;0;0
16-mar.;43;8;3;24;2;1;9;3;1;2;0;1;2;0;0;5;2;0;0;0;0;1;1;0;0;0;0
17-mar.;47;7;3;26;3;1;10;2;1;2;0;0;2;0;0;7;2;0;0;0;0;0;0;1;0;0;0
18-mar.;56;12;3;29;6;3;11;1;0;2;0;0;6;4;0;8;1;0;0;0;0;0;0;0;0;0;0
19-mar.;69;17;4;30;2;1;15;5;1;4;2;0;10;6;2;10;2;0;0;0;0;0;0;0;0;0;0
20-mar.;79;14;4;31;3;2;21;7;1;6;2;0;11;1;0;10;0;0;0;0;0;0;0;0;0;1;1
21-mar.;86;13;6;32;3;2;23;3;1;8;2;0;10;1;2;11;2;1;0;0;0;0;0;0;2;2;0
22-mar.;102;21;5;33;2;1;32;10;1;11;4;1;11;1;0;11;0;0;0;0;0;3;3;0;1;1;2
23-mar.;118;20;4;36;5;2;36;4;0;14;3;0;17;6;0;12;2;1;0;0;0;3;0;0;0;0;1
24-mar.;139;27;6;38;4;2;43;7;0;20;6;0;21;4;0;13;2;1;0;0;0;2;0;1;2;3;1
25-mar.;164;40;15;39;4;3;52;12;3;27;7;0;24;4;1;18;5;0;0;0;0;4;4;2;0;4;6
26-mar.;176;27;15;37;1;3;58;9;3;30;4;1;27;3;0;20;4;2;0;0;0;1;1;4;3;5;2
27-mar.;197;30;9;40;5;2;66;8;0;33;3;0;33;6;0;19;2;3;0;0;0;2;2;1;4;4;3
28-mar.;204;19;12;41;2;1;68;6;4;35;3;1;33;3;3;20;3;2;0;0;0;2;0;0;5;2;1
29-mar.;206;13;11;39;0;2;68;2;2;38;4;1;38;6;1;19;1;2;0;0;0;1;0;1;3;0;2
30-mar.;214;16;8;35;1;5;70;4;2;41;3;0;39;2;1;23;4;0;0;0;0;1;0;0;5;2;0
31-mar.;224;18;8;34;3;4;70;2;2;46;5;0;40;3;2;26;3;0;0;0;0;2;1;0;6;1;0
1-abr.;227;20;17;37;5;2;71;3;2;44;0;2;41;4;3;26;4;4;0;0;0;1;1;2;7;3;2
2-abr.;232;16;11;40;3;0;76;7;2;44;1;1;38;0;3;25;2;3;0;0;0;1;1;1;8;2;1
3-abr.;223;12;21;40;2;2;76;3;3;45;2;1;33;1;6;21;0;4;1;1;0;1;1;1;6;2;4
4-abr.;214;5;14;36;0;4;72;0;4;46;1;0;32;2;3;20;0;1;1;0;0;0;0;1;7;2;1
5-abr.;218;7;3;35;2;3;73;1;0;46;0;0;36;4;0;20;0;0;1;0;0;0;0;0;7;0;0
6-abr.;214;13;17;36;2;1;68;4;9;45;1;2;35;1;2;21;2;1;0;0;1;0;0;0;9;3;1
7-abr.;205;3;12;34;1;3;65;1;4;45;0;0;33;1;3;19;0;2;0;0;0;0;0;0;9;0;0
8-abr.;199;6;12;34;1;1;63;2;4;44;1;2;30;1;4;18;0;1;0;0;0;0;0;0;10;1;0
9-abr.;193;8;14;35;3;2;62;3;4;41;0;3;28;1;3;18;0;0;0;0;0;0;1;1;9;0;1
10-abr.;187;7;12;33;1;3;62;4;3;41;1;1;23;0;5;19;1;0;0;0;0;0;0;0;9;0;0
11-abr.;183;3;7;33;0;0;63;2;1;40;1;2;20;0;3;18;0;1;0;0;0;0;0;0;9;0;0
12-abr.;181;5;7;31;1;3;62;1;2;39;0;1;22;2;0;18;0;0;0;0;0;0;0;0;9;1;1
13-abr.;172;1;10;30;0;1;59;0;3;37;0;2;19;0;3;18;0;0;1;1;0;0;0;0;8;0;1
14-abr.;167;5;10;30;2;2;58;2;3;35;1;3;19;0;0;16;0;2;1;0;0;0;0;0;8;0;0
15-abr.;161;6;12;30;2;2;55;1;4;34;0;1;19;3;3;15;0;1;1;0;0;0;0;0;7;0;1
16-abr.;149;5;17;27;0;3;55;3;3;30;0;4;18;1;2;13;1;3;0;0;1;0;0;0;6;0;1
17-abr.;143;6;12;27;2;2;55;1;1;27;1;4;18;1;1;10;0;3;1;1;0;0;0;0;5;0;1
18-abr.;138;2;6;26;0;1;53;1;2;26;0;1;17;0;1;10;1;1;1;0;0;0;0;0;5;0;0
19-abr.;138;5;5;24;0;2;53;1;1;26;0;0;18;1;0;10;1;1;0;0;1;0;0;0;7;2;0
20-abr.;125;5;18;21;1;4;49;1;5;25;0;1;18;1;1;6;2;6;0;0;0;0;0;0;6;0;1
21-abr.;122;2;5;20;0;1;48;0;1;25;1;1;16;0;2;6;0;0;0;0;0;0;0;0;7;1;0
22-abr.;115;0;7;19;0;1;46;0;2;23;0;2;15;0;1;6;0;0;0;0;0;0;0;0;6;0;1
23-abr.;112;7;9;18;1;2;46;1;0;22;1;2;14;2;3;5;0;1;1;1;0;0;0;0;6;1;1
24-abr.;115;8;5;19;2;1;47;3;2;22;1;1;14;0;0;7;2;0;0;0;1;0;0;0;6;0;0
25-abr.;112;2;5;19;1;1;45;0;2;20;0;2;14;0;0;8;1;0;0;0;0;0;0;0;6;0;0
26-abr.;112;1;1;20;1;0;45;0;0;19;0;1;14;0;0;8;0;0;0;0;0;0;0;0;6;0;0
27-abr.;105;4;11;16;0;4;46;1;0;17;1;3;13;1;2;8;1;1;0;0;0;0;0;0;5;0;1
28-abr.;98;1;8;14;0;2;44;0;2;16;1;2;12;0;1;7;0;1;0;0;0;0;0;0;5;0;0
29-abr.;95;3;6;15;1;0;44;1;1;15;0;1;12;0;0;7;1;1;0;0;0;0;0;0;2;0;3
30-abr.;88;5;12;16;2;1;41;3;6;14;0;1;10;0;2;7;0;0;0;0;0;0;0;0;0;0;2
1-may.;87;2;3;18;2;0;40;0;1;14;0;0;10;0;0;5;0;2;0;0;0;0;0;0;0;0;0
2-may.;84;1;4;16;0;2;41;1;0;14;0;0;10;0;0;3;0;2;0;0;0;0;0;0;0;0;0
3-may.;84;2;2;16;0;0;41;1;1;14;0;0;10;1;1;3;0;0;0;0;0;0;0;0;0;0;0
4-may.;79;4;9;15;1;2;40;2;3;11;0;3;10;1;1;3;0;0;0;0;0;0;0;0;0;0;0
5-may.;77;3;4;15;0;0;39;2;2;9;0;2;11;1;0;3;0;0;0;0;0;0;0;0;0;0;0
6-may.;76;5;6;12;0;3;41;3;1;9;0;0;10;1;2;4;1;0;0;0;0;0;0;0;0;0;0
7-may.;74;2;4;11;0;1;39;1;3;9;0;0;11;1;0;4;0;0;0;0;0;0;0;0;0;0;0
8-may.;72;1;3;11;0;0;40;1;0;8;0;1;11;0;0;2;0;2;0;0;0;0;0;0;0;0;0
9-may.;68;2;6;10;1;2;38;1;3;8;0;0;10;0;1;2;0;0;0;0;0;0;0;0;0;0;0
10-may.;69;1;0;10;0;0;39;1;0;8;0;0;10;0;0;2;0;0;0;0;0;0;0;0;0;0;0
11-may;59;1;11;9;0;1;32;0;7;7;0;1;9;1;2;2;0;0;0;0;0;0;0;0;0;0;0
12-may;56;2;5;9;0;0;30;0;2;7;0;0;8;0;1;2;1;1;0;0;0;0;1;1;0;0;0
13-may;55;1;2;10;1;0;28;0;2;7;0;0;8;0;0;2;0;0;0;0;0;0;0;0;0;0;0
14-may;50;1;6;9;1;2;26;0;2;7;0;0;6;0;2;2;0;0;0;0;0;0;0;0;0;0;0
15-may;50;3;3;8;0;1;27;2;1;7;0;0;6;0;0;2;0;0;0;0;0;0;1;1;0;0;0
