"COD17ZON","OSI_NOM_eu","OSI_NOM_es","Cod_bopv1","Cod_osi","ZON_Cod","ZONA_Nom","ZONA_Nom1"
"301009","Araba","Araba","1.1.16","01","1116","LLANADA ALAVESA","Llanada Alavesa"
"306002","Barrualde - Galdakao","Barrualde - Galdakao","2.5.02","06","2502","AIALA","Aiala"
"301011","Araba","Araba","1.1.18","01","1118","NORTE-LEGUTIO","Norte-Legutio"
"308006","Alto Deba","Debagoiena","3.2.01","08","3201","ARRASATE","Arrasate"
"301019","Araba","Araba","1.1.21","01","1121","VALLES ALAVESES II","Valles Alaveses II"
"313001","Rioja Alavesa","Arabako Errioxa","1.2.01","13","1201","RIOJA ALAVESA","Rioja Alavesa"
"301010","Araba","Araba","1.1.17","01","1117","MONTAÑA ALAVESA","Montaña Alavesa"
"301013","Araba","Araba","1.1.07","01","1107","OLAGUIBEL","Olaguibel"
"301012","Araba","Araba","1.1.19","01","1119","NORTE-ZUIA","Norte-Zuia"
"306015","Barrualde - Galdakao","Barrualde - Galdakao","2.5.15","06","2515","LLODIO","Llodio"
"301018","Araba","Araba","1.1.20","01","1120","VALLES ALAVESES I","Valles Alaveses I"
"301001","Araba","Araba","1.1.01","01","1101","ABETXUKO","Abetxuko"
"301002","Araba","Araba","1.1.02","01","1102","ARANBIZKARRA I","Aranbizkarra I"
"301003","Araba","Araba","1.1.03","01","1103","ARANBIZKARRA II","Aranbizkarra II"
"301004","Araba","Araba","1.1.05","01","1105","CASCO VIEJO (VITORIA-GASTEIZ)","Casco Viejo (Vitoria-Gasteiz)"
"301005","Araba","Araba","1.1.08","01","1108","GAZALBIDE - TXAGORRITXU","Gazalbide-Txagorritxu"
"301006","Araba","Araba","1.1.06","01","1106","LA HABANA","La Habana"
"301007","Araba","Araba","1.1.09","01","1109","LAKUA - ARRIAGA","Lakua-Arriaga"
"301008","Araba","Araba","1.1.13","01","1113","LAKUABIZKARRA","Lakuabizkarra"
"301014","Araba","Araba","1.1.10","01","1110","OLARIZU","Olarizu"
"301015","Araba","Araba","1.1.11","01","1111","SALBURUA","Salburua"
"301016","Araba","Araba","1.1.04","01","1104","SAN MARTÍN","San Martín"
"301017","Araba","Araba","1.1.12","01","1112","SANSOMENDI","Sansomendi"
"301020","Araba","Araba","1.1.14","01","1114","ZABALGANA","Zabalgana"
"301021","Araba","Araba","1.1.15","01","1115","ZARAMAGA","Zaramaga"
"310001","Tolosaldea","Tolosaldea","3.4.01","10","3401","ALEGIA","Alegia"
"310005","Tolosaldea","Tolosaldea","3.4.05","10","3405","VILLABONA","Villabona"
"311020","Donostialdea","Donostialdea","3.5.20","11","3520","ZUMAIA - ZESTOA - GETARIA","Zumaia-Zestoa-Getaria"
"310002","Tolosaldea","Tolosaldea","3.4.02","10","3402","ANDOAIN","Andoain"
"308007","Alto Deba","Debagoiena","3.2.02","08","3202","BERGARA","Bergara"
"309006","Goierri - Alto Urola","Goierri - Urola Garaia","3.3.06","09","3306","ORDIZIA","Ordizia"
"308009","Alto Deba","Debagoiena","3.2.04","08","3204","VALLE DE LENIZ","Valle de Leniz"
"309004","Goierri - Alto Urola","Goierri - Urola Garaia","3.3.04","09","3304","LAZKAO","Lazkao"
"311019","Donostialdea","Donostialdea","3.5.19","11","3519","ZARAUTZ - ORIO - AIA","Zarautz-Orio-Aia"
"309001","Goierri - Alto Urola","Goierri - Urola Garaia","3.3.01","09","3301","AZKOITIA","Azkoitia"
"309002","Goierri - Alto Urola","Goierri - Urola Garaia","3.3.02","09","3302","AZPEITIA","Azpeitia"
"309003","Goierri - Alto Urola","Goierri - Urola Garaia","3.3.03","09","3303","BEASAIN","Beasain"
"310003","Tolosaldea","Tolosaldea","3.4.03","10","3403","IBARRA","Ibarra"
"307001","Debabarrena","Debabarrena","3.1.01","07","3101","DEBA","Deba"
"307002","Debabarrena","Debabarrena","3.1.02","07","3102","EIBAR","Eibar"
"307005","Debabarrena","Debabarrena","3.1.05","07","3105","TORREKUA","Torrekua"
"307003","Debabarrena","Debabarrena","3.1.03","07","3103","ELGOIBAR","Elgoibar"
"309007","Goierri - Alto Urola","Goierri - Urola Garaia","3.3.07","09","3307","ZUMARRAGA","Zumarraga"
"312002","Bidasoa","Bidasoa","3.6.01","12","3601","HONDARRIBIA","Hondarribia"
"311009","Donostialdea","Donostialdea","3.5.08","11","3508","HERNANI-URNIETA-ASTIGARRAGA","Hernani-Urnieta-Astigarraga"
"310004","Tolosaldea","Tolosaldea","3.4.04","10","3404","TOLOSA","Tolosa"
"312001","Bidasoa","Bidasoa","3.6.02","12","3602","DUMBOA","Dumboa"
"312003","Bidasoa","Bidasoa","3.6.03","12","3603","IRÚN - CENTRO","Irún-Centro"
"309005","Goierri - Alto Urola","Goierri - Urola Garaia","3.3.05","09","3305","LEGAZPI","Legazpi"
"311012","Donostialdea","Donostialdea","3.5.12","11","3512","LEZO - SAN JUAN","Lezo-San Juan"
"308008","Alto Deba","Debagoiena","3.2.03","08","3203","OÑATI","Oñati"
"311014","Donostialdea","Donostialdea","3.5.14","11","3514","OIARTZUN","Oiartzun"
"311017","Donostialdea","Donostialdea","3.5.17","11","3517","PASAIA ANTXO","Pasaia Antxo"
"311018","Donostialdea","Donostialdea","3.5.18","11","3518","PASAIA SAN PEDRO","Pasaia San Pedro"
"311004","Donostialdea","Donostialdea","3.5.04","11","3504","BERAUN - ERRENTERIA","Beraun-Errenteria"
"311007","Donostialdea","Donostialdea","3.5.10","11","3510","IZTIETA - ERRENTERIA","Iztieta-Errenteria"
"311001","Donostialdea","Donostialdea","3.5.01","11","3501","ALZA-ROTETA","Alza-Roteta"
"311002","Donostialdea","Donostialdea","3.5.02","11","3502","AMARA BERRI","Amara Berri"
"311003","Donostialdea","Donostialdea","3.5.03","11","3503","AMARA CENTRO","Amara Centro"
"311005","Donostialdea","Donostialdea","3.5.05","11","3505","BIDEBIETA","Bidebieta"
"311006","Donostialdea","Donostialdea","3.5.06","11","3506","EGIA","Egia"
"311008","Donostialdea","Donostialdea","3.5.07","11","3507","GROS","Gros"
"311010","Donostialdea","Donostialdea","3.5.09","11","3509","INTXAURRONDO","Intxaurrondo"
"311011","Donostialdea","Donostialdea","3.5.11","11","3511","LASARTE - USURBIL","Lasarte-Usurbil"
"311013","Donostialdea","Donostialdea","3.5.13","11","3513","LOIOLA","Loiola"
"311015","Donostialdea","Donostialdea","3.5.15","11","3515","ONDARRETA","Ondarreta"
"311016","Donostialdea","Donostialdea","3.5.16","11","3516","PARTE VIEJA","Parte Vieja"
"306001","Barrualde - Galdakao","Barrualde - Galdakao","2.5.01","06","2501","ABADIÑO-ELORRIO-BERRIZ","Abadiño-Elorrio-Berriz"
"302001","Ezkerraldea - Enkarterri - Cruces","Ezkerraldea - Enkarterri - Cruces","2.1.01","02","2101","ABANTO-MUSKIZ","Abanto-Muskiz"
"306003","Barrualde - Galdakao","Barrualde - Galdakao","2.5.03","06","2503","AMOREBIETA","Amorebieta"
"306014","Barrualde - Galdakao","Barrualde - Galdakao","2.5.14","06","2514","LEKEITIO","Lekeitio"
"306004","Barrualde - Galdakao","Barrualde - Galdakao","2.5.04","06","2504","ARRATIA","Arratia"
"306013","Barrualde - Galdakao","Barrualde - Galdakao","2.5.13","06","2513","GERNIKALDEA","Gernikaldea"
"302002","Ezkerraldea - Enkarterri - Cruces","Ezkerraldea - Enkarterri - Cruces","2.1.02","02","2102","BALMASEDA","Balmaseda"
"306005","Barrualde - Galdakao","Barrualde - Galdakao","2.5.05","06","2505","ARRIGORRIAGA","Arrigorriaga"
"305008","Uribe","Uribe","2.4.08","05","2408","MUNGIA","Mungia"
"304012","Bilbao - Basurto","Bilbo - Basurtu","2.3.11","04","2311","LA PEÑA","La Peña"
"303001","Barakaldo - Sestao","Barakaldo - Sestao","2.2.02","03","2202","LA PAZ","La Paz"
"303002","Barakaldo - Sestao","Barakaldo - Sestao","2.2.03","03","2203","LUTXANA","Lutxana"
"303003","Barakaldo - Sestao","Barakaldo - Sestao","2.2.05","03","2205","RONTEGI","Rontegi"
"303004","Barakaldo - Sestao","Barakaldo - Sestao","2.2.06","03","2206","SAN VICENTE","San Vicente"
"303007","Barakaldo - Sestao","Barakaldo - Sestao","2.2.07","03","2207","URBAN","Urban"
"303008","Barakaldo - Sestao","Barakaldo - Sestao","2.2.08","03","2208","ZABALLA","Zaballa"
"303009","Barakaldo - Sestao","Barakaldo - Sestao","2.2.09","03","2209","ZUAZO","Zuazo"
"304021","Bilbao - Basurto","Bilbo - Basurtu","2.3.21","04","2321","ZORROZA-ALONSOTEGI","Zorroza- Alonsotegi"
"305005","Uribe","Uribe","2.4.05","05","2405","GORLIZ-PLENTZIA","Gorliz-Plentzia"
"306006","Barrualde - Galdakao","Barrualde - Galdakao","2.5.07","06","2507","BASAURI-ARIZ","Basauri-Ariz"
"306007","Barrualde - Galdakao","Barrualde - Galdakao","2.5.06","06","2506","BASAURI-KAREAGA","Basauri-Kareaga"
"305009","Uribe","Uribe","2.4.09","05","2409","SOPELANA","Sopelana"
"304001","Bilbao - Basurto","Bilbo - Basurtu","2.3.01","04","2301","BASURTO","Basurto"
"304002","Bilbao - Basurto","Bilbo - Basurtu","2.3.02","04","2302","BEGOÑA","Begoña"
"304003","Bilbao - Basurto","Bilbo - Basurtu","2.3.04","04","2304","BOLUETA - SAGARMINAGA","Bolueta-Sagarminaga"
"304004","Bilbao - Basurto","Bilbo - Basurtu","2.3.05","04","2305","BOMBERO ETXANIZ","Bombero Etxaniz"
"304005","Bilbao - Basurto","Bilbo - Basurtu","2.3.06","04","2306","CASCO VIEJO (BILBAO)","Casco Viejo (Bilbao)"
"304006","Bilbao - Basurto","Bilbo - Basurtu","2.3.07","04","2307","DEUSTO","Deusto"
"304007","Bilbao - Basurto","Bilbo - Basurtu","2.3.22","04","2322","GAZTELEKU","Gazteleku"
"304008","Bilbao - Basurto","Bilbo - Basurtu","2.3.08","04","2308","INDAUTXU","Indautxu"
"304009","Bilbao - Basurto","Bilbo - Basurtu","2.3.09","04","2309","JAVIER SÁENZ DE BURUAGA","Javier Sáenz de Buruaga"
