"date","province","ccaa","new_cases","PCR","TestAc","activos","hospitalized","intensive_care","deceased","cases_accumulated","cases_accumulated_PCR","recovered","source_name","source","comments"
"2020-03-01","Badajoz","Extremadura","2","","","","","0","0","2","","0","Hoy.es","https://www.hoy.es/extremadura/sanidad-confirma-coronavirus-20200301102100-nt.html",""
"2020-03-01","Cáceres","Extremadura","2","","","","","0","0","2","","0","Hoy.es","https://www.hoy.es/extremadura/sanidad-confirma-coronavirus-20200301102100-nt.html",""
"2020-03-02","Badajoz","Extremadura","2","","","","","0","0","4","","0","Junta de Extremadura","http://www.juntaex.es/comunicacion/noticia?idPub=29831#.XnOS0XJ7mM8",""
"2020-03-02","Cáceres","Extremadura","0","","","","","0","0","2","","0","Junta de Extremadura","http://www.juntaex.es/comunicacion/noticia?idPub=29831#.XnOS0XJ7mM9",""
"2020-03-03","Badajoz","Extremadura","0","","","","","0","0","4","","0","Falta fuente","",""
"2020-03-03","Cáceres","Extremadura","0","","","","","0","0","2","","0","Falta fuente","",""
"2020-03-04","Badajoz","Extremadura","0","","","","","0","0","4","","0","Falta fuente","",""
"2020-03-04","Cáceres","Extremadura","0","","","","","0","0","2","","0","Falta fuente","",""
"2020-03-05","Badajoz","Extremadura","0","","","","","0","0","4","","0","Junta de Extremadura","http://www.juntaex.es/comunicacion/noticia?idPub=29866#.XnOUWnJ7mM8",""
"2020-03-05","Cáceres","Extremadura","0","","","","","0","0","2","","0","Junta de Extremadura","http://www.juntaex.es/comunicacion/noticia?idPub=29866#.XnOUWnJ7mM9",""
"2020-03-06","Badajoz","Extremadura","0","","","","","0","0","4","","0","Junta de Extremadura","http://www.juntaex.es/comunicacion/noticia?idPub=29875#.XnOUlHJ7mM8",""
"2020-03-06","Cáceres","Extremadura","0","","","","","0","0","2","","0","Junta de Extremadura","http://www.juntaex.es/comunicacion/noticia?idPub=29875#.XnOUlHJ7mM8",""
"2020-03-07","Badajoz","Extremadura","0","","","","","0","0","4","","0","Falta fuente","",""
"2020-03-07","Cáceres","Extremadura","0","","","","","0","0","2","","0","Falta fuente","",""
"2020-03-08","Badajoz","Extremadura","0","","","","","0","0","4","","0","Falta fuente","",""
"2020-03-08","Cáceres","Extremadura","0","","","","","0","0","2","","0","Falta fuente","",""
"2020-03-09","Badajoz","Extremadura","0","","","","","0","0","4","","0","Falta fuente","",""
"2020-03-09","Cáceres","Extremadura","1","","","","","0","0","3","","1","Hoy.es","https://www.hoy.es/prov-caceres/extremadura-registra-nuevo-20200309134239-nt.html",""
"2020-03-10","Badajoz","Extremadura","1","","","","","0","0","5","","0","Junta de Extremadura","http://www.juntaex.es/comunicacion/noticia?idPub=29900#.XnOVMnJ7mM8",""
"2020-03-10","Cáceres","Extremadura","0","","","","","1","0","3","","1","Junta de Extremadura","http://www.juntaex.es/comunicacion/noticia?idPub=29900#.XnOVMnJ7mM9",""
"2020-03-11","Badajoz","Extremadura","0","","","","","0","0","5","","0","Falta fuente","",""
"2020-03-11","Cáceres","Extremadura","2","","","","","1","1","5","","1","Hoy.es","https://www.hoy.es/extremadura/primera-muerte-coronavirus-20200311112331-nt.html",""
"2020-03-12","Badajoz","Extremadura","3","","","","","0","0","8","","1","Hoy.es","https://www.hoy.es/extremadura/extremadura-acumula-casos-20200312113829-nt.html",""
"2020-03-12","Cáceres","Extremadura","12","","","","","1","1","17","","2","Hoy.es","https://www.hoy.es/extremadura/extremadura-acumula-casos-20200312113829-nt.html",""
"2020-03-13","Badajoz","Extremadura","3","","","","","1","0","11","","1","Junta de Extremadura","http://www.juntaex.es/comunicacion/noticia?idPub=29920#.XnOYfXJ7mM8",""
"2020-03-13","Cáceres","Extremadura","14","","","","","1","1","31","","2","Junta de Extremadura","http://www.juntaex.es/comunicacion/noticia?idPub=29920#.XnOYfXJ7mM8",""
"2020-03-14","Badajoz","Extremadura","14","","","","","1","0","25","","3","Junta de Extremadura","http://www.juntaex.es/comunicacion/noticia?idPub=29927#.XnOdfnJ7mM8",""
"2020-03-14","Cáceres","Extremadura","14","","","","","1","2","45","","2","Junta de Extremadura","http://www.juntaex.es/comunicacion/noticia?idPub=29927#.XnOdfnJ7mM8",""
"2020-03-15","Badajoz","Extremadura","3","","","","","1","0","28","","3","Hoy.es","https://www.hoy.es/extremadura/numero-contagiados-coronavirus-20200315121755-nt.html",""
"2020-03-15","Cáceres","Extremadura","22","","","","","1","3","67","","2","Hoy.es","https://www.hoy.es/extremadura/numero-contagiados-coronavirus-20200315121755-nt.html",""
"2020-03-16","Badajoz","Extremadura","11","","","","","1","0","39","","3","elperiodicoextremadura.com","https://www.elperiodicoextremadura.com/noticias/sociedad/extremadura-suma-128-casos-coronavirus-dos-focos-arroyo-malpartida-plasenca_1224497.html",""
"2020-03-16","Cáceres","Extremadura","22","","","","","2","3","89","","2","elperiodicoextremadura.com","https://www.elperiodicoextremadura.com/noticias/sociedad/extremadura-suma-128-casos-coronavirus-dos-focos-arroyo-malpartida-plasenca_1224497.html",""
"2020-03-17","Badajoz","Extremadura","11","","","","","1","0","50","","3","Hoy.es","https://www.hoy.es/extremadura/extremadura-registra-casos-20200317123937-nt.html",""
"2020-03-17","Cáceres","Extremadura","14","","","","","2","5","103","","2","Hoy.es","https://www.hoy.es/extremadura/extremadura-registra-casos-20200317123937-nt.html",""
"2020-03-18","Badajoz","Extremadura","11","","","","11","1","0","61","","4","Junta de Extremadura","http://www.juntaex.es/comunicacion/noticia?idPub=29940#.XnOlYnJ7mM8",""
"2020-03-18","Cáceres","Extremadura","30","","","","24","2","8","133","","2","Junta de Extremadura","http://www.juntaex.es/comunicacion/noticia?idPub=29940#.XnOlYnJ7mM8",""
"2020-03-19","Badajoz","Extremadura","16","","","73","12","1","0","77","","4","Junta de Extremadura","http://www.juntaex.es/comunicacion/noticia?idPub=29949#.XnYrdXJ7mM8",""
"2020-03-19","Cáceres","Extremadura","31","","","153","29","3","9","164","","2","Junta de Extremadura","http://www.juntaex.es/comunicacion/noticia?idPub=29949#.XnYrdXJ7mM8",""
"2020-03-20","Badajoz","Extremadura","14","","","87","16","2","0","91","","4","Junta de Extremadura","http://www.juntaex.es/comunicacion/noticia?idPub=29953#.XnYvbXJ7mM8",""
"2020-03-20","Cáceres","Extremadura","42","","","194","47","4","10","206","","2","Junta de Extremadura","http://www.juntaex.es/comunicacion/noticia?idPub=29953#.XnYvbXJ7mM8",""
"2020-03-21","Badajoz","Extremadura","20","","","106","29","2","1","111","","4","Junta de Extremadura","http://www.juntaex.es/comunicacion/noticia?idPub=29957#.XnYxUHJ7mM8",""
"2020-03-21","Cáceres","Extremadura","37","","","230","65","7","11","243","","2","Junta de Extremadura","http://www.juntaex.es/comunicacion/noticia?idPub=29957#.XnYxUHJ7mM8",""
"2020-03-22","Badajoz","Extremadura","29","","","135","34","3","1","140","","4","Junta de Extremadura","http://www.juntaex.es/comunicacion/noticia?idPub=29960#.XoGrenJS-M8",""
"2020-03-22","Cáceres","Extremadura","16","","","244","97","10","13","259","","2","Junta de Extremadura","http://www.juntaex.es/comunicacion/noticia?idPub=29960#.XoGrenJS-M8",""
"2020-03-23","Badajoz","Extremadura","28","","","163","46","4","1","168","","4","Junta de Extremadura","http://www.juntaex.es/comunicacion/noticia?idPub=29964#.XoGqmXJS-M8",""
"2020-03-23","Cáceres","Extremadura","66","","","306","114","14","17","325","","2","Junta de Extremadura","http://www.juntaex.es/comunicacion/noticia?idPub=29964#.XoGqmXJS-M8",""
