"date","province","ccaa","health_area","new_cases","PCR","TestAc","activos","hospitalized","intensive_care","deceased","cases_accumulated","cases_accumulated_PCR","recovered"
"2020-08-18","Badajoz","Extremadura","Badajoz","21","","","","1","0","33","800","","727"
"2020-08-18","Cáceres","Extremadura","Cáceres","11","","","","5","0","271","1527","","1988"
"2020-08-18","Badajoz","Extremadura","Mérida","8","","","","1","0","32","288","","426"
"2020-08-18","Cáceres","Extremadura","Plasencia","18","","","","2","2","77","405","","608"
"2020-08-18","Badajoz","Extremadura","Don Benito","17","","","","12","1","22","468","","386"
"2020-08-18","Cáceres","Extremadura","Navalmoral","3","","","","0","0","60","309","","376"
"2020-08-18","Cáceres","Extremadura","Coria","0","","","","0","0","22","119","","200"
"2020-08-18","Badajoz","Extremadura","Llerena-Zafra","4","","","","1","0","6","99","","62"
"2020-08-19","Badajoz","Extremadura","Badajoz","23","","","","2","0","34","823","","734"
"2020-08-19","Cáceres","Extremadura","Cáceres","23","","","","7","0","271","1550","","1993"
"2020-08-19","Badajoz","Extremadura","Mérida","11","","","","2","0","32","299","","426"
"2020-08-19","Cáceres","Extremadura","Plasencia","9","","","","3","2","77","414","","609"
"2020-08-19","Badajoz","Extremadura","Don Benito","6","","","","14","1","22","474","","397"
"2020-08-19","Cáceres","Extremadura","Navalmoral","23","","","","0","0","60","332","","376"
"2020-08-19","Cáceres","Extremadura","Coria","0","","","","0","0","22","119","","200"
"2020-08-19","Badajoz","Extremadura","Llerena-Zafra","3","","","","1","0","6","102","","62"
"2020-08-20","Badajoz","Extremadura","Badajoz","20","","","","2","1","34","843","","734"
"2020-08-20","Cáceres","Extremadura","Cáceres","22","","","","7","0","271","1572","","1993"
"2020-08-20","Badajoz","Extremadura","Mérida","6","","","","2","0","32","305","","426"
"2020-08-20","Cáceres","Extremadura","Plasencia","4","","","","3","2","77","418","","614"
"2020-08-20","Badajoz","Extremadura","Don Benito","7","","","","12","0","23","481","","408"
"2020-08-20","Cáceres","Extremadura","Navalmoral","6","","","","1","0","60","338","","376"
"2020-08-20","Cáceres","Extremadura","Coria","9","","","","1","0","22","128","","200"
"2020-08-20","Badajoz","Extremadura","Llerena-Zafra","5","","","","1","0","6","107","","62"
"2020-08-21","Badajoz","Extremadura","Badajoz","6","","","","3","1","34","849","","739"
"2020-08-21","Cáceres","Extremadura","Cáceres","19","","","","8","1","271","1591","","1993"
"2020-08-21","Badajoz","Extremadura","Mérida","11","","","","2","0","32","316","","426"
"2020-08-21","Cáceres","Extremadura","Plasencia","7","","","","3","2","77","425","","614"
"2020-08-21","Badajoz","Extremadura","Don Benito","30","","","","9","0","24","511","","408"
"2020-08-21","Cáceres","Extremadura","Navalmoral","10","","","","1","0","60","348","","376"
"2020-08-21","Cáceres","Extremadura","Coria","1","","","","1","0","22","129","","200"
"2020-08-21","Badajoz","Extremadura","Llerena-Zafra","6","","","","1","0","6","113","","62"
"2020-08-22","Badajoz","Extremadura","Badajoz","40","","","","3","1","34","889","","741"
"2020-08-22","Cáceres","Extremadura","Cáceres","12","","","","8","1","271","1603","","1995"
"2020-08-22","Badajoz","Extremadura","Mérida","9","","","","3","0","32","325","","426"
"2020-08-22","Cáceres","Extremadura","Plasencia","7","","","","3","2","77","432","","614"
"2020-08-22","Badajoz","Extremadura","Don Benito","12","","","","10","0","24","523","","408"
"2020-08-22","Cáceres","Extremadura","Navalmoral","15","","","","1","0","60","363","","376"
"2020-08-22","Cáceres","Extremadura","Coria","0","","","","1","0","22","129","","200"
"2020-08-22","Badajoz","Extremadura","Llerena-Zafra","7","","","","2","0","6","120","","62"
"2020-08-23","Badajoz","Extremadura","Badajoz","14","","","","4","1","34","903","","741"
"2020-08-23","Cáceres","Extremadura","Cáceres","5","","","","11","1","271","1608","","1995"
"2020-08-23","Badajoz","Extremadura","Mérida","5","","","","4","0","32","330","","426"
"2020-08-23","Cáceres","Extremadura","Plasencia","0","","","","3","2","77","432","","618"
"2020-08-23","Badajoz","Extremadura","Don Benito","4","","","","12","0","24","527","","419"
"2020-08-23","Cáceres","Extremadura","Navalmoral","39","","","","0","0","60","402","","381"
"2020-08-23","Cáceres","Extremadura","Coria","0","","","","1","0","22","129","","201"
"2020-08-23","Badajoz","Extremadura","Llerena-Zafra","4","","","","2","0","6","124","","62"
"2020-08-24","Badajoz","Extremadura","Badajoz","9","","","","4","1","34","912","","741"
"2020-08-24","Cáceres","Extremadura","Cáceres","12","","","","13","1","271","1620","","1998"
"2020-08-24","Badajoz","Extremadura","Mérida","13","","","","3","0","32","343","","426"
"2020-08-24","Cáceres","Extremadura","Plasencia","2","","","","3","1","77","434","","622"
"2020-08-24","Badajoz","Extremadura","Don Benito","5","","","","14","0","24","532","","419"
"2020-08-24","Cáceres","Extremadura","Navalmoral","4","","","","0","0","60","406","","381"
"2020-08-24","Cáceres","Extremadura","Coria","1","","","","0","0","22","130","","204"
"2020-08-24","Badajoz","Extremadura","Llerena-Zafra","3","","","","0","0","6","127","","62"
"2020-08-25","Badajoz","Extremadura","Badajoz","9","","","","5","1","34","921","","756"
"2020-08-25","Cáceres","Extremadura","Cáceres","41","","","","10","1","271","1661","","1999"
"2020-08-25","Badajoz","Extremadura","Mérida","8","","","","3","0","32","351","","433"
"2020-08-25","Cáceres","Extremadura","Plasencia","2","","","","4","2","77","436","","624"
"2020-08-25","Badajoz","Extremadura","Don Benito","16","","","","14","1","24","548","","452"
"2020-08-25","Cáceres","Extremadura","Navalmoral","4","","","","2","0","60","410","","382"
"2020-08-25","Cáceres","Extremadura","Coria","3","","","","0","0","22","133","","204"
"2020-08-25","Badajoz","Extremadura","Llerena-Zafra","10","","","","2","0","6","137","","67"
"2020-08-26","Badajoz","Extremadura","Badajoz","10","","","","6","1","34","931","","760"
"2020-08-26","Cáceres","Extremadura","Cáceres","23","","","","10","1","271","1684","","2006"
"2020-08-26","Badajoz","Extremadura","Mérida","9","","","","3","0","32","360","","433"
"2020-08-26","Cáceres","Extremadura","Plasencia","8","","","","5","4","77","444","","628"
"2020-08-26","Badajoz","Extremadura","Don Benito","19","","","","13","1","24","567","","466"
"2020-08-26","Cáceres","Extremadura","Navalmoral","8","","","","1","0","60","418","","383"
"2020-08-26","Cáceres","Extremadura","Coria","2","","","","0","0","22","135","","204"
"2020-08-26","Badajoz","Extremadura","Llerena-Zafra","9","","","","2","0","6","146","","68"
"2020-08-27","Badajoz","Extremadura","Badajoz","12","","","","7","1","34","943","","768"
"2020-08-27","Cáceres","Extremadura","Cáceres","5","","","","11","1","271","1689","","2009"
"2020-08-27","Badajoz","Extremadura","Mérida","29","","","","4","0","32","389","","437"
"2020-08-27","Cáceres","Extremadura","Plasencia","6","","","","5","4","77","450","","628"
"2020-08-27","Badajoz","Extremadura","Don Benito","17","","","","12","1","24","584","","470"
"2020-08-27","Cáceres","Extremadura","Navalmoral","5","","","","1","0","60","423","","383"
"2020-08-27","Cáceres","Extremadura","Coria","0","","","","0","0","22","135","","209"
"2020-08-27","Badajoz","Extremadura","Llerena-Zafra","17","","","","2","0","6","163","","68"
