"date","province","ccaa","new_cases","PCR","TestAc","activos","hospitalized","intensive_care","deceased","cases_accumulated","cases_accumulated_PCR","recovered","source_name","source","comments","","casos_acumul_old","recovered_old","deceased_old"
"2020-03-02","Coruña, A","Galicia","","","","0","","","0","","","","galiciancovid19.info","https://galiciancovid19.info/","","","","",""
"2020-03-03","Coruña, A","Galicia","","","","0","","","0","","","","galiciancovid19.info","https://galiciancovid19.info/","","","","",""
"2020-03-04","Coruña, A","Galicia","","","","0","","","0","","","","galiciancovid19.info","https://galiciancovid19.info/","","","","",""
"2020-03-05","Coruña, A","Galicia","","","","0","","","0","","","","galiciancovid19.info","https://galiciancovid19.info/","","","","",""
"2020-03-06","Coruña, A","Galicia","","","","0","","","0","","","","galiciancovid19.info","https://galiciancovid19.info/","","","","",""
"2020-03-07","Coruña, A","Galicia","","","","1","","","0","","","","galiciancovid19.info","https://galiciancovid19.info/","","","","",""
"2020-03-08","Coruña, A","Galicia","","","","1","1","1","0","","","0","galiciancovid19.info; diariodeferrol.com;","https://galiciancovid19.info/; https://www.diariodeferrol.com/articulo/galicia/son-afectados-coronavirus-galicia-ellos-uci/20200308172530276460.html; ;","","","","",""
"2020-03-09","Coruña, A","Galicia","","","","1","1","1","0","","","0","galiciancovid19.info; laopinioncoruna.es;","https://galiciancovid19.info/; https://www.laopinioncoruna.es/sociedad/2020/03/09/coronavirus-galicia--seis-casos/1484438.html; ;","","","","",""
"2020-03-10","Coruña, A","Galicia","","","","2","2","1","0","","","0","galiciancovid19.info; farodevigo.es;","https://galiciancovid19.info/; https://www.farodevigo.es/sociedad/2020/03/10/casos-confirmados-coronavirus-triplican-galicia/2260567.html; ;","","","","",""
"2020-03-11","Coruña, A","Galicia","","","","2","2","1","0","","","0","galiciancovid19.info; diariodeferrol.com;","https://galiciancovid19.info/; https://www.diariodeferrol.com/articulo/galicia/galicia-registra-44-casos-coronavirus-15-pendientes-confirmacion-madrid/20200311185845276726.html; ;","","","","",""
"2020-03-12","Coruña, A","Galicia","","","","13","6","1","0","","","0","galiciancovid19.info; laopinioncoruna.es;","https://galiciancovid19.info/; https://www.laopinioncoruna.es/sociedad/2020/03/12/sergas-derivara-atencion-telefonica-o/1485220.html; ;","","","","",""
"2020-03-13","Coruña, A","Galicia","","","","20","13","4","0","","","3","galiciancovid19.info; laopinioncoruna.es;","https://galiciancovid19.info/; https://www.laopinioncoruna.es/sociedad/2020/03/13/coronavirus-galicia--sanidade-preve/1485616.html; ;","","","","",""
"2020-03-14","Coruña, A","Galicia","","","","30","13","5","0","","","3","galiciancovid19.info; redaccionmedica.com;","https://galiciancovid19.info/; https://www.redaccionmedica.com/ultimas-noticias-sanidad/coronavirus-galicia-registra-la-primera-muerte-por-coronavirus-y-los-afectados-aumentan-a-135; ;","","","","",""
"2020-03-15","Coruña, A","Galicia","","","","42","22","5","0","","","7","galiciancovid19.info; laregion.es; elespanol.com; diariodeferrol.com","https://galiciancovid19.info/; https://www.laregion.es/articulo/galicia/galicia-mantiene-153-casos-positivos-coronavirus-19-ourense/20200315122842932936.html ; https://www.elespanol.com/quincemil/articulos/actualidad/en-galicia-ya-hay-189-infectados-por-coronavirus-72-en-a-coruna; ; https://www.diariodeferrol.com/articulo/ferrol/son-casos-afectados-coronavirus-ferrol-comarca/20200315010755276995.html","","","","",""
"2020-03-16","Coruña, A","Galicia","","","","61","24","4","1","","","8","galiciancovid19.info; laopinioncoruna.es;","https://galiciancovid19.info/; https://www.laopinioncoruna.es/sociedad/2020/03/16/coronavirus-coruna--paciente-coronavirus/1486421.html; ;","","","","",""
"2020-03-17","Coruña, A","Galicia","","","","77","41","7","1","","","8","galiciancovid19.info; lavozdegalicia.es","https://galiciancovid19.info/; ; https://www.lavozdegalicia.es/noticia/santiago/2020/03/17/37-casos-coronavirus-area-sanitaria-santiago-30-domicilio/0003_202003S17C3991.htm;","","","","",""
