"CCAA","FECHA","CASOS","PCR.","TestAc.","Hospitalizados","UCI","Fallecidos"
"AN","20/2/2020",0,0,NA,NA,NA,NA
"AR","20/2/2020",NA,0,NA,NA,NA,NA
"AS","20/2/2020",NA,0,NA,NA,NA,NA
"IB","20/2/2020",NA,1,NA,NA,NA,NA
"CN","20/2/2020",NA,1,NA,NA,NA,NA
"CB","20/2/2020",NA,0,NA,NA,NA,NA
"CM","20/2/2020",NA,0,NA,NA,NA,NA
"CL","20/2/2020",NA,0,NA,NA,NA,NA
"CT","20/2/2020",NA,0,NA,NA,NA,NA
"CE","20/2/2020",NA,0,NA,NA,NA,NA
"VC","20/2/2020",NA,0,NA,26,0,NA
"EX","20/2/2020",NA,0,NA,NA,NA,NA
"GA","20/2/2020",NA,0,NA,NA,NA,NA
"MD","20/2/2020",NA,1,NA,NA,NA,NA
"ML","20/2/2020",NA,0,NA,NA,NA,NA
"MC","20/2/2020",NA,0,NA,NA,NA,NA
"NC","20/2/2020",NA,0,NA,NA,NA,NA
"PV","20/2/2020",NA,0,NA,NA,NA,NA
"RI","20/2/2020",NA,0,NA,NA,NA,NA
"AN","21/2/2020",NA,0,NA,NA,NA,NA
"AR","21/2/2020",NA,0,NA,NA,NA,NA
"AS","21/2/2020",NA,0,NA,NA,NA,NA
"IB","21/2/2020",NA,1,NA,NA,NA,NA
"CN","21/2/2020",NA,1,NA,NA,NA,NA
"CB","21/2/2020",NA,0,NA,NA,NA,NA
"CM","21/2/2020",NA,0,NA,NA,NA,NA
"CL","21/2/2020",NA,0,NA,NA,NA,NA
"CT","21/2/2020",NA,0,NA,NA,NA,NA
"CE","21/2/2020",NA,0,NA,NA,NA,NA
"VC","21/2/2020",NA,0,NA,30,1,NA
"EX","21/2/2020",NA,0,NA,NA,NA,NA
"GA","21/2/2020",NA,0,NA,NA,NA,NA
"MD","21/2/2020",NA,1,NA,NA,NA,NA
"ML","21/2/2020",NA,0,NA,NA,NA,NA
"MC","21/2/2020",NA,0,NA,NA,NA,NA
"NC","21/2/2020",NA,0,NA,NA,NA,NA
"PV","21/2/2020",NA,0,NA,NA,NA,NA
"RI","21/2/2020",NA,0,NA,NA,NA,NA
"AN","22/2/2020",NA,0,NA,NA,NA,NA
"AR","22/2/2020",NA,0,NA,NA,NA,NA
"AS","22/2/2020",NA,0,NA,NA,NA,NA
"IB","22/2/2020",NA,1,NA,NA,NA,NA
"CN","22/2/2020",NA,1,NA,NA,NA,NA
"CB","22/2/2020",NA,0,NA,NA,NA,NA
"CM","22/2/2020",NA,0,NA,NA,NA,NA
"CL","22/2/2020",NA,0,NA,NA,NA,NA
"CT","22/2/2020",NA,0,NA,NA,NA,NA
"CE","22/2/2020",NA,0,NA,NA,NA,NA
"VC","22/2/2020",NA,0,NA,33,1,NA
"EX","22/2/2020",NA,0,NA,NA,NA,NA
"GA","22/2/2020",NA,0,NA,NA,NA,NA
"MD","22/2/2020",NA,1,NA,NA,NA,NA
"ML","22/2/2020",NA,0,NA,NA,NA,NA
"MC","22/2/2020",NA,0,NA,NA,NA,NA
"NC","22/2/2020",NA,0,NA,NA,NA,NA
"PV","22/2/2020",NA,0,NA,NA,NA,NA
"RI","22/2/2020",NA,0,NA,NA,NA,NA
