provincia_iso,fecha,num_casos
A,2020-01-01,0
AB,2020-01-01,0
AL,2020-01-01,0
AV,2020-01-01,0
B,2020-01-01,0
BA,2020-01-01,0
BI,2020-01-01,0
BU,2020-01-01,0
C,2020-01-01,0
CA,2020-01-01,0
CC,2020-01-01,0
CE,2020-01-01,0
CO,2020-01-01,0
CR,2020-01-01,0
CS,2020-01-01,0
CU,2020-01-01,0
GC,2020-01-01,0
GI,2020-01-01,0
GR,2020-01-01,0
GU,2020-01-01,0
H,2020-01-01,0
HU,2020-01-01,0
J,2020-01-01,0
L,2020-01-01,1
LE,2020-01-01,0
LO,2020-01-01,0
LU,2020-01-01,0
M,2020-01-01,2
MA,2020-01-01,0
ME,2020-01-01,0
MU,2020-01-01,0
NA,2020-01-01,0
O,2020-01-01,0
OR,2020-01-01,0
P,2020-01-01,0
PM,2020-01-01,0
PO,2020-01-01,0
S,2020-01-01,0
SA,2020-01-01,0
SE,2020-01-01,0
SG,2020-01-01,0
SO,2020-01-01,0
SS,2020-01-01,0
T,2020-01-01,1
TE,2020-01-01,0
TF,2020-01-01,0
TO,2020-01-01,0
V,2020-01-01,0
VA,2020-01-01,0
VI,2020-01-01,0
Z,2020-01-01,0
ZA,2020-01-01,0
A,2020-01-02,0
AB,2020-01-02,0
AL,2020-01-02,0
AV,2020-01-02,0
B,2020-01-02,1
BA,2020-01-02,0
BI,2020-01-02,0
BU,2020-01-02,0
C,2020-01-02,0
CA,2020-01-02,0
CC,2020-01-02,0
CE,2020-01-02,0
CO,2020-01-02,0
CR,2020-01-02,0
CS,2020-01-02,0
CU,2020-01-02,0
GC,2020-01-02,0
GI,2020-01-02,0
GR,2020-01-02,0
GU,2020-01-02,0
H,2020-01-02,0
HU,2020-01-02,0
J,2020-01-02,0
L,2020-01-02,0
LE,2020-01-02,0
LO,2020-01-02,0
LU,2020-01-02,0
M,2020-01-02,0
MA,2020-01-02,0
ME,2020-01-02,0
MU,2020-01-02,0
NA,2020-01-02,0
O,2020-01-02,0
OR,2020-01-02,0
P,2020-01-02,0
PM,2020-01-02,0
PO,2020-01-02,0
S,2020-01-02,0
SA,2020-01-02,0
SE,2020-01-02,1
SG,2020-01-02,0
SO,2020-01-02,0
SS,2020-01-02,0
T,2020-01-02,0
TE,2020-01-02,0
TF,2020-01-02,0
TO,2020-01-02,0
V,2020-01-02,0
VA,2020-01-02,0
VI,2020-01-02,0
Z,2020-01-02,0
ZA,2020-01-02,0
A,2020-01-03,0
AB,2020-01-03,0
AL,2020-01-03,0
AV,2020-01-03,0
B,2020-01-03,0
BA,2020-01-03,0
BI,2020-01-03,0
BU,2020-01-03,0
C,2020-01-03,0
CA,2020-01-03,0
CC,2020-01-03,0
CE,2020-01-03,0
CO,2020-01-03,0
CR,2020-01-03,0
CS,2020-01-03,0
CU,2020-01-03,0
GC,2020-01-03,0
GI,2020-01-03,0
GR,2020-01-03,0
GU,2020-01-03,0
H,2020-01-03,0
HU,2020-01-03,0
J,2020-01-03,0
L,2020-01-03,0
LE,2020-01-03,0
LO,2020-01-03,0
LU,2020-01-03,0
M,2020-01-03,0
MA,2020-01-03,0
ME,2020-01-03,0
MU,2020-01-03,0
NA,2020-01-03,0
O,2020-01-03,0
OR,2020-01-03,0
P,2020-01-03,0
PM,2020-01-03,0
PO,2020-01-03,0
S,2020-01-03,0
SA,2020-01-03,0
SE,2020-01-03,0
SG,2020-01-03,0
SO,2020-01-03,0
SS,2020-01-03,0
T,2020-01-03,0
TE,2020-01-03,0
TF,2020-01-03,0
TO,2020-01-03,0
V,2020-01-03,0
VA,2020-01-03,0
VI,2020-01-03,0
Z,2020-01-03,0
