"date","province","ccaa","new_cases","PCR","TestAc","activos","hospitalized","intensive_care","deceased","cases_accumulated","cases_accumulated_PCR","recovered","source_name","source","comments"
"2020-08-06","Melilla","Melilla","","4","","20","1","0","2","","148","126","Ingesa Melilla - Facebook","https://www.facebook.com/Ingesa-Melilla-Gabinete-de-prensa-610495619441918",""
"2020-08-05","Melilla","Melilla","","4","","16","0","0","2","","144","126","Ingesa Melilla - Facebook","https://www.facebook.com/Ingesa-Melilla-Gabinete-de-prensa-610495619441918",""
"2020-08-04","Melilla","Melilla","","1","","12","0","0","2","","140","126","Ingesa Melilla - Facebook","https://www.facebook.com/Ingesa-Melilla-Gabinete-de-prensa-610495619441918",""
"2020-08-03","Melilla","Melilla","","0","","11","0","0","2","","139","126","Ingesa Melilla - Facebook","https://www.facebook.com/Ingesa-Melilla-Gabinete-de-prensa-610495619441918",""
"2020-08-02","Melilla","Melilla","","2","","11","0","0","2","","139","126","Ingesa Melilla - Facebook","https://www.facebook.com/Ingesa-Melilla-Gabinete-de-prensa-610495619441918",""
"2020-08-01","Melilla","Melilla","","5","","9","0","0","2","","137","126","Ingesa Melilla - Facebook","https://www.facebook.com/Ingesa-Melilla-Gabinete-de-prensa-610495619441918",""
"2020-07-31","Melilla","Melilla","","3","","4","0","0","2","","132","126","Ingesa Melilla - Facebook","https://www.facebook.com/Ingesa-Melilla-Gabinete-de-prensa-610495619441918",""
"2020-07-30","Melilla","Melilla","","0","","1","0","0","2","","129","126","Ingesa Melilla - Facebook","https://www.facebook.com/Ingesa-Melilla-Gabinete-de-prensa-610495619441918",""
"2020-07-29","Melilla","Melilla","","0","","1","0","0","2","","129","126","Ingesa Melilla - Facebook","https://www.facebook.com/Ingesa-Melilla-Gabinete-de-prensa-610495619441918",""
"2020-07-28","Melilla","Melilla","","0","","1","0","0","2","","129","126","Ingesa Melilla - Facebook","https://www.facebook.com/Ingesa-Melilla-Gabinete-de-prensa-610495619441918",""
"2020-07-27","Melilla","Melilla","","0","","1","0","0","2","","129","126","Ingesa Melilla - Facebook","https://www.facebook.com/Ingesa-Melilla-Gabinete-de-prensa-610495619441918",""
"2020-07-26","Melilla","Melilla","","0","","1","0","0","2","","129","126","Ingesa Melilla - Facebook","https://www.facebook.com/Ingesa-Melilla-Gabinete-de-prensa-610495619441918",""
"2020-07-25","Melilla","Melilla","","0","","1","0","0","2","","129","126","Ingesa Melilla - Facebook","https://www.facebook.com/Ingesa-Melilla-Gabinete-de-prensa-610495619441918",""
"2020-07-24","Melilla","Melilla","","0","","1","0","0","2","","129","126","Ingesa Melilla - Facebook","https://www.facebook.com/Ingesa-Melilla-Gabinete-de-prensa-610495619441918",""
"2020-07-23","Melilla","Melilla","","0","","1","0","0","2","","129","126","Ingesa Melilla - Facebook","https://www.facebook.com/Ingesa-Melilla-Gabinete-de-prensa-610495619441918",""
"2020-07-22","Melilla","Melilla","","0","","2","1","0","2","","129","125","Ingesa Melilla - Facebook","https://www.facebook.com/Ingesa-Melilla-Gabinete-de-prensa-610495619441918",""
"2020-07-21","Melilla","Melilla","","0","","2","1","0","2","","129","125","Ingesa Melilla - Facebook","https://www.facebook.com/Ingesa-Melilla-Gabinete-de-prensa-610495619441918",""
"2020-07-20","Melilla","Melilla","","0","","2","1","0","2","","129","125","Ingesa Melilla - Facebook","https://www.facebook.com/Ingesa-Melilla-Gabinete-de-prensa-610495619441918",""
"2020-07-19","Melilla","Melilla","","0","","2","1","0","2","","129","125","Ingesa Melilla - Facebook","https://www.facebook.com/Ingesa-Melilla-Gabinete-de-prensa-610495619441918",""
"2020-07-18","Melilla","Melilla","","0","","2","1","0","2","","129","125","Ingesa Melilla - Facebook","https://www.facebook.com/Ingesa-Melilla-Gabinete-de-prensa-610495619441918",""
"2020-07-17","Melilla","Melilla","","1","","2","1","0","2","","129","125","Ingesa Melilla - Facebook","https://www.facebook.com/Ingesa-Melilla-Gabinete-de-prensa-610495619441918",""
"2020-07-16","Melilla","Melilla","","0","","2","1","0","2","","128","124","Ingesa Melilla - Facebook","https://www.facebook.com/Ingesa-Melilla-Gabinete-de-prensa-610495619441918",""
"2020-07-15","Melilla","Melilla","","2","","2","1","0","2","","128","124","Ingesa Melilla - Facebook","https://www.facebook.com/Ingesa-Melilla-Gabinete-de-prensa-610495619441918",""
"2020-07-14","Melilla","Melilla","","0","","0","0","0","2","","126","124","Ingesa Melilla - Facebook","https://www.facebook.com/Ingesa-Melilla-Gabinete-de-prensa-610495619441918",""
"2020-07-13","Melilla","Melilla","","0","","0","0","0","2","","126","124","Ingesa Melilla - Facebook","https://www.facebook.com/Ingesa-Melilla-Gabinete-de-prensa-610495619441918",""
"2020-07-12","Melilla","Melilla","","0","","0","0","0","2","","126","124","Ingesa Melilla - Facebook","https://www.facebook.com/Ingesa-Melilla-Gabinete-de-prensa-610495619441918",""
"2020-07-11","Melilla","Melilla","","0","","0","0","0","2","","126","124","Ingesa Melilla - Facebook","https://www.facebook.com/Ingesa-Melilla-Gabinete-de-prensa-610495619441918",""
"2020-07-10","Melilla","Melilla","","0","","0","0","0","2","","126","124","Ingesa Melilla - Facebook","https://www.facebook.com/Ingesa-Melilla-Gabinete-de-prensa-610495619441918",""
"2020-07-09","Melilla","Melilla","","0","","0","0","0","2","","126","124","Ingesa Melilla - Facebook","https://www.facebook.com/Ingesa-Melilla-Gabinete-de-prensa-610495619441918",""
"2020-07-08","Melilla","Melilla","","0","","0","0","0","2","","126","124","Ingesa Melilla - Facebook","https://www.facebook.com/Ingesa-Melilla-Gabinete-de-prensa-610495619441918",""
"2020-07-07","Melilla","Melilla","","0","","0","0","0","2","","126","124","Ingesa Melilla - Facebook","https://www.facebook.com/Ingesa-Melilla-Gabinete-de-prensa-610495619441918",""
"2020-07-06","Melilla","Melilla","","0","","0","0","0","2","","126","124","Ingesa Melilla - Facebook","https://www.facebook.com/Ingesa-Melilla-Gabinete-de-prensa-610495619441918",""
"2020-07-05","Melilla","Melilla","","0","","0","0","0","2","","126","124","Ingesa Melilla - Facebook","https://www.facebook.com/Ingesa-Melilla-Gabinete-de-prensa-610495619441918",""
"2020-07-04","Melilla","Melilla","","0","","0","0","0","2","","126","124","Ingesa Melilla - Facebook","https://www.facebook.com/Ingesa-Melilla-Gabinete-de-prensa-610495619441918",""
"2020-07-03","Melilla","Melilla","","0","","0","0","0","2","","126","124","Ingesa Melilla - Facebook","https://www.facebook.com/Ingesa-Melilla-Gabinete-de-prensa-610495619441918",""
"2020-07-02","Melilla","Melilla","","0","","0","0","0","2","","126","124","Ingesa Melilla - Facebook","https://www.facebook.com/Ingesa-Melilla-Gabinete-de-prensa-610495619441918",""
"2020-07-01","Melilla","Melilla","","0","","1","0","0","2","","126","123","Ingesa Melilla - Facebook","https://www.facebook.com/Ingesa-Melilla-Gabinete-de-prensa-610495619441918",""
"2020-06-30","Melilla","Melilla","","0","","1","0","0","2","","126","123","Ingesa Melilla - Facebook","https://www.facebook.com/Ingesa-Melilla-Gabinete-de-prensa-610495619441918",""
"2020-06-29","Melilla","Melilla","","0","","1","0","0","2","","126","123","Ingesa Melilla - Facebook","https://www.facebook.com/Ingesa-Melilla-Gabinete-de-prensa-610495619441918",""
"2020-06-28","Melilla","Melilla","","0","","2","0","0","2","","126","122","Ingesa Melilla - Facebook","https://www.facebook.com/Ingesa-Melilla-Gabinete-de-prensa-610495619441918",""
"2020-06-27","Melilla","Melilla","","0","","2","0","0","2","","126","122","Ingesa Melilla - Facebook","https://www.facebook.com/Ingesa-Melilla-Gabinete-de-prensa-610495619441918",""
"2020-06-26","Melilla","Melilla","","0","","2","0","0","2","","126","122","Ingesa Melilla - Facebook","https://www.facebook.com/Ingesa-Melilla-Gabinete-de-prensa-610495619441918",""
