;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Detección epidemiológica;;;;;;;;;;;;Asistencial;;;;;;;;;;;;;;;;;;
;Casos confirmados solo por PCR, según criterio del Ministerio;;Altas Epidemiológicas;;Fallecimientos;;Pruebas PCR;;;Test anticuerpos;;;Hospitalizaciones actuales;;;;;;;;;;;;;;;;;;
Fecha;Totales acumulados;Variación 24 horas;Totales acumuladas;Variación 24 horas;Totales acumulados;Variación 24 horas;Totales ;Positivas;% Pruebas positivas;Totales ;Positivos;% Pruebas positivas;Totales;Variación 24 horas;Planta ;Variación 24 horas;UCI;Variación 24 horas;Domiciliaria;Variación 24 horas;;;;;;;;;;;
30/06/2020;5464;0;9557;100;528;0;460;1;0,22%;151;15;9,93%;27;1;26;1;1;0;0;0;;;;;;;;;;;
29/06/2020;5464;4;9457;0;528;0;324;6;1,85%;29;1;3,45%;26;1;25;1;1;0;0;0;;;;;;;;;;;
28/06/2020;5460;9;9457;70;528;0;738;10;1,36%;16;0;0,00%;25;-4;24;-4;1;0;0;0;;;;;;;;;;;
27/06/2019;5451;8;9387;132;528;0;862;16;1,86%;119;9;7,56%;29;0;28;1;1;-1;0;0;;;;;;;;;;;
26/06/2020;5443;7;9255;5;528;0;968;11;1,14%;145;10;6,90%;29;0;27;0;2;0;0;0;;;;;;;;;;;
25/06/2020;5436;9;9250;36;528;0;773;11;1,42%;142;10;7,04%;29;-2;27;-2;2;0;0;0;;;;;;;;;;;
24/06/2020;5427;11;9214;150;528;0;944;12;1,27%;147;15;10,20%;31;0;29;1;2;-1;0;0;;;;;;;;;;;
23/06/2020;5416;13;9064;105;528;0;554;15;2,71%;125;12;9,60%;31;0;28;0;3;0;0;0;;;;;;;;;;;
22/06/2020;5403;21;8959;40;528;0;326;23;7,06%;23;1;4,35%;31;1;28;2;3;-1;0;0;;;;;;;;;;;
21/06/2020;5382;3;8919;91;528;0;619;5;0,81%;178;9;5,06%;30;0;26;0;4;0;0;0;;;;;;;;;;;
20/06/2020;5379;8;8828;120;528;0;793;13;1,64%;211;26;12,32%;30;-3;26;-3;4;0;0;0;;;;;;;;;;;
19/06/2020;5371;7;8708;152;528;0;971;16;1,65%;195;20;10,26%;33;1;29;2;4;-1;0;0;;;;;;;;;;;
18/06/2020;5364;5;8556;85;518;0;994;10;1,01%;230;38;16,52%;32;0;27;0;5;0;0;0;;;;;;;;;;;
17/06/2020;5359;6;8471;176;518;0;821;13;1,58%;183;26;14,21%;32;-2;27;-1;5;-1;0;0;;;;;;;;;;;
16/06/2020;5353;1;8295;113;518;0;457;3;0,66%;162;26;16,05%;34;-6;28;-4;6;0;0;-2;;;;;;;;;;;
15/06/2020;5352;0;8182;65;518;0;254;1;0,39%;13;0;0,00%;40;0;32;0;6;0;2;0;;;;;;;;;;;
14/06/2020;5352;0;8117;88;518;0;543;2;0,37%;28;1;3,57%;40;0;32;0;6;0;2;0;;;;;;;;;;;
13/06/2020;5352;3;8029;192;518;0;865;5;0,58%;299;31;10,37%;40;-2;32;-2;6;0;2;0;;;;;;;;;;;
12/06/2020;5349;5;7837;146;518;1;1014;12;1,18%;244;28;11,48%;42;-2;34;-1;6;-1;2;0;;;;;;;;;;;
11/06/2020;5344;4;7691;245;517;1;1174;23;1,96%;208;30;14,42%;44;-4;35;-1;7;-2;2;-1;;;;;;;;;;;
10/06/2020;5340;4;7446;188;516;1;910;5;0,55%;193;23;11,92%;48;-4;36;-4;9;0;3;0;;;;;;;;;;;
09/06/2020;5336;1;7258;185;515;0;480;6;1,25%;186;24;12,90%;52;-1;40;-1;9;0;3;0;;;;;;;;;;;
08/06/2020;5335;6;7073;105;515;0;418;9;2,15%;25;0;0,00%;53;-1;41;-1;9;0;3;0;;;;;;;;;;;
07/06/2020;5329;3;6968;154;515;0;758;8;1,06%;36;1;2,78%;54;0;42;0;9;0;3;0;;;;;;;;;;;
06/06/2020;5326;10;6814;184;515;0;832;20;2,40%;270;45;16,67%;54;-3;42;-2;9;-1;3;0;;;;;;;;;;;
05/06/2020;5316;10;6630;101;515;0;913;21;2,30%;341;46;13,49%;57;-6;44;-5;10;0;3;-1;;;;;;;;;;;
04/06/2020;5306;4;6529;125;515;0;849;8;0,94%;434;37;8,53%;63;-1;49;-2;10;-1;4;2;;;;;;;;;;;
03/06/2020;5302;2;6404;134;515;0;971;22;2,27%;369;50;13,55%;64;0;51;0;11;1;2;-1;;;;;;;;;;;
02/06/2020;5300;1;6270;258;515;0;660;23;3,48%;274;30;10,95%;64;0;51;0;10;-1;3;1;;;;;;;;;;;
01/06/2020;5299;5;6012;49;515;0;430;11;2,56%;70;4;5,71%;64;2;51;1;11;1;2;0;;;;;;;;;;;
31/05/2020;5294;7;5963;93;515;0;856;23;2,69%;215;10;4,65%;62;-1;50;-1;10;0;2;0;;;;;;;;;;;
30/05/2020;5287;9;5870;248;515;0;1074;30;2,79%;583;61;10,46%;63;-6;51;-5;10;0;2;-1;;;;;;;;;;;
29/05/2020;5278;14;5622;180;515;1;1120;36;3,21%;618;61;9,87%;69;-5;56;-4;10;-1;3;0;;;;;;;;;;;
28/05/2020;5264;18;5442;191;514;1;951;26;2,73%;572;53;9,27%;74;-2;60;-2;11;0;3;0;;;;;;;;;;;
27/05/2020;5246;7;5251;202;513;1;1049;22;2,10%;529;62;11,72%;76;-4;62;-4;11;0;3;0;;;;;;;;;;;
26/05/2020;5239;5;5049;131;512;2;498;16;3,21%;507;56;11,05%;80;1;66;2;11;-1;3;0;;;;;;;;;;;
25/05/2020;5234;15;4918;178;510;1;302;19;6,29%;71;1;1,41%;79;2;64;2;12;0;3;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
