;Datos publicados: 29/05/2020 18:47;;;;;;;;;;;;;;;;;;;*  Excluidos antiguos casos COVID ingresados por otras causas ;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Datos evolutivos diarios sobre la sitación del COVID-19 en Navarra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Personas infectadas;;;;;;Fallecimientos;;;;;;Altas;;Casos Activos;;Seguimiento;;;;;Tests SNS-O;;;;Profesionales infectados;;;;;;;
Fecha;Nuevos casos;Total AC;Nueva hospitalización;Total AC Hosp.;Ingresadas UCI;Total AC UCI;Nuevos;Hospitalarios;Total AC Hospit;Extrahospitalarios;Total AC Extrahosp.;Total AC  ;Altas;Total AC Altas;Incremento diario;Total;Domiciliario;Hosp. domiciliaria;Hosp. convencional;Hosp. Planta;Hosp. UCI;PCR;Rápidos;Total día;Total Tests;Positivos AC;% Total de infectados;% Total colectivo;;;;;
29/05/2020;75;9234;0;2054;0;137;1;1;349;0;166;515;180;5622;-106;3097;3028;3;66;56;10;1120;618;1738;94020;895;9,69%;5,97%;;;;;
28/05/2020;71;9159;2;2054;0;137;1;1;348;0;166;514;191;5442;-121;3203;3129;3;71;60;11;951;572;1523;92282;893;9,75%;5,95%;;;;;
27/05/2020;69;9088;0;2052;0;137;1;0;347;1;166;513;202;5251;-134;3324;3248;3;73;62;11;1049;529;1578;90759;890;9,79%;5,93%;;;;;
26/05/2020;61;9019;2;2052;0;137;2;1;347;1;165;512;131;5049;-72;3458;3378;3;77;66;11;498;507;1005;89181;890;9,87%;5,93%;;;;;
25/05/2020;16;8958;0;2050;0;137;1;1;346;0;164;510;178;4918;-163;3530;3451;3;76;64;12;302;71;373;88176;889;9,92%;5,93%;;;;;
24/05/2020;18;8942;0;2050;0;137;0;0;345;0;164;509;140;4740;-122;3693;3616;3;74;62;12;906;75;981;87803;888;9,93%;5,92%;;;;;
23/05/2020;112;8924;1;2050;1;137;1;1;345;0;164;509;163;4600;-52;3815;3735;4;76;64;12;1227;716;1943;86822;882;9,88%;5,88%;;;;;
22/05/2020;122;8812;1;2049;0;136;2;1;344;1;164;508;141;4437;-21;3867;3784;3;80;68;12;1143;758;1901;84879;880;9,99%;5,87%;;;;;
21/05/2020;113;8690;0;2048;0;136;2;1;343;1;163;506;123;4296;-12;3888;3802;3;83;69*;14;1008;819;1827;82978;879;10,12%;5,86%;;;;;
20/05/2020;128;8577;0;2048;0;136;1;0;342;1;162;504;164;4173;-37;3900;3777;2;121;107;14;1321;1039;2360;81151;879;10,25%;5,86%;;;;;
19/05/2020;114;8449;3;2048;0;136;0;0;342;0;161;503;104;4009;10;3937;3820;2;115;101;14;598;617;1215;78791;874;10,34%;5,83%;;;;;
18/05/2020;42;8335;0;2045;0;136;0;0;342;0;161;503;154;3905;-112;3927;3802;2;123;106;17;708;462;1170;77576;872;10,46%;5,81%;;;;;
17/05/2020;58;8293;0;2045;0;136;2;1;342;1;161;503;93;3751;-37;4039;3917;2;120;103;17;1137;611;1748;76406;872;10,51%;5,81%;;;;;
