Dia,Confirmados (casos nuevos),Fallecidos,,
2/24/20,0,0,,
2/25/20,0,0,,
2/26/20,0,0,,
2/27/20,0,0,,
2/28/20,0,0,,
2/29/20,0,0,,
3/1/20,1,0,,
3/2/20,1,0,,
3/3/20,5,0,,
3/4/20,10,0,,
3/5/20,12,0,,
3/6/20,18,0,,
3/7/20,23,0,,
3/8/20,32,0,,
3/9/20,53,1,,
3/10/20,30,1,,
3/11/20,35,0,,
3/12/20,39,0,,
3/13/20,33,1,,
3/14/20,8,0,,
3/15/20,12,1,,
3/16/20,43,2,,
3/17/20,64,0,,
3/18/20,49,0,,
3/19/20,29,4,,
3/20/20,67,12,,
3/21/20,90,9,,
3/22/20,93,0,,
3/23/20,55,9,,
3/24/20,126,6,,
3/25/20,67,13,,
3/26/20,241,9,,
3/27/20,200,6,,
3/28/20,193,6,,
3/29/20,104,7,,
3/30/20,77,10,,
3/31/20,150,13,,
4/1/20,123,6,,
4/2/20,141,15,,
4/3/20,181,16,,
4/4/20,187,11,,
4/5/20,127,11,,
4/6/20,127,14,,
4/7/20,105,15,,
4/8/20,75,15,,
4/9/20,50,7,,
4/10/20,147,9,,
4/11/20,56,4,,
4/12/20,79,5,,
4/13/20,62,12,,
4/14/20,37,11,,
4/15/20,82,8,,
4/16/20,8,8,,
4/17/20,36,8,,
4/18/20,53,5,,
4/19/20,28,8,,
4/20/20,20,3,,
4/21/20,20,5,,
4/22/20,37,5,,
4/23/20,49,2,,
4/24/20,31,5,,
4/25/20,40,3,,
4/26/20,31,5,,
4/27/20,5,4,,
4/28/20,13,1,,
4/29/20,8,2,,
4/30/20,18,1,,
5/1/20,11,0,,
5/2/20,5,1,,
5/3/20,9,1,,
5/4/20,6,1,,
5/5/20,13,1,,
5/6/20,6,1,,
5/7/20,6,4,,
5/8/20,8,2,,
5/9/20,8,2,,
5/10/20,0,1,,
5/11/20,0,1,,
5/12/20,1,0,,
5/13/20,5,0,,
5/14/20,2,0,,
5/15/20,4,1,,
5/16/20,4,2,,
5/17/20,0,1,,
5/18/20,3,1,,
5/19/20,6,3,,
5/20/20,0,0,,
5/21/20,3,3,,
5/22/20,0,1,,
5/23/20,0,1,,
5/24/20,4,0,,
5/25/20,3,0,,
5/26/20,0,0,,
5/27/20,0,0,,
5/28/20,0,0,,
5/29/20,3,0,,
5/30/20,0,1,,
5/31/20,0,0,,
6/1/20,1,0,,
6/2/20,1,0,,
6/3/20,1,1,,
6/4/20,2,0,,
6/5/20,1,1,,
6/6/20,4,0,,
6/7/20,1,0,,
6/8/20,0,0,,
6/9/20,1,0,,
6/10/20,0,0,,
6/11/20,3,0,,
6/12/20,1,0,,
6/13/20,1,0,,
6/14/20,1,0,,
6/15/20,0,0,,
6/16/20,1,0,,
6/17/20,0,0,,
6/18/20,2,0,,
6/19/20,1,0,,
6/20/20,0,0,,
6/21/20,0,0,,
6/22/20,0,0,,
6/23/20,0,0,,
6/24/20,1,0,,
6/25/20,2,0,,
6/26/20,0,1,,
6/27/20,0,0,,
6/28/20,0,0,,
6/29/20,0,0,,
6/30/20,1,0,,
7/1/20,1,0,,
7/2/20,0,0,,
7/3/20,0,0,,
7/4/20,0,0,,
7/5/20,0,0,,
7/6/20,0,0,,
7/7/20,1,0,,
7/8/20,0,0,,
7/9/20,2,0,,
7/10/20,15,0,,
7/11/20,3,0,,
7/12/20,3,0,,
7/13/20,2,0,,
7/14/20,3,0,,
7/15/20,1,0,,
7/16/20,3,0,,
7/17/20,8,0,,
7/18/20,3,0,,
7/19/20,0,0,,
7/20/20,6,0,,
7/21/20,25,0,,
7/22/20,12,0,,
7/23/20,4,0,,
7/24/20,16,0,,
7/25/20,0,0,,
7/26/20,0,0,,
7/27/20,3,0,,
7/28/20,3,0,,
7/29/20,4,0,,
7/30/20,5,0,,
7/31/20,8,0,,
8/1/20,0,0,,
8/2/20,0,0,,
