"date","province","ccaa","new_cases","PCR","TestAc","activos","hospitalized","intensive_care","deceased","cases_accumulated","cases_accumulated_PCR","recovered","source_name","source","comments","","","add current+previous deceased","deceased (accumulated)"
"2020-03-01","Rioja, La","Rioja, La","","1","","","","","0","","","","Gobierno de La Rioja - Dato abierto","https://web.larioja.org/dato-abierto/datoabierto?n=opd-452","","","","0","0"
"2020-03-02","Rioja, La","Rioja, La","","1","","","","","0","","","","Gobierno de La Rioja - Dato abierto","https://web.larioja.org/dato-abierto/datoabierto?n=opd-452","","","","0","0"
"2020-03-03","Rioja, La","Rioja, La","","5","","","","","0","","","","Gobierno de La Rioja - Dato abierto","https://web.larioja.org/dato-abierto/datoabierto?n=opd-452","","","","0","0"
"2020-03-04","Rioja, La","Rioja, La","","10","","","","","0","","","","Gobierno de La Rioja - Dato abierto","https://web.larioja.org/dato-abierto/datoabierto?n=opd-452","","","","0","0"
"2020-03-05","Rioja, La","Rioja, La","","12","","","","","0","","","","Gobierno de La Rioja - Dato abierto","https://web.larioja.org/dato-abierto/datoabierto?n=opd-452","","","","0","0"
"2020-03-06","Rioja, La","Rioja, La","","18","","","","","0","","","","Gobierno de La Rioja - Dato abierto","https://web.larioja.org/dato-abierto/datoabierto?n=opd-452","","","","0","0"
"2020-03-07","Rioja, La","Rioja, La","","23","","","","","0","","","","Gobierno de La Rioja - Dato abierto","https://web.larioja.org/dato-abierto/datoabierto?n=opd-452","","","","0","0"
"2020-03-08","Rioja, La","Rioja, La","","32","","","","","0","","","","Gobierno de La Rioja - Dato abierto","https://web.larioja.org/dato-abierto/datoabierto?n=opd-452","","","","0","0"
"2020-03-09","Rioja, La","Rioja, La","","53","","","","","1","","","","Gobierno de La Rioja - Dato abierto","https://web.larioja.org/dato-abierto/datoabierto?n=opd-452","","","","1","1"
"2020-03-10","Rioja, La","Rioja, La","","30","","","","","1","","","","Gobierno de La Rioja - Dato abierto","https://web.larioja.org/dato-abierto/datoabierto?n=opd-452","","","","2","2"
"2020-03-11","Rioja, La","Rioja, La","","35","","","","","0","","","","Gobierno de La Rioja - Dato abierto","https://web.larioja.org/dato-abierto/datoabierto?n=opd-452","","","","2","2"
"2020-03-12","Rioja, La","Rioja, La","","39","","","","","0","","","","Gobierno de La Rioja - Dato abierto","https://web.larioja.org/dato-abierto/datoabierto?n=opd-452","","","","2","2"
"2020-03-13","Rioja, La","Rioja, La","","33","","","","","1","","","","Gobierno de La Rioja - Dato abierto","https://web.larioja.org/dato-abierto/datoabierto?n=opd-452","","","","3","3"
"2020-03-14","Rioja, La","Rioja, La","","8","","","","","0","","","","Gobierno de La Rioja - Dato abierto","https://web.larioja.org/dato-abierto/datoabierto?n=opd-452","","","","3","3"
"2020-03-15","Rioja, La","Rioja, La","","12","","","","","1","","","","Gobierno de La Rioja - Dato abierto","https://web.larioja.org/dato-abierto/datoabierto?n=opd-452","","","","4","4"
