CCAA,DATE,PCR_acumuado,MUERTOS_acumulado
Asturias,21/05/2020,2376,310
Baleares,21/05/2020,2024,221
Cantabria,21/05/2020,2284,209
Madrid,21/05/2020,71334,8931
Murcia,21/05/2020,1570,148
Navarra,21/05/2020,5195,506
La Rioja,21/05/2020,4033,354
Ceuta,21/05/2020,119,4
Melilla,21/05/2020,121,2
Asturias,22/05/2020,2376,310
Baleares,22/05/2020,2037,222
Cantabria,22/05/2020,2287,209
Madrid,22/05/2020,71511,8944
Murcia,22/05/2020,1570,149
Navarra,22/05/2020,5200,508
La Rioja,22/05/2020,4036,356
Ceuta,22/05/2020,124,4
Melilla,22/05/2020,121,2
Asturias,23/05/2020,2397,311
Baleares,23/05/2020,2039,222
Cantabria,23/05/2020,2289,209
Madrid,23/05/2020,71699,8956
Murcia,23/05/2020,1572,149
Navarra,23/05/2020,5205,509
La Rioja,23/05/2020,4036,357
Ceuta,23/05/2020,124,4
Melilla,23/05/2020,121,2
Asturias,24/05/2020,2399,311
Baleares,24/05/2020,2041,222
Cantabria,24/05/2020,2289,209
Madrid,24/05/2020,71747,8977
Murcia,24/05/2020,1575,149
Navarra,24/05/2020,5219,509
La Rioja,24/05/2020,4036,358
Ceuta,24/05/2020,124,4
Melilla,24/05/2020,121,2
Asturias,25/05/2020,2399,311
Baleares,25/05/2020,2046,223
Cantabria,25/05/2020,2293,209
Madrid,25/05/2020,71769,8994
Murcia,25/05/2020,1579,149
Navarra,25/05/2020,5234,510
La Rioja,25/05/2020,4036,358
Ceuta,25/05/2020,124,4
Melilla,25/05/2020,121,2
Asturias,26/05/2020,2400,311
Baleares,26/05/2020,2050,223
Cantabria,26/05/2020,2295,209
Madrid,26/05/2020,71892,9015
Murcia,26/05/2020,1587,149
Navarra,26/05/2020,5239,512
La Rioja,26/05/2020,4044,360
Ceuta,26/05/2020,124,4
Melilla,26/05/2020,121,2
Asturias,27/05/2020,2400,311
Baleares,27/05/2020,2057,224
Cantabria,27/05/2020,2301,209
Madrid,27/05/2020,72089,9035
Murcia,27/05/2020,1587,149
Navarra,27/05/2020,5246,512
La Rioja,27/05/2020,4044,360
Ceuta,27/05/2020,129,4
Melilla,27/05/2020,121,2
Asturias,28/05/2020,2421,312
Baleares,28/05/2020,2063,224
Cantabria,28/05/2020,2302,209
Madrid,28/05/2020,72256,9042
Murcia,28/05/2020,1588,149
Navarra,28/05/2020,5264,514
La Rioja,28/05/2020,4044,360
Ceuta,28/05/2020,129,4
Melilla,28/05/2020,121,2
Asturias,29/05/2020,2424,312
Baleares,29/05/2020,2068,224
Cantabria,29/05/2020,2305,209
Madrid,29/05/2020,72425,9049
Murcia,29/05/2020,1594,149
Navarra,29/05/2020,5278,515
La Rioja,29/05/2020,4047,360
Ceuta,29/05/2020,145,4
Melilla,29/05/2020,121,2
Asturias,30/05/2020,2424,312
Baleares,30/05/2020,2076,224
Cantabria,30/05/2020,2306,209
Madrid,30/05/2020,72606,9057
Murcia,30/05/2020,1594,149
Navarra,30/05/2020,5287,515
La Rioja,30/05/2020,4048,360
Ceuta,30/05/2020,145,4
Melilla,30/05/2020,121,2
Asturias,31/05/2020,2425,321
Baleares,31/05/2020,2080,224
Cantabria,31/05/2020,2308,209
Madrid,31/05/2020,72668,9064
Murcia,31/05/2020,1594,149
Navarra,31/05/2020,5294,515
La Rioja,31/05/2020,4051,361
Ceuta,31/05/2020,145,4
Melilla,31/05/2020,121,2
Asturias,01/06/2020,2425,321
Baleares,01/06/2020,2081,226
Cantabria,01/06/2020,2310,209
Madrid,01/06/2020,72741,9075
Murcia,01/06/2020,1599,146
Navarra,01/06/2020,5299,515
La Rioja,01/06/2020,4052,361
Ceuta,01/06/2020,146,4
Melilla,01/06/2020,121,2
Asturias,02/06/2020,2425,321
Baleares,02/06/2020,2083,226
Cantabria,02/06/2020,2312,209
Madrid,02/06/2020,72876,9087
Murcia,02/06/2020,1600,146
Navarra,02/06/2020,5300,515
La Rioja,02/06/2020,4052,361
Ceuta,02/06/2020,155,4
Melilla,02/06/2020,122,2
Asturias,03/06/2020,2425,321
Baleares,03/06/2020,2089,226
Cantabria,03/06/2020,2312,209
Madrid,03/06/2020,73060,9065
Murcia,03/06/2020,1603,146
Navarra,03/06/2020,5302,515
La Rioja,03/06/2020,4053,361
Ceuta,03/06/2020,155,4
Melilla,03/06/2020,122,2
Asturias,04/06/2020,2425,323
Baleares,04/06/2020,2100,226
Cantabria,04/06/2020,2316,209
Madrid,04/06/2020,73293,9102
Murcia,04/06/2020,1613,147
Navarra,04/06/2020,5306,515
La Rioja,04/06/2020,4055,362
Ceuta,04/06/2020,163,4
Melilla,04/06/2020,122,2
Asturias,05/06/2020,2426,324
Baleares,05/06/2020,2104,226
Cantabria,05/06/2020,2317,209
Madrid,05/06/2020,73481,9110
Murcia,05/06/2020,1617,149
Navarra,05/06/2020,5316,515
La Rioja,05/06/2020,4056,362
Ceuta,05/06/2020,163,4
Melilla,05/06/2020,122,2
Asturias,06/06/2020,2427,325
Baleares,06/06/2020,2112,226
Cantabria,06/06/2020,2317,209
Madrid,06/06/2020,73631,9116
Murcia,06/06/2020,1623,149
Navarra,06/06/2020,5326,515
La Rioja,06/06/2020,4057,362
Ceuta,06/06/2020,163,4
Melilla,06/06/2020,122,2
Asturias,07/06/2020,2427,327
Baleares,07/06/2020,2119,226
Cantabria,07/06/2020,2318,209
Madrid,07/06/2020,73730,9125
Murcia,07/06/2020,1623,149
Navarra,07/06/2020,5329,515
La Rioja,07/06/2020,4061,362
Ceuta,07/06/2020,163,4
Melilla,07/06/2020,122,2
Asturias,08/06/2020,2431,328
Baleares,08/06/2020,2127,227
Cantabria,08/06/2020,2319,209
Madrid,08/06/2020,73751,9127
Murcia,08/06/2020,1623,149
Navarra,08/06/2020,5335,515
La Rioja,08/06/2020,4062,362
Ceuta,08/06/2020,163,4
Melilla,08/06/2020,122,2
Asturias,09/06/2020,2431,328
Baleares,09/06/2020,2129,227
Cantabria,09/06/2020,2320,209
Madrid,09/06/2020,73862,9130
Murcia,09/06/2020,1627,148
Navarra,09/06/2020,5336,515
La Rioja,09/06/2020,4062,362
Ceuta,09/06/2020,163,4
Melilla,09/06/2020,122,2
Asturias,10/06/2020,2431,329
Baleares,10/06/2020,2137,227
Cantabria,10/06/2020,2322,209
Madrid,10/06/2020,73991,9134
Murcia,10/06/2020,1627,148
Navarra,10/06/2020,5340,516
La Rioja,10/06/2020,4063,362
Ceuta,10/06/2020,163,4
Melilla,10/06/2020,122,2
Asturias,11/06/2020,2435,330
Baleares,11/06/2020,2142,227
Cantabria,11/06/2020,2325,209
Madrid,11/06/2020,74155,9137
Murcia,11/06/2020,1629,150
Navarra,11/06/2020,5344,517
La Rioja,11/06/2020,4064,362
Ceuta,11/06/2020,163,4
Melilla,11/06/2020,122,2
Asturias,12/06/2020,2437,330
Baleares,12/06/2020,2146,227
Cantabria,12/06/2020,2328,209
Madrid,12/06/2020,74251,9145
Murcia,12/06/2020,1631,150
Navarra,12/06/2020,5349,518
La Rioja,12/06/2020,4065,362
Ceuta,12/06/2020,163,4
Melilla,12/06/2020,122,2
Asturias,13/06/2020,2437,331
Baleares,13/06/2020,2152,227
Cantabria,13/06/2020,2330,209
Madrid,13/06/2020,74414,9151
Murcia,13/06/2020,1631,150
Navarra,13/06/2020,5352,518
La Rioja,13/06/2020,4066,362
Ceuta,13/06/2020,163,4
Melilla,13/06/2020,123,2
Asturias,14/06/2020,2437,331
Baleares,14/06/2020,2154,227
Cantabria,14/06/2020,2330,209
Madrid,14/06/2020,74442,9152
Murcia,14/06/2020,1631,150
Navarra,14/06/2020,5352,518
La Rioja,14/06/2020,4068,362
Ceuta,14/06/2020,163,4
Melilla,14/06/2020,124,2
Asturias,15/06/2020,2436,332
Baleares,15/06/2020,2157,227
Cantabria,15/06/2020,2331,209
Madrid,15/06/2020,74460,9157
Murcia,15/06/2020,1632,150
Navarra,15/06/2020,5352,518
La Rioja,15/06/2020,4069,362
Ceuta,15/06/2020,163,4
Melilla,15/06/2020,124,2
Asturias,16/06/2020,2436,332
Baleares,16/06/2020,2163,227
