"date","region_code","region","country","population","cases_registered","PCR","TestAc","cases_per_100000","intensive_care","intensive_care_per_100000","deceassed","deceassed_per_100000","recovered","recovered_per_100000","hospitalized","hospitalized_per_100000"
2020-02-20,1,"Andalucía","Spain",8414240,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-21,1,"Andalucía","Spain",8414240,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-22,1,"Andalucía","Spain",8414240,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-23,1,"Andalucía","Spain",8414240,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-24,1,"Andalucía","Spain",8414240,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-25,1,"Andalucía","Spain",8414240,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-26,1,"Andalucía","Spain",8414240,1,1,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-27,1,"Andalucía","Spain",8414240,6,6,NA,0.07,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-28,1,"Andalucía","Spain",8414240,8,8,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-29,1,"Andalucía","Spain",8414240,12,12,NA,0.14,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-01,1,"Andalucía","Spain",8414240,12,12,NA,0.14,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-02,1,"Andalucía","Spain",8414240,12,12,NA,0.14,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-03,1,"Andalucía","Spain",8414240,12,12,NA,0.14,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-04,1,"Andalucía","Spain",8414240,12,12,NA,0.14,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-05,1,"Andalucía","Spain",8414240,21,21,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-06,1,"Andalucía","Spain",8414240,27,27,NA,0.32,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-07,1,"Andalucía","Spain",8414240,34,34,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-08,1,"Andalucía","Spain",8414240,54,54,NA,0.64,1,0.01,0,0,11,0.13,NA,NA
2020-03-09,1,"Andalucía","Spain",8414240,71,71,NA,0.84,1,0.01,0,0,11,0.13,NA,NA
2020-03-10,1,"Andalucía","Spain",8414240,90,90,NA,1.07,3,0.04,0,0,11,0.13,32,0.38
2020-03-11,1,"Andalucía","Spain",8414240,115,115,NA,1.37,4,0.05,0,0,11,0.13,50,0.59
2020-03-12,1,"Andalucía","Spain",8414240,219,219,NA,2.6,8,0.1,0,0,0,0,92,1.09
2020-03-13,1,"Andalucía","Spain",8414240,269,269,NA,3.2,8,0.1,2,0.02,0,0,92,1.09
2020-03-14,1,"Andalucía","Spain",8414240,437,437,NA,5.19,8,0.1,6,0.07,0,0,92,1.09
2020-03-15,1,"Andalucía","Spain",8414240,554,554,NA,6.58,11,0.13,7,0.08,0,0,197,2.34
2020-03-16,1,"Andalucía","Spain",8414240,683,683,NA,8.12,13,0.15,11,0.13,0,0,229,2.72
2020-03-17,1,"Andalucía","Spain",8414240,859,859,NA,10.21,21,0.25,19,0.23,38,0.45,319,3.79
2020-03-18,1,"Andalucía","Spain",8414240,1008,1008,NA,11.98,25,0.3,23,0.27,33,0.39,384,4.56
2020-03-19,1,"Andalucía","Spain",8414240,1287,1287,NA,15.3,38,0.45,30,0.36,36,0.43,501,5.95
2020-03-20,1,"Andalucía","Spain",8414240,1515,1515,NA,18.01,53,0.63,40,0.48,36,0.43,605,7.19
2020-03-21,1,"Andalucía","Spain",8414240,1725,1725,NA,20.5,55,0.65,47,0.56,38,0.45,724,8.6
2020-03-22,1,"Andalucía","Spain",8414240,1961,1961,NA,23.31,77,0.92,58,0.69,50,0.59,865,10.28
2020-03-23,1,"Andalucía","Spain",8414240,2470,2470,NA,29.35,102,1.21,87,1.03,66,0.78,1132,13.45
2020-03-24,1,"Andalucía","Spain",8414240,3008,3008,NA,35.75,116,1.38,113,1.34,71,0.84,1433,17.03
2020-03-25,1,"Andalucía","Spain",8414240,3404,3404,NA,40.46,134,1.59,134,1.59,77,0.92,1626,19.32
2020-03-26,1,"Andalucía","Spain",8414240,3790,3790,NA,45.04,148,1.76,144,1.71,92,1.09,1843,21.9
2020-03-27,1,"Andalucía","Spain",8414240,4271,4271,NA,50.76,172,2.04,175,2.08,139,1.65,2106,25.03
2020-03-28,1,"Andalucía","Spain",8414240,4676,4676,NA,55.57,201,2.39,207,2.46,148,1.76,2294,27.26
2020-03-29,1,"Andalucía","Spain",8414240,5398,5398,NA,64.15,216,2.57,236,2.8,155,1.84,2671,31.74
2020-03-30,1,"Andalucía","Spain",8414240,5809,5809,NA,69.04,235,2.79,248,2.95,160,1.9,2867,34.07
2020-03-31,1,"Andalucía","Spain",8414240,6379,6379,NA,75.81,260,3.09,308,3.66,182,2.16,3147,37.4
2020-04-01,1,"Andalucía","Spain",8414240,6957,6957,NA,82.68,280,3.33,343,4.08,228,2.71,3444,40.93
2020-04-02,1,"Andalucía","Spain",8414240,7353,7353,NA,87.39,338,4.02,376,4.47,258,3.07,3673,43.65
2020-04-03,1,"Andalucía","Spain",8414240,7847,7847,NA,93.26,364,4.33,426,5.06,463,5.5,3896,46.3
2020-04-04,1,"Andalucía","Spain",8414240,8279,8279,NA,98.39,474,5.63,470,5.59,665,7.9,4107,48.81
