"cod_ine","CCAA","value","date","poblacion","per_cienmil"
1,"Andalucía",12,2020-03-01,8414240,0.14
1,"Andalucía",12,2020-03-05,8414240,0.14
1,"Andalucía",13,2020-03-04,8414240,0.15
1,"Andalucía",13,2020-03-03,8414240,0.15
1,"Andalucía",8,2020-02-29,8414240,0.1
1,"Andalucía",12,2020-03-02,8414240,0.14
1,"Andalucía",6,2020-02-28,8414240,0.07
1,"Andalucía",21,2020-03-06,8414240,0.25
1,"Andalucía",90,2020-03-11,8414240,1.07
1,"Andalucía",219,2020-03-13,8414240,2.6
1,"Andalucía",27,2020-03-07,8414240,0.32
1,"Andalucía",683,2020-03-17,8414240,8.12
1,"Andalucía",1,2020-02-27,8414240,0.01
1,"Andalucía",2471,2020-03-24,8414240,29.37
1,"Andalucía",859,2020-03-18,8414240,10.21
1,"Andalucía",115,2020-03-12,8414240,1.37
1,"Andalucía",269,2020-03-14,8414240,3.2
1,"Andalucía",35,2020-03-08,8414240,0.42
1,"Andalucía",71,2020-03-10,8414240,0.84
1,"Andalucía",1961,2020-03-23,8414240,23.31
1,"Andalucía",54,2020-03-09,8414240,0.64
1,"Andalucía",1008,2020-03-19,8414240,11.98
1,"Andalucía",1515,2020-03-21,8414240,18.01
1,"Andalucía",437,2020-03-15,8414240,5.19
1,"Andalucía",1287,2020-03-20,8414240,15.3
1,"Andalucía",1725,2020-03-22,8414240,20.5
1,"Andalucía",554,2020-03-16,8414240,6.58
2,"Aragón",1,2020-02-29,1319291,0.08
2,"Aragón",1,2020-02-28,1319291,0.08
2,"Aragón",13,2020-03-09,1319291,0.99
2,"Aragón",0,2020-02-27,1319291,0
2,"Aragón",13,2020-03-08,1319291,0.99
2,"Aragón",38,2020-03-10,1319291,2.88
2,"Aragón",64,2020-03-12,1319291,4.85
2,"Aragón",0,2020-03-01,1319291,0
2,"Aragón",0,2020-03-03,1319291,0
2,"Aragón",1,2020-03-05,1319291,0.08
2,"Aragón",11,2020-03-07,1319291,0.83
2,"Aragón",207,2020-03-17,1319291,15.69
