"CCAA","cod_ine","value","date","poblacion","per_cienmil","daily_deaths","daily_deaths_inc","daily_deaths_avg6"
"Andalucía",1,0,2020-03-03,8414240,0,NA,NA,NA
"Aragón",2,0,2020-03-03,1319291,0,NA,NA,NA
"Asturias",3,0,2020-03-03,1022800,0,NA,NA,NA
"Baleares",4,0,2020-03-03,1149460,0,NA,NA,NA
"C. Valenciana",10,0,2020-03-03,5003769,0,NA,NA,NA
"Canarias",5,0,2020-03-03,2153389,0,NA,NA,NA
"Cantabria",6,0,2020-03-03,581078,0,NA,NA,NA
"Castilla y León",7,0,2020-03-03,2399548,0,NA,NA,NA
"Castilla-La Mancha",8,0,2020-03-03,2032863,0,NA,NA,NA
"Cataluña",9,0,2020-03-03,7675217,0,NA,NA,NA
"Ceuta",18,0,2020-03-03,84777,0,NA,NA,NA
"Extremadura",11,0,2020-03-03,1067710,0,NA,NA,NA
"Galicia",12,0,2020-03-03,2699499,0,NA,NA,NA
"La Rioja",17,0,2020-03-03,316798,0,NA,NA,NA
"Madrid",13,0,2020-03-03,6663394,0,NA,NA,NA
"Melilla",19,0,2020-03-03,86487,0,NA,NA,NA
"Murcia",14,0,2020-03-03,1493898,0,NA,NA,NA
"Navarra",15,0,2020-03-03,654214,0,NA,NA,NA
"País Vasco",16,0,2020-03-03,2207776,0,NA,NA,NA
"Total",0,0,2020-03-03,NA,NA,NA,NA,NA
"Andalucía",1,0,2020-03-04,8414240,0,0,NA,NA
"Aragón",2,0,2020-03-04,1319291,0,0,NA,NA
"Asturias",3,0,2020-03-04,1022800,0,0,NA,NA
"Baleares",4,0,2020-03-04,1149460,0,0,NA,NA
"C. Valenciana",10,1,2020-03-04,5003769,0.02,1,Inf,NA
"Canarias",5,0,2020-03-04,2153389,0,0,NA,NA
"Cantabria",6,0,2020-03-04,581078,0,0,NA,NA
"Castilla y León",7,0,2020-03-04,2399548,0,0,NA,NA
"Castilla-La Mancha",8,0,2020-03-04,2032863,0,0,NA,NA
"Cataluña",9,0,2020-03-04,7675217,0,0,NA,NA
"Ceuta",18,0,2020-03-04,84777,0,0,NA,NA
"Extremadura",11,0,2020-03-04,1067710,0,0,NA,NA
"Galicia",12,0,2020-03-04,2699499,0,0,NA,NA
"La Rioja",17,0,2020-03-04,316798,0,0,NA,NA
"Madrid",13,0,2020-03-04,6663394,0,0,NA,NA
"Melilla",19,0,2020-03-04,86487,0,0,NA,NA
"Murcia",14,0,2020-03-04,1493898,0,0,NA,NA
"Navarra",15,0,2020-03-04,654214,0,0,NA,NA
"País Vasco",16,0,2020-03-04,2207776,0,0,NA,NA
"Total",0,1,2020-03-04,NA,NA,1,Inf,NA
"Andalucía",1,0,2020-03-05,8414240,0,0,NA,NA
"Aragón",2,0,2020-03-05,1319291,0,0,NA,NA
"Asturias",3,0,2020-03-05,1022800,0,0,NA,NA
"Baleares",4,0,2020-03-05,1149460,0,0,NA,NA
"C. Valenciana",10,1,2020-03-05,5003769,0.02,0,0,NA
"Canarias",5,0,2020-03-05,2153389,0,0,NA,NA
"Cantabria",6,0,2020-03-05,581078,0,0,NA,NA
"Castilla y León",7,0,2020-03-05,2399548,0,0,NA,NA
"Castilla-La Mancha",8,0,2020-03-05,2032863,0,0,NA,NA
"Cataluña",9,0,2020-03-05,7675217,0,0,NA,NA
