"region","date","cases_registered","population","cases_per_100000"
"Auvergne.Rhône.Alpes",2020-03-12,329,8032377,4.1
"Auvergne.Rhône.Alpes",2020-03-13,416,8032377,5.18
"Auvergne.Rhône.Alpes",2020-03-04,49,8032377,0.61
"Auvergne.Rhône.Alpes",2020-03-05,64,8032377,0.8
"Auvergne.Rhône.Alpes",2020-03-06,75,8032377,0.93
"Auvergne.Rhône.Alpes",2020-03-07,102,8032377,1.27
"Auvergne.Rhône.Alpes",2020-03-10,249,8032377,3.1
"Auvergne.Rhône.Alpes",2020-03-11,264,8032377,3.29
"Auvergne.Rhône.Alpes",2020-03-16,618,8032377,7.69
"Auvergne.Rhône.Alpes",2020-03-17,710,8032377,8.84
"Auvergne.Rhône.Alpes",2020-03-14,454,8032377,5.65
"Auvergne.Rhône.Alpes",2020-03-15,523,8032377,6.51
"Auvergne.Rhône.Alpes",2020-03-20,1101,8032377,13.71
"Auvergne.Rhône.Alpes",2020-03-18,858,8032377,10.68
"Auvergne.Rhône.Alpes",2020-03-19,1014,8032377,12.62
"Bourgogne.Franche.Comté",2020-03-12,219,2783039,7.87
"Bourgogne.Franche.Comté",2020-03-11,155,2783039,5.57
"Bourgogne.Franche.Comté",2020-03-20,770,2783039,27.67
"Bourgogne.Franche.Comté",2020-03-05,39,2783039,1.4
"Bourgogne.Franche.Comté",2020-03-06,78,2783039,2.8
"Bourgogne.Franche.Comté",2020-03-07,129,2783039,4.64
"Bourgogne.Franche.Comté",2020-03-10,123,2783039,4.42
"Bourgogne.Franche.Comté",2020-03-16,507,2783039,18.22
"Bourgogne.Franche.Comté",2020-03-13,272,2783039,9.77
"Bourgogne.Franche.Comté",2020-03-14,339,2783039,12.18
"Bourgogne.Franche.Comté",2020-03-15,412,2783039,14.8
"Bourgogne.Franche.Comté",2020-03-04,16,2783039,0.57
"Bourgogne.Franche.Comté",2020-03-17,549,2783039,19.73
"Bourgogne.Franche.Comté",2020-03-18,593,2783039,21.31
"Bourgogne.Franche.Comté",2020-03-19,696,2783039,25.01
