date,region_code,region,country,population,cases_registered,cases_per_100000,intensive_care,intensive_care_per_1000000,deceassed,deceassed_per_100000,recovered,recovered_per_100000
2020/03/18,84,Auvergne-Rhône-Alpes,France,8032377,,,,,7,,,
2020/03/19,84,Auvergne-Rhône-Alpes,France,8032377,,,,,22,,,
2020/03/20,84,Auvergne-Rhône-Alpes,France,8032377,,,,,33,,,
2020/03/21,84,Auvergne-Rhône-Alpes,France,8032377,,,,,38,,,
2020/03/22,84,Auvergne-Rhône-Alpes,France,8032377,,,,,47,,,
2020/03/23,84,Auvergne-Rhône-Alpes,France,8032377,,,,,70,,,
2020/03/18,27,Bourgogne-Franche-Comté,France,2783039,,,,,6,,,
2020/03/19,27,Bourgogne-Franche-Comté,France,2783039,,,,,14,,,
2020/03/20,27,Bourgogne-Franche-Comté,France,2783039,,,,,22,,,
2020/03/21,27,Bourgogne-Franche-Comté,France,2783039,,,,,27,,,
2020/03/22,27,Bourgogne-Franche-Comté,France,2783039,,,,,40,,,
2020/03/23,27,Bourgogne-Franche-Comté,France,2783039,,,,,62,,,
2020/03/18,53,Bretagne,France,3340379,,,,,7,,,
2020/03/19,53,Bretagne,France,3340379,,,,,9,,,
2020/03/20,53,Bretagne,France,3340379,,,,,12,,,
2020/03/21,53,Bretagne,France,3340379,,,,,15,,,
2020/03/22,53,Bretagne,France,3340379,,,,,17,,,
2020/03/23,53,Bretagne,France,3340379,,,,,23,,,
2020/03/18,24,"Centre-Val de Loire",France,2559073,,,,,1,,,
2020/03/19,24,"Centre-Val de Loire",France,2559073,,,,,1,,,
2020/03/20,24,"Centre-Val de Loire",France,2559073,,,,,2,,,
2020/03/21,24,"Centre-Val de Loire",France,2559073,,,,,2,,,
2020/03/22,24,"Centre-Val de Loire",France,2559073,,,,,3,,,
2020/03/23,24,"Centre-Val de Loire",France,2559073,,,,,8,,,
2020/03/18,94,Corse,France,344679,,,,,0,,,
2020/03/19,94,Corse,France,344679,,,,,1,,,
2020/03/20,94,Corse,France,344679,,,,,3,,,
2020/03/21,94,Corse,France,344679,,,,,4,,,
2020/03/22,94,Corse,France,344679,,,,,6,,,
2020/03/23,94,Corse,France,344679,,,,,7,,,
2020/03/18,44,Grand-Est,France,5511747,,,,,120,,,
2020/03/19,44,Grand-Est,France,5511747,,,,,148,,,
2020/03/20,44,Grand-Est,France,5511747,,,,,183,,,
2020/03/21,44,Grand-Est,France,5511747,,,,,209,,,
2020/03/22,44,Grand-Est,France,5511747,,,,,252,,,
2020/03/23,44,Grand-Est,France,5511747,,,,,327,,,
2020/03/18,1,Guadeloupe,France,,,,,,0,,,
2020/03/19,1,Guadeloupe,France,,,,,,0,,,
2020/03/20,1,Guadeloupe,France,,,,,,0,,,
2020/03/21,1,Guadeloupe,France,,,,,,0,,,
2020/03/22,1,Guadeloupe,France,,,,,,0,,,
2020/03/23,1,Guadeloupe,France,,,,,,0,,,
2020/03/18,3,Guyane,France,,,,,,0,,,
2020/03/19,3,Guyane,France,,,,,,0,,,
2020/03/20,3,Guyane,France,,,,,,0,,,
2020/03/21,3,Guyane,France,,,,,,0,,,
2020/03/22,3,Guyane,France,,,,,,0,,,
2020/03/23,3,Guyane,France,,,,,,0,,,
2020/03/18,32,Hauts-de-France,France,5962662,,,,,21,,,
2020/03/19,32,Hauts-de-France,France,5962662,,,,,40,,,
2020/03/20,32,Hauts-de-France,France,5962662,,,,,51,,,
2020/03/21,32,Hauts-de-France,France,5962662,,,,,56,,,
2020/03/22,32,Hauts-de-France,France,5962662,,,,,67,,,
2020/03/23,32,Hauts-de-France,France,5962662,,,,,86,,,
2020/03/18,11,Île-de-France,France,12278210,,,,,36,,,
2020/03/19,11,Île-de-France,France,12278210,,,,,56,,,
