"Fecha","Territorio","Confirmados PCR","Confirmados PCR 14 días","Confirmados PCR 7 días","Confirmados total","Hospitalizados","Total UCI","Fallecidos","Curados"
"01/07/2020","Sevilla",14607,1090,569,19480,6438,785,1448,16122
"01/07/2020","Málaga",1059,404,204,1332,279,46,53,863
"01/07/2020","Jaén",1363,28,20,1685,605,84,172,1452
"01/07/2020","Huelva",1494,133,40,1896,569,77,118,1637
"01/07/2020","Granada",2902,186,81,3706,1235,139,288,2981
"01/07/2020","Córdoba",433,13,9,559,223,31,49,491
"01/07/2020","Cádiz",1521,22,11,2017,784,91,189,1798
"01/07/2020","Almería",3205,182,107,4982,1529,165,289,4015
"01/07/2020","Andalucía",2630,122,97,3303,1214,152,290,2885
"02/07/2020","Sevilla",14523,1026,574,19396,6432,784,1448,16122
"02/07/2020","Málaga",1031,387,234,1304,278,46,53,863
"02/07/2020","Jaén",1360,27,18,1682,605,84,172,1452
"02/07/2020","Huelva",1487,126,48,1889,568,76,118,1637
"02/07/2020","Granada",2890,176,75,3694,1234,139,288,2981
"02/07/2020","Córdoba",434,14,10,560,223,31,49,491
"02/07/2020","Cádiz",1520,22,11,2016,784,91,189,1798
"02/07/2020","Almería",3182,163,91,4959,1526,165,289,4015
"02/07/2020","Andalucía",2619,111,87,3292,1214,152,290,2885
"03/07/2020","Sevilla",14445,987,596,19318,6427,784,1447,16120
"03/07/2020","Málaga",1011,391,252,1284,277,46,53,861
"03/07/2020","Jaén",1356,23,16,1678,603,84,172,1452
"03/07/2020","Huelva",1484,125,76,1886,567,76,117,1638
"03/07/2020","Granada",2879,174,75,3683,1233,139,288,2980
"03/07/2020","Córdoba",430,10,6,556,223,31,49,491
"03/07/2020","Cádiz",1518,21,10,2014,784,91,189,1798
"03/07/2020","Almería",3171,156,97,4948,1526,165,289,4015
"03/07/2020","Andalucía",2596,87,64,3269,1214,152,290,2885
"04/07/2020","Sevilla",14331,925,596,19203,6421,784,1447,16050
"04/07/2020","Málaga",982,391,235,1255,272,46,53,809
"04/07/2020","Jaén",1352,21,12,1674,603,84,172,1452
"04/07/2020","Huelva",1479,120,110,1880,566,76,117,1638
"04/07/2020","Granada",2870,171,91,3674,1233,139,288,2977
"04/07/2020","Córdoba",427,8,4,553,223,31,49,491
"04/07/2020","Cádiz",1515,18,8,2011,784,91,189,1798
"04/07/2020","Almería",3145,142,96,4922,1524,165,289,4000
"04/07/2020","Andalucía",2561,54,40,3234,1216,152,290,2885
"05/07/2020","Sevilla",14219,854,545,19090,6413,784,1446,15959
"05/07/2020","Málaga",921,335,184,1194,269,46,53,778
"05/07/2020","Jaén",1350,20,10,1672,603,84,172,1452
"05/07/2020","Huelva",1473,117,112,1874,565,76,116,1638
"05/07/2020","Granada",2852,178,103,3656,1233,139,288,2972
"05/07/2020","Córdoba",424,5,1,550,223,31,49,491
"05/07/2020","Cádiz",1510,13,5,2005,783,91,189,1760
"05/07/2020","Almería",3135,139,94,4912,1523,165,289,3983
"05/07/2020","Andalucía",2554,47,36,3227,1214,152,290,2885
"06/07/2020","Sevilla",14161,850,527,19023,6407,784,1446,15941
"06/07/2020","Málaga",925,355,200,1198,267,46,53,774
"06/07/2020","Jaén",1347,20,7,1668,602,84,172,1452
"06/07/2020","Huelva",1464,109,103,1866,565,76,116,1638
"06/07/2020","Granada",2834,189,95,3637,1233,139,288,2970
"06/07/2020","Córdoba",424,6,2,550,223,31,49,491
"06/07/2020","Cádiz",1510,13,5,2004,782,91,189,1758
"06/07/2020","Almería",3114,122,82,4884,1522,165,289,3974
"06/07/2020","Andalucía",2543,36,33,3216,1213,152,290,2884
"07/07/2020","Sevilla",14044,768,496,18905,6409,784,1446,15934
"07/07/2020","Málaga",841,276,168,1114,265,46,53,772
"07/07/2020","Jaén",1347,21,9,1668,603,84,172,1452
"07/07/2020","Huelva",1460,105,99,1861,565,76,116,1637
"07/07/2020","Granada",2820,198,98,3623,1229,139,288,2970
"07/07/2020","Córdoba",424,6,2,550,223,31,49,491
"07/07/2020","Cádiz",1509,14,10,2003,782,91,189,1755
"07/07/2020","Almería",3104,116,79,4874,1528,165,289,3973
"07/07/2020","Andalucía",2539,32,31,3212,1214,152,290,2884
"08/07/2020","Sevilla",13967,701,449,18828,6401,783,1446,15900
"08/07/2020","Málaga",822,260,163,1095,264,45,53,769
"08/07/2020","Jaén",1342,17,7,1663,600,84,172,1449
"08/07/2020","Huelva",1449,95,88,1850,564,76,116,1637
"08/07/2020","Granada",2809,191,94,3612,1229,139,288,2966
"08/07/2020","Córdoba",423,5,3,549,223,31,49,490
"08/07/2020","Cádiz",1509,14,11,2003,782,91,189,1755
"08/07/2020","Almería",3081,93,59,4851,1526,165,289,3950
"08/07/2020","Andalucía",2532,26,24,3205,1213,152,290,2884
"09/07/2020","Sevilla",13901,646,403,18761,6399,783,1446,15900
"09/07/2020","Málaga",797,238,150,1070,263,45,53,769
"09/07/2020","Jaén",1342,17,9,1662,600,84,172,1449
"09/07/2020","Huelva",1436,82,75,1837,564,76,116,1637
"09/07/2020","Granada",2784,173,71,3587,1229,139,288,2966
"09/07/2020","Córdoba",423,5,3,549,223,31,49,490
"09/07/2020","Cádiz",1509,14,11,2003,782,91,189,1755
"09/07/2020","Almería",3075,88,57,4845,1525,165,289,3950
"09/07/2020","Andalucía",2535,29,27,3208,1213,152,290,2884
"10/07/2020","Sevilla",13823,586,366,18682,6396,783,1446,15900
"10/07/2020","Málaga",786,230,164,1059,263,45,53,769
"10/07/2020","Jaén",1340,19,7,1660,600,84,172,1449
"10/07/2020","Huelva",1397,43,38,1798,564,76,116,1637
"10/07/2020","Granada",2772,167,68,3574,1228,139,288,2966
"10/07/2020","Córdoba",423,5,3,549,223,31,49,490
"10/07/2020","Cádiz",1508,13,11,2002,782,91,189,1755
"10/07/2020","Almería",3062,80,48,4832,1523,165,289,3950
"10/07/2020","Andalucía",2535,29,27,3208,1213,152,290,2884
"11/07/2020","Sevilla",13733,519,329,18592,6386,783,1446,15874
"11/07/2020","Málaga",774,225,183,1047,261,45,53,767
"11/07/2020","Jaén",1340,19,9,1660,600,84,172,1447
"11/07/2020","Huelva",1367,13,8,1768,564,76,116,1637
"11/07/2020","Granada",2762,168,64,3564,1228,139,288,2966
"11/07/2020","Córdoba",425,7,6,551,223,31,49,490
"11/07/2020","Cádiz",1506,12,9,2000,782,91,189,1755
"11/07/2020","Almería",3042,63,40,4812,1516,165,289,3929
"11/07/2020","Andalucía",2517,12,10,3190,1212,152,290,2883
"12/07/2020","Sevilla",13665,463,302,18524,6385,782,1446,15845
"12/07/2020","Málaga",740,192,155,1013,260,44,53,762
"12/07/2020","Jaén",1340,20,10,1660,600,84,172,1447
"12/07/2020","Huelva",1361,7,5,1762,564,76,116,1637
"12/07/2020","Granada",2748,162,74,3550,1228,139,288,2964
"12/07/2020","Córdoba",425,7,6,551,223,31,49,490
"12/07/2020","Cádiz",1505,11,8,1999,782,91,189,1755
"12/07/2020","Almería",3035,58,40,4805,1516,165,289,3908
"12/07/2020","Andalucía",2511,6,4,3184,1212,152,290,2882
"13/07/2020","Sevilla",13575,391,264,18434,6383,781,1446,15817
"13/07/2020","Málaga",680,134,110,953,260,44,53,762
"13/07/2020","Jaén",1338,19,11,1658,600,84,172,1446
"13/07/2020","Huelva",1361,7,6,1762,564,76,116,1636
"13/07/2020","Granada",2733,158,88,3535,1227,138,288,2964
"13/07/2020","Córdoba",422,4,4,548,223,31,49,490
"13/07/2020","Cádiz",1504,12,7,1998,781,91,189,1755
"13/07/2020","Almería",3027,51,35,4797,1516,165,289,3882
"13/07/2020","Andalucía",2510,6,3,3183,1212,152,290,2882
"14/07/2020","Sevilla",13542,384,266,18402,6376,781,1446,15796
"14/07/2020","Málaga",671,128,106,944,258,44,53,762
"14/07/2020","Jaén",1337,21,11,1657,600,84,172,1444
"14/07/2020","Huelva",1362,8,7,1763,564,76,116,1636
"14/07/2020","Granada",2721,161,99,3523,1224,138,288,2963
"14/07/2020","Córdoba",422,4,4,548,223,31,49,488
"14/07/2020","Cádiz",1499,8,4,1993,781,91,189,1754
"14/07/2020","Almería",3022,49,34,4793,1514,165,289,3867
"14/07/2020","Andalucía",2508,5,1,3181,1212,152,290,2882
"15/07/2020","Sevilla",13514,371,247,18374,6377,781,1446,15755
"15/07/2020","Málaga",659,117,97,931,257,44,53,761
"15/07/2020","Jaén",1335,21,11,1655,600,84,172,1442
"15/07/2020","Huelva",1362,9,8,1763,564,76,116,1635
"15/07/2020","Granada",2711,159,92,3514,1225,138,288,2963
"15/07/2020","Córdoba",420,2,2,546,223,31,49,488
"15/07/2020","Cádiz",1498,9,3,1992,781,91,189,1752
"15/07/2020","Almería",3021,49,32,4792,1515,165,289,3832
"15/07/2020","Andalucía",2508,5,2,3181,1212,152,290,2882
"16/07/2020","Sevilla",13496,389,240,18356,6372,780,1446,15755
"16/07/2020","Málaga",647,109,88,919,256,43,53,761
"16/07/2020","Jaén",1333,19,9,1653,600,84,172,1442
"16/07/2020","Huelva",1361,8,7,1762,564,76,116,1635
"16/07/2020","Granada",2712,175,100,3515,1225,138,288,2963
"16/07/2020","Córdoba",420,2,2,546,223,31,49,488
"16/07/2020","Cádiz",1498,12,3,1992,781,91,189,1752
"16/07/2020","Almería",3017,59,29,4788,1511,165,289,3832
"16/07/2020","Andalucía",2508,5,2,3181,1212,152,290,2882
"17/07/2020","Sevilla",13449,357,210,18308,6370,780,1446,15754
"17/07/2020","Málaga",623,85,67,895,256,43,53,761
"17/07/2020","Jaén",1332,19,11,1652,600,84,172,1441
"17/07/2020","Huelva",1360,7,6,1761,564,76,116,1635
"17/07/2020","Granada",2699,170,93,3501,1224,138,288,2963
"17/07/2020","Córdoba",420,2,2,546,223,31,49,488
"17/07/2020","Cádiz",1497,12,2,1991,781,91,189,1752
"17/07/2020","Almería",3010,57,27,4781,1510,165,289,3832
"17/07/2020","Andalucía",2508,5,2,3181,1212,152,290,2882
"18/07/2020","Sevilla",13387,319,174,18247,6364,778,1446,15694
"18/07/2020","Málaga",592,54,43,864,256,42,53,758
"18/07/2020","Jaén",1328,18,7,1648,597,84,172,1430
"18/07/2020","Huelva",1357,4,4,1758,564,76,116,1634
"18/07/2020","Granada",2688,170,94,3491,1223,137,288,2959
"18/07/2020","Córdoba",419,1,1,545,223,31,49,488
"18/07/2020","Cádiz",1497,16,3,1991,781,91,189,1751
"18/07/2020","Almería",2999,50,20,4770,1508,165,289,3792
"18/07/2020","Andalucía",2507,6,2,3180,1212,152,290,2882
"19/07/2020","Sevilla",13338,289,138,18199,6356,778,1446,15648
"19/07/2020","Málaga",585,50,37,857,254,42,53,755
"19/07/2020","Jaén",1326,16,6,1646,596,84,172,1421
"19/07/2020","Huelva",1353,1,0,1755,562,76,116,1635
"19/07/2020","Granada",2658,146,72,3460,1221,137,288,2959
"19/07/2020","Córdoba",419,2,1,545,223,31,49,486
"19/07/2020","Cádiz",1497,16,3,1991,781,91,189,1749
"19/07/2020","Almería",2993,52,17,4765,1507,165,289,3761
"19/07/2020","Andalucía",2507,6,2,3180,1212,152,290,2882
"20/07/2020","Sevilla",13304,319,122,18163,6352,778,1444,15602
"20/07/2020","Málaga",569,35,23,840,251,42,53,754
"20/07/2020","Jaén",1327,20,9,1646,596,84,172,1415
"20/07/2020","Huelva",1353,1,0,1755,562,76,117,1633
"20/07/2020","Granada",2644,144,69,3446,1220,137,287,2959
"20/07/2020","Córdoba",418,8,0,544,223,31,49,480
"20/07/2020","Cádiz",1496,16,4,1990,781,91,189,1748
"20/07/2020","Almería",2990,88,14,4762,1507,165,288,3732
"20/07/2020","Andalucía",2507,7,3,3180,1212,152,289,2881
"21/07/2020","Sevilla",13278,345,124,18136,6350,784,1444,15554
"21/07/2020","Málaga",565,32,22,836,251,42,53,750
"21/07/2020","Jaén",1327,21,12,1646,596,85,172,1411
"21/07/2020","Huelva",1353,1,0,1755,562,76,117,1633
"21/07/2020","Granada",2624,133,65,3426,1218,138,287,2959
"21/07/2020","Córdoba",418,8,0,544,223,31,49,480
"21/07/2020","Cádiz",1496,15,6,1990,781,91,189,1748
"21/07/2020","Almería",2988,127,15,4759,1507,168,287,3693
"21/07/2020","Andalucía",2507,8,4,3180,1212,153,290,2880
"22/07/2020","Sevilla",13262,333,119,18121,6346,784,1442,15533
"22/07/2020","Málaga",562,29,20,833,250,42,53,750
"22/07/2020","Jaén",1325,18,10,1643,594,85,171,1410
"22/07/2020","Huelva",1353,1,1,1756,563,76,117,1631
"22/07/2020","Granada",2612,122,61,3415,1216,138,287,2959
"22/07/2020","Córdoba",418,10,0,544,223,31,49,480
"22/07/2020","Cádiz",1496,15,6,1990,781,91,189,1747
"22/07/2020","Almería",2990,131,18,4761,1507,168,287,3675
"22/07/2020","Andalucía",2506,7,3,3179,1212,153,289,2881
"23/07/2020","Sevilla",13248,325,141,18106,6341,784,1442,15533
"23/07/2020","Málaga",558,25,20,829,249,42,53,750
"23/07/2020","Jaén",1324,18,9,1642,594,85,171,1410
"23/07/2020","Huelva",1353,1,1,1756,563,76,117,1631
"23/07/2020","Granada",2608,119,72,3410,1215,138,287,2959
"23/07/2020","Córdoba",418,10,0,544,223,31,49,480
"23/07/2020","Cádiz",1496,16,9,1990,781,91,189,1747
"23/07/2020","Almería",2985,129,27,4756,1504,168,287,3675
"23/07/2020","Andalucía",2506,7,3,3179,1212,153,289,2881
"24/07/2020","Sevilla",13231,317,139,18089,6340,784,1442,15533
"24/07/2020","Málaga",552,19,14,823,249,42,53,749
"24/07/2020","Jaén",1322,16,8,1640,594,85,171,1410
"24/07/2020","Huelva",1353,1,1,1756,563,76,117,1631
"24/07/2020","Granada",2603,124,75,3405,1215,138,287,2960
"24/07/2020","Córdoba",418,10,0,544,223,31,49,480
"24/07/2020","Cádiz",1496,16,10,1990,781,91,189,1747
"24/07/2020","Almería",2981,124,28,4752,1503,168,287,3675
"24/07/2020","Andalucía",2506,7,3,3179,1212,153,289,2881
"25/07/2020","Sevilla",13208,308,142,18065,6337,784,1441,15499
"25/07/2020","Málaga",549,18,11,820,247,42,53,748
"25/07/2020","Jaén",1320,16,9,1638,594,85,171,1410
"25/07/2020","Huelva",1353,2,1,1756,563,76,116,1632
"25/07/2020","Granada",2590,117,73,3392,1215,138,287,2960
"25/07/2020","Córdoba",418,10,0,544,223,31,49,480
"25/07/2020","Cádiz",1494,14,13,1988,781,91,189,1740
"25/07/2020","Almería",2980,125,31,4750,1501,168,287,3649
"25/07/2020","Andalucía",2504,6,4,3177,1213,153,289,2880
"26/07/2020","Sevilla",13194,315,146,18047,6334,781,1440,15467
"26/07/2020","Málaga",548,17,13,819,247,41,53,747
"26/07/2020","Jaén",1320,29,9,1638,594,85,171,1403
"26/07/2020","Huelva",1353,2,1,1755,562,76,116,1632
"26/07/2020","Granada",2584,115,73,3386,1215,137,287,2959
"26/07/2020","Córdoba",418,10,1,544,223,31,48,480
"26/07/2020","Cádiz",1494,16,13,1986,779,91,189,1734
