"date","provincia_code","by_day","cases_accumulated","province"
2020-02-10,"8",1,1,"Barcelona"
2020-02-20,"8",1,2,"Barcelona"
2020-02-29,"8",1,3,"Barcelona"
2020-03-01,"8",1,4,"Barcelona"
2020-03-02,"8",2,6,"Barcelona"
2020-03-03,"8",1,7,"Barcelona"
2020-03-05,"8",3,10,"Barcelona"
2020-03-06,"8",1,11,"Barcelona"
2020-03-07,"8",6,17,"Barcelona"
2020-03-08,"8",9,26,"Barcelona"
2020-03-09,"8",26,52,"Barcelona"
2020-03-10,"8",33,85,"Barcelona"
2020-03-11,"8",57,142,"Barcelona"
2020-03-12,"8",147,289,"Barcelona"
2020-03-13,"8",183,472,"Barcelona"
2020-03-14,"8",375,847,"Barcelona"
2020-03-15,"8",465,1312,"Barcelona"
2020-03-16,"8",497,1809,"Barcelona"
2020-03-17,"8",613,2422,"Barcelona"
2020-03-18,"8",624,3046,"Barcelona"
2020-03-19,"8",862,3908,"Barcelona"
2020-03-20,"8",1002,4910,"Barcelona"
2020-03-21,"8",822,5732,"Barcelona"
2020-03-22,"8",676,6408,"Barcelona"
2020-03-23,"8",1028,7436,"Barcelona"
2020-03-24,"8",1279,8715,"Barcelona"
2020-03-25,"8",1400,10115,"Barcelona"
2020-03-26,"8",1830,11945,"Barcelona"
2020-03-27,"8",1246,13191,"Barcelona"
2020-03-28,"8",992,14183,"Barcelona"
2020-03-29,"8",684,14867,"Barcelona"
2020-03-30,"8",1144,16011,"Barcelona"
2020-03-31,"8",1234,17245,"Barcelona"
2020-04-01,"8",1118,18363,"Barcelona"
2020-04-02,"8",873,19236,"Barcelona"
2020-04-03,"8",924,20160,"Barcelona"
2020-04-04,"8",570,20730,"Barcelona"
2020-04-05,"8",385,21115,"Barcelona"
2020-04-06,"8",727,21842,"Barcelona"
2020-04-07,"8",763,22605,"Barcelona"
2020-04-08,"8",696,23301,"Barcelona"
2020-04-09,"8",570,23871,"Barcelona"
2020-04-10,"8",150,24021,"Barcelona"
2020-02-18,"17",1,1,"Girona"
2020-02-28,"17",1,2,"Girona"
2020-03-02,"17",1,3,"Girona"
2020-03-06,"17",2,5,"Girona"
2020-03-08,"17",1,6,"Girona"
2020-03-09,"17",2,8,"Girona"
2020-03-10,"17",3,11,"Girona"
2020-03-11,"17",3,14,"Girona"
2020-03-12,"17",22,36,"Girona"
2020-03-13,"17",17,53,"Girona"
2020-03-14,"17",16,69,"Girona"
2020-03-15,"17",21,90,"Girona"
2020-03-16,"17",14,104,"Girona"
2020-03-17,"17",25,129,"Girona"
2020-03-18,"17",39,168,"Girona"
2020-03-19,"17",52,220,"Girona"
2020-03-20,"17",74,294,"Girona"
2020-03-21,"17",53,347,"Girona"
2020-03-22,"17",80,427,"Girona"
2020-03-23,"17",70,497,"Girona"
2020-03-24,"17",101,598,"Girona"
2020-03-25,"17",90,688,"Girona"
2020-03-26,"17",88,776,"Girona"
2020-03-27,"17",150,926,"Girona"
2020-03-28,"17",72,998,"Girona"
2020-03-29,"17",47,1045,"Girona"
2020-03-30,"17",102,1147,"Girona"
2020-03-31,"17",99,1246,"Girona"
2020-04-01,"17",95,1341,"Girona"
2020-04-02,"17",135,1476,"Girona"
2020-04-03,"17",89,1565,"Girona"
2020-04-04,"17",70,1635,"Girona"
2020-04-05,"17",38,1673,"Girona"
2020-04-06,"17",85,1758,"Girona"
2020-04-07,"17",82,1840,"Girona"
2020-04-08,"17",57,1897,"Girona"
2020-04-09,"17",50,1947,"Girona"
2020-04-10,"17",10,1957,"Girona"
2020-02-20,"25",3,3,"Lleida"
2020-02-22,"25",1,4,"Lleida"
2020-02-23,"25",2,6,"Lleida"
2020-02-28,"25",1,7,"Lleida"
2020-03-08,"25",1,8,"Lleida"
2020-03-09,"25",2,10,"Lleida"
2020-03-10,"25",16,26,"Lleida"
2020-03-11,"25",5,31,"Lleida"
2020-03-12,"25",6,37,"Lleida"
2020-03-13,"25",14,51,"Lleida"
2020-03-14,"25",7,58,"Lleida"
2020-03-15,"25",9,67,"Lleida"
2020-03-16,"25",21,88,"Lleida"
2020-03-17,"25",23,111,"Lleida"
2020-03-18,"25",21,132,"Lleida"
2020-03-19,"25",26,158,"Lleida"
2020-03-20,"25",42,200,"Lleida"
2020-03-21,"25",29,229,"Lleida"
2020-03-22,"25",26,255,"Lleida"
2020-03-23,"25",48,303,"Lleida"
2020-03-24,"25",95,398,"Lleida"
2020-03-25,"25",62,460,"Lleida"
2020-03-26,"25",55,515,"Lleida"
2020-03-27,"25",61,576,"Lleida"
2020-03-28,"25",46,622,"Lleida"
2020-03-29,"25",38,660,"Lleida"
2020-03-30,"25",71,731,"Lleida"
2020-03-31,"25",78,809,"Lleida"
2020-04-01,"25",47,856,"Lleida"
2020-04-02,"25",53,909,"Lleida"
2020-04-03,"25",44,953,"Lleida"
2020-04-04,"25",25,978,"Lleida"
2020-04-05,"25",23,1001,"Lleida"
2020-04-06,"25",45,1046,"Lleida"
2020-04-07,"25",47,1093,"Lleida"
2020-04-08,"25",53,1146,"Lleida"
2020-04-09,"25",33,1179,"Lleida"
2020-04-10,"25",2,1181,"Lleida"
2020-02-25,"43",1,1,"Tarragona"
2020-02-27,"43",1,2,"Tarragona"
2020-03-08,"43",1,3,"Tarragona"
2020-03-09,"43",3,6,"Tarragona"
2020-03-10,"43",1,7,"Tarragona"
2020-03-11,"43",5,12,"Tarragona"
2020-03-12,"43",6,18,"Tarragona"
2020-03-13,"43",3,21,"Tarragona"
2020-03-14,"43",10,31,"Tarragona"
2020-03-15,"43",3,34,"Tarragona"
2020-03-16,"43",13,47,"Tarragona"
2020-03-17,"43",26,73,"Tarragona"
2020-03-18,"43",26,99,"Tarragona"
2020-03-19,"43",34,133,"Tarragona"
