"date","region","hospitalized","intensive_care","deceassed","cases_registered","recovered"
2020-02-20,"Asturias",NA,NA,NA,0,NA
2020-02-21,"Asturias",NA,NA,NA,0,NA
2020-02-22,"Asturias",NA,NA,NA,0,NA
2020-02-23,"Asturias",NA,NA,NA,0,NA
2020-02-24,"Asturias",NA,NA,NA,0,NA
2020-02-25,"Asturias",NA,NA,NA,0,NA
2020-02-26,"Asturias",NA,NA,NA,0,NA
2020-02-27,"Asturias",NA,NA,NA,0,NA
2020-02-28,"Asturias",NA,NA,NA,0,NA
2020-02-29,"Asturias",0,1,0,1,NA
2020-03-01,"Asturias",0,1,0,1,NA
2020-03-02,"Asturias",1,1,0,1,NA
2020-03-03,"Asturias",1,1,0,2,NA
2020-03-04,"Asturias",1,1,0,4,NA
2020-03-05,"Asturias",4,1,0,4,NA
2020-03-06,"Asturias",4,1,0,7,NA
2020-03-07,"Asturias",4,1,0,8,NA
2020-03-08,"Asturias",7,1,0,10,NA
2020-03-09,"Asturias",11,1,0,15,NA
2020-03-10,"Asturias",13,2,0,32,NA
2020-03-11,"Asturias",15,2,0,37,NA
2020-03-12,"Asturias",18,2,1,40,NA
2020-03-13,"Asturias",24,2,2,86,NA
2020-03-14,"Asturias",28,3,2,123,NA
2020-03-15,"Asturias",39,3,2,160,NA
2020-03-16,"Asturias",57,6,2,224,NA
2020-03-17,"Asturias",78,9,2,269,NA
2020-03-18,"Asturias",105,11,2,310,NA
2020-03-19,"Asturias",129,13,4,429,NA
2020-03-20,"Asturias",155,18,7,524,NA
2020-03-21,"Asturias",180,22,12,569,NA
2020-03-22,"Asturias",210,25,22,621,NA
2020-03-23,"Asturias",251,29,26,754,NA
2020-03-24,"Asturias",281,39,29,812,NA
2020-03-25,"Asturias",322,48,29,891,NA
2020-03-26,"Asturias",370,56,39,960,NA
2020-03-27,"Asturias",427,59,44,1037,NA
2020-03-28,"Asturias",452,63,47,1143,NA
2020-03-29,"Asturias",491,67,59,1206,NA
2020-03-30,"Asturias",529,71,66,1295,NA
2020-03-31,"Asturias",554,79,75,1367,NA
2020-04-01,"Asturias",602,84,76,1435,NA
2020-04-02,"Asturias",634,88,80,1504,NA
2020-04-03,"Asturias",657,91,83,1585,NA
2020-04-04,"Asturias",674,93,87,1640,NA
2020-04-05,"Asturias",695,94,93,1695,NA
2020-04-06,"Asturias",727,96,101,1718,NA
2020-04-07,"Asturias",747,97,107,1751,NA
2020-04-08,"Asturias",775,100,113,1831,NA
2020-04-09,"Asturias",797,100,129,1889,NA
2020-04-10,"Asturias",831,101,134,1943,NA
2020-04-11,"Asturias",863,102,150,2030,NA
2020-04-12,"Asturias",884,105,157,2084,NA
2020-04-13,"Asturias",902,109,165,2119,NA
2020-04-14,"Asturias",914,111,172,2194,NA
2020-04-15,"Asturias",927,112,176,2247,NA
2020-04-16,"Asturias",966,113,186,2319,NA
2020-04-17,"Asturias",980,113,190,2366,NA
2020-04-18,"Asturias",988,114,197,2391,NA
2020-04-19,"Asturias",993,115,199,2407,NA
2020-04-20,"Asturias",999,116,203,2449,NA
2020-04-21,"Asturias",1007,116,211,2507,NA
2020-04-22,"Asturias",1009,116,222,2559,NA
2020-04-23,"Asturias",1012,117,228,2599,NA
2020-04-24,"Asturias",1020,117,235,2642,NA
2020-04-25,"Asturias",1022,117,243,2702,NA
2020-04-26,"Asturias",1028,117,248,2735,NA
2020-04-27,"Asturias",1035,117,252,2806,NA
2020-04-28,"Asturias",1041,117,259,2871,NA
2020-04-29,"Asturias",1047,117,263,2922,NA
2020-04-30,"Asturias",1048,118,264,2973,NA
2020-05-01,"Asturias",1052,120,270,2997,NA
2020-05-02,"Asturias",1055,120,270,3019,NA
2020-05-03,"Asturias",1057,120,274,3031,NA
2020-05-04,"Asturias",1061,120,275,3059,NA
2020-05-05,"Asturias",1068,120,278,3090,NA
2020-05-06,"Asturias",1072,121,279,3103,NA
2020-05-07,"Asturias",1076,121,280,3159,NA
2020-05-08,"Asturias",1077,121,280,3185,NA
2020-05-09,"Asturias",1080,121,283,3200,NA
2020-05-10,"Asturias",1080,121,288,3216,NA
2020-05-11,"Asturias",1080,121,290,3227,NA
2020-05-12,"Asturias",1080,121,292,3252,NA
2020-05-13,"Asturias",1084,121,293,3267,NA
2020-05-14,"Asturias",1087,121,298,3300,NA
2020-05-15,"Asturias",1087,121,299,3327,NA
2020-05-16,"Asturias",1087,121,299,3344,NA
2020-05-17,"Asturias",1088,121,301,3355,NA
2020-05-18,"Asturias",1088,121,303,3358,NA
2020-05-19,"Asturias",1089,121,304,3359,NA
2020-05-20,"Asturias",1089,121,307,3359,NA
2020-02-20,"Baleares",NA,NA,NA,1,NA
2020-02-21,"Baleares",NA,NA,NA,1,NA
2020-02-22,"Baleares",NA,NA,NA,1,NA
