,0 - 9,10-19,20 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80 - 89,GUZTIRA / TOTAL,Mas de 90 edo gehiago,No consta,update,file
1,1576,2497,5350,5724,6890,7092,4496,3264,3440,42547,1856,362,2020/09/07,0001.11-Sep-2020.6eda3f7b05552cf95c4a6d1a1367f29cfe2a75fd.situacion-epidemiologica.xlsx
2,1576,2497,5350,5724,6890,7092,4496,3264,3440,42547,1856,362,2020/09/07,0002.10-Sep-2020.e7db29121d0d095e529bc6590fde3170de91deca.situacion-epidemiologica.xlsx
3,1576,2497,5350,5724,6890,7092,4496,3264,3440,42547,1856,362,2020/09/07,0003.9-Sep-2020.83276e0c90d3b425e7d348fe781d6bce13ba34f3.situacion-epidemiologica.xlsx
4,1257,2087,4704,5125,6251,6493,4113,3045,3266,38433,1755,337,2020/08/31,0004.8-Sep-2020.d308624af829b91b90b51181128ee5dbae6385ae.situacion-epidemiologica.xlsx
5,1257,2087,4704,5125,6251,6493,4113,3045,3266,38433,1755,337,2020/08/31,0005.7-Sep-2020.46f79f6fc6e96ab0a585672dcc93bda5332ca674.situacion-epidemiologica.xlsx
6,1257,2087,4704,5125,6251,6493,4113,3045,3266,38433,1755,337,2020/08/31,0006.4-Sep-2020.35eb3151dfa75674cf4e98e0350f5ba7f72bac35.situacion-epidemiologica.xlsx
7,1257,2087,4704,5125,6251,6493,4113,3045,3266,38433,1755,337,2020/08/31,0007.3-Sep-2020.5712b855375ce15eba0267db40aceb8ead3844e6.situacion-epidemiologica.xlsx
8,1257,2087,4704,5125,6251,6493,4113,3045,3266,38433,1755,337,2020/08/31,0008.2-Sep-2020.abd49cd4872e0ca4f180e553529ff9ec0b94776e.situacion-epidemiologica.xlsx
9,961,1597,3822,4410,5537,5854,3791,2832,3093,33866,1692,277,2020/08/24,0009.1-Sep-2020.95c21dc4c2fbbb610aae50cd917d2fed1813e056.situacion-epidemiologica.xlsx
10,961,1597,3822,4410,5537,5854,3791,2832,3093,33866,1692,277,2020/08/24,0010.31-Aug-2020.7617376bc2d4a9ac928d21662e000c4727334216.situacion-epidemiologica.xlsx
11,961,1597,3822,4410,5537,5854,3791,2832,3093,33866,1692,277,2020/08/24,0011.28-Aug-2020.5c0ebe481dbc28f7eddfd02e7c0d8a6a3dfb6f8a.situacion-epidemiologica.xlsx
12,961,1597,3822,4410,5537,5854,3791,2832,3093,33866,1692,277,2020/08/24,0012.27-Aug-2020.8adcb3866c5400cf687bf40aeb29bd5315da06c5.situacion-epidemiologica.xlsx
13,961,1597,3822,4410,5537,5854,3791,2832,3093,33866,1692,277,2020/08/24,0013.27-Aug-2020.1f7c36652e039c469b387eee914d2fde6cbfd7ce.situacion-epidemiologica.xlsx
14,705,1221,3102,3758,4965,5359,3513,2681,2930,30053,1611,208,2020/08/17,0014.25-Aug-2020.32be138588428b8d71439d026b1ae76f95d6966e.situacion-epidemiologica.xlsx
15,705,1221,3102,3758,4965,5359,3513,2681,2930,30053,1611,208,2020/08/17,0015.24-Aug-2020.2fb65d4b13192fc8c848ff63791911742928297d.situacion-epidemiologica.xlsx
16,705,1221,3102,3758,4965,5359,3513,2681,2930,30053,1611,208,2020/08/17,0016.21-Aug-2020.d75f3409f727930c98dbf2c642b0cd44d2fe41c6.situacion-epidemiologica.xlsx
17,705,1221,3102,3758,4965,5359,3513,2681,2930,30053,1611,208,2020/08/17,0017.20-Aug-2020.152ebd491e7bc2a720405462a99fe3c6695a7eb0.situacion-epidemiologica.xlsx
18,705,1221,3102,3758,4965,5359,3513,2681,2930,30053,1611,208,2020/08/17,0018.20-Aug-2020.2c54013dce7e027a2f23f8cc37abfb83a6a9370b.situacion-epidemiologica.xlsx
19,501,951,2488,3197,4410,4972,3284,2537,2807,26841,1555,139,2020/08/10,0019.18-Aug-2020.08106feae94fcda16279fad8fc9de7170dc8ef38.situacion-epidemiologica.xlsx
20,501,951,2488,3197,4410,4972,3284,2537,2807,26841,1555,139,2020/08/10,0020.18-Aug-2020.47989a6ed223924bc2f88d5f975242f7e494bfdb.situacion-epidemiologica.xlsx
21,501,951,2488,3197,4410,4972,3284,2537,2807,26841,1555,139,2020/08/10,0021.14-Aug-2020.75f42c81d781c48ea2082a28a260a8e793188d60.situacion-epidemiologica.xlsx
22,501,951,2488,3197,4410,4972,3284,2537,2807,26841,1555,139,2020/08/10,0022.13-Aug-2020.7c29dedee835a381612ade0d14d6c3f62c7c65d0.situacion-epidemiologica.xlsx
23,501,951,2488,3197,4410,4972,3284,2537,2807,26841,1555,139,2020/08/10,0023.12-Aug-2020.d1689d093ddf0ac2efb029077839ad068312976b.situacion-epidemiologica.xlsx
24,314,766,2044,2769,4022,4704,3115,2452,2748,24582,1534,114,2020/08/03,0024.10-Aug-2020.2a2ca0618b8640231d2b925db95f852ca4a708a1.situacion-epidemiologica.xlsx
25,314,766,2044,2769,4022,4704,3115,2452,2748,24582,1534,114,2020/08/03,0025.7-Aug-2020.b6664a866d84ea30a028827f234058cda466ff91.situacion-epidemiologica.xlsx
26,314,766,2044,2769,4022,4704,3115,2452,2748,24582,1534,114,2020/08/03,0026.6-Aug-2020.b1bce4bb2590fc3a145a365d3761509fcf691841.situacion-epidemiologica.xlsx
27,314,766,2044,2769,4022,4704,3115,2452,2748,24582,1534,114,2020/08/03,0027.5-Aug-2020.1f96441ab6f99c1e54fb59f31d0ea3506e8de294.situacion-epidemiologica.xlsx
28,210,638,1775,2526,3813,4564,3029,2408,2720,23300,1524,93,2020/07/27,0028.5-Aug-2020.3dc2cd1f8b4ef1c54a2d657081bd2ac76d8ac5b7.situacion-epidemiologica.xlsx
29,210,638,1775,2526,3813,4564,3029,2408,2720,23300,1524,93,2020/07/27,0029.4-Aug-2020.93413f10b7fa0e0f253119f781144d018c857943.situacion-epidemiologica.xlsx
30,210,638,1775,2526,3813,4564,3029,2408,2720,23300,1524,93,2020/07/27,0030.1-Aug-2020.047bf49cc388d6870949dbffd46c55fa68a507d5.situacion-epidemiologica.xlsx
31,210,638,1775,2526,3813,4564,3029,2408,2720,23300,1524,93,2020/07/27,0031.31-Jul-2020.9530bf9f72710232f4c5798a653232436555ad2a.situacion-epidemiologica.xlsx
32,210,638,1775,2526,3813,4564,3029,2408,2720,23300,1524,93,2020/07/27,0032.29-Jul-2020.397f9883e13d311f3f9c39a8c858df6dffc71145.situacion-epidemiologica.xlsx
33,155,478,1594,2403,3687,4429,2963,2372,2700,22392,1525,86,2020/07/20,0033.28-Jul-2020.af45d1b57f7ec1c9807330c8f927e4468da0cf0d.situacion-epidemiologica.xlsx
34,155,478,1594,2403,3687,4429,2963,2372,2700,22392,1525,86,2020/07/20,0034.28-Jul-2020.e0c65034fb958725240a213f92d7b90adfb8a74d.situacion-epidemiologica.xlsx
35,155,478,1594,2403,3687,4429,2963,2372,2700,22392,1525,86,2020/07/20,0035.24-Jul-2020.a96d4e8a25b158d4b56c42f84a97cb3a986a76c7.situacion-epidemiologica.xlsx
36,155,478,1594,2403,3687,4429,2963,2372,2700,22392,1525,86,2020/07/20,0036.23-Jul-2020.cb6825140d9fbefa48a345e464d884594a57195c.situacion-epidemiologica.xlsx
37,125,305,1476,2343,3633,4385,2935,2360,2694,21867,1524,87,2020/07/13,0037.22-Jul-2020.a1f2591151c1862eaa6ff39111f9e20699ec1484.situacion-epidemiologica.xlsx
38,125,305,1476,2343,3633,4385,2935,2360,2694,21867,1524,87,2020/07/13,0038.21-Jul-2020.cf409b99f1c3b3d2701ba68b0bf8074d6bfa6f14.situacion-epidemiologica.xlsx
39,125,305,1476,2343,3633,4385,2935,2360,2694,21867,1524,87,2020/07/13,0039.17-Jul-2020.2b8532f8b9808664d8d3a2fbce993a7e25b5e000.situacion-epidemiologica.xlsx
40,125,305,1476,2343,3633,4385,2935,2360,2694,21867,1524,87,2020/07/16,0040.16-Jul-2020.7f71933b706d67fd526700c2d23e4900728251ae.situacion-epidemiologica.xlsx
41,119,289,1465,2336,3620,4373,2924,2359,2693,21789,1524,87,2020/07/16,0041.16-Jul-2020.ab7b7a3e25d52f113b125b8dfdeeb26925724fbc.situacion-epidemiologica.xlsx
42,114,279,1450,2323,3605,4357,2908,2352,2693,21692,1524,87,2020/07/14,0042.14-Jul-2020.205bc5a1c725e6d12a8353e0a4af09b3ca380ea0.situacion-epidemiologica.xlsx
43,112,275,1439,2315,3592,4349,2899,2348,2692,21632,1524,87,2020/07/14,0043.14-Jul-2020.b78c98b44beca238e87d28602b6223b1406747fc.situacion-epidemiologica.xlsx
44,106,273,1436,2309,3588,4345,2897,2348,2692,21605,1524,87,2020/07/12,0044.12-Jul-2020.dbfae7b5df5009dcdc3a67c7a7ad22bf14febfec.situacion-epidemiologica.xlsx
45,105,272,1427,2306,3576,4343,2896,2346,2692,21574,1524,87,2020/07/11,0045.11-Jul-2020.959d56f21d361e31f12d1cc8484ad37ed6c3a856.situacion-epidemiologica.xlsx
46,102,268,1414,2297,3563,4328,2889,2340,2690,21502,1524,87,2020/07/10,0046.10-Jul-2020.fab8f4e70b354b0a14d8d89531937cf44f1f0a7e.situacion-epidemiologica.xlsx
47,102,263,1409,2282,3546,4315,2882,2334,2689,21433,1524,87,2020/07/10,0047.10-Jul-2020.e8135a63c09515c102d342304a362f261a02c3f4.situacion-epidemiologica.xlsx
48,101,260,1400,2265,3532,4303,2875,2327,2686,21360,1524,87,2020/07/09,0048.9-Jul-2020.84016ddbdbaa2a2df1c58f5e7782caa6723ca91f.situacion-epidemiologica.xlsx
49,101,256,1390,2250,3520,4290,2865,2322,2685,21290,1524,87,2020/07/08,0049.8-Jul-2020.a79eb1c2d59fb5a679a38058c5641b1bcecbdbe9.situacion-epidemiologica.xlsx
50,100,254,1383,2240,3502,4278,2859,2316,2685,21227,1524,86,2020/07/06,0050.6-Jul-2020.392e0040eb77469a6105f49655da9b7410ca9d0e.situacion-epidemiologica.xlsx
51,99,253,1378,2240,3502,4277,2859,2315,2683,21216,1524,86,2020/07/05,0051.5-Jul-2020.a1e2da6de61384391dbe02fc4595750f854715d0.situacion-epidemiologica.xlsx
52,99,250,1375,2238,3496,4275,2858,2315,2682,21196,1522,86,2020/07/04,0052.4-Jul-2020.91da8a7be18f6eb14516ee31c8444eead07d38cf.situacion-epidemiologica.xlsx
53,95,246,1369,2226,3476,4260,2848,2305,2682,21115,1522,86,2020/07/03,0053.3-Jul-2020.b20519cddc0ab32d08d239ab9fa7d2b4f0698c64.situacion-epidemiologica.xlsx
54,92,243,1360,2211,3454,4238,2828,2294,2680,21006,1522,84,2020/07/01,0054.1-Jul-2020.70ece9cb9f4ac0bdf0a7d2d220a99d63a3a1e7c8.situacion-epidemiologica.xlsx
55,91,240,1354,2205,3445,4229,2824,2293,2677,20963,1521,84,2020/07/01,0055.1-Jul-2020.2afa571243b97c719cc3cacb00070dc780f7c4a6.situacion-epidemiologica.xlsx
56,91,240,1352,2198,3442,4220,2820,2287,2676,20931,1521,84,2020/06/29,0056.29-Jun-2020.3c22aec78d6d58fa96094bb499ae8e8b6a64842f.situacion-epidemiologica.xlsx
57,90,240,1352,2196,3442,4219,2819,2287,2676,20926,1521,84,2020/06/29,0057.29-Jun-2020.05ebb350ff35f98cdcd601e91115f6a176667670.situacion-epidemiologica.xlsx
58,88,237,1345,2192,3430,4195,2804,2281,2674,20851,1521,84,2020/06/27,0058.27-Jun-2020.ecc7b5930b8ff442545f5ca34023694674e619bd.situacion-epidemiologica.xlsx
59,85,235,1345,2190,3420,4187,2798,2281,2674,20820,1521,84,2020/06/25,0059.25-Jun-2020.59ab648038e060ceede023002bba68a432b1f484.situacion-epidemiologica.xlsx
60,84,230,1341,2179,3407,4179,2790,2277,2674,20766,1521,84,2020/06/24,0060.24-Jun-2020.08b977357fad3199f9abd8a25aaf7c3d3f2e0354.situacion-epidemiologica.xlsx
61,84,227,1336,2172,3401,4171,2786,2270,2674,20725,1520,84,2020/06/24,0061.24-Jun-2020.6084cd5a8bc532604447ec12e03ea97ed496d433.situacion-epidemiologica.xlsx
