"date","provincia","hospital","hospitalizados","hospitalizados_nuevos","hospitalizados_cum","uci","uci_nuevos","fallecidos","fallecidos_cum","altas","altas_cum","uci_cum","altas_uci","altas_uci_cum","total_ingresados","daily_deceassed","daily_deceassed_avg"
2020-01-03,NA,"...22",0,0,0,0,0,NA,0,NA,0,0,NA,0,0,NA,NA
2020-01-03,"Araba/Álava","01 Araba",72,6,NA,4,0,0,0,0,0,0,0,0,76,NA,NA
2020-01-03,"Bizkaia","02 Cruces",24,0,NA,4,0,0,0,0,0,0,0,0,28,NA,NA
2020-01-03,"Gipuzkoa","03 Donosti",12,1,NA,0,0,0,0,0,0,0,NA,0,12,NA,NA
2020-01-03,"Bizkaia","04 Basurto",32,2,NA,3,0,0,0,0,0,0,0,0,35,NA,NA
2020-01-03,"Bizkaia","05 Galdakao",21,2,NA,0,0,0,0,0,0,0,NA,0,21,NA,NA
2020-01-03,"Gipuzkoa","06 Zumarraga",2,0,NA,0,0,0,0,0,0,0,NA,0,2,NA,NA
2020-01-03,"Gipuzkoa","07 Bidasoa",2,0,NA,0,0,0,0,0,0,0,NA,0,2,NA,NA
2020-01-03,"Gipuzkoa","08 Mendaro",0,0,NA,0,0,NA,0,NA,0,0,NA,0,0,NA,NA
2020-01-03,"Gipuzkoa","09 Alto Deba",0,0,NA,0,0,NA,0,NA,0,0,NA,0,0,NA,NA
2020-01-03,"Bizkaia","10 San Eloy",3,1,NA,0,0,0,0,0,0,0,NA,0,3,NA,NA
2020-01-03,"Bizkaia","11 Urduliz",1,1,NA,0,0,0,0,0,0,0,NA,0,1,NA,NA
2020-01-03,"Gipuzkoa","12 Eibar",1,0,NA,0,0,0,0,0,0,0,NA,0,1,NA,NA
2020-01-03,"Araba/Álava","13 Leza",9,0,NA,0,0,0,0,0,0,0,NA,0,9,NA,NA
2020-01-03,"Bizkaia","14 Sta Marina",14,0,NA,0,0,0,0,0,0,0,NA,0,14,NA,NA
2020-01-03,"Bizkaia","15 Gorliz",10,0,NA,0,0,0,0,0,0,0,NA,0,10,NA,NA
