"code","municipio","positivo","poblacion","ia","fallecidos","fatalidad","date","weekly_deaths","weekly_cases","ia7","ia14","provin_code","province"
"48001","ABADIÑO",39,7695,506.8,3,7.7,2020-07-13,NA,NA,NA,NA,"48","Gipuzkoa"
"48002","ABANTO Y CIERVANA-ABANTO ZIERB",81,9476,854.8,3,3.7,2020-07-13,NA,NA,NA,NA,"48","Gipuzkoa"
"20002","ADUNA",2,480,416.7,1,50,2020-07-13,NA,NA,NA,NA,"20","Bizkaia"
"01051","SALVATIERRA/AGURAIN",72,5296,1359.5,14,19.4,2020-07-13,NA,NA,NA,NA,"01","Araba/Álava"
"20016","AIA",11,1998,550.6,0,0,2020-07-13,NA,NA,NA,NA,"20","Bizkaia"
"20003","AIZARNAZABAL",3,763,393.2,0,0,2020-07-13,NA,NA,NA,NA,"20","Bizkaia"
"20004","ALBIZTUR",1,296,337.8,0,0,2020-07-13,NA,NA,NA,NA,"20","Bizkaia"
"20005","ALEGIA",4,1751,228.4,1,25,2020-07-13,NA,NA,NA,NA,"20","Bizkaia"
"01001","ALEGRIA-DULANTZI",31,3075,1008.1,1,3.2,2020-07-13,NA,NA,NA,NA,"01","Araba/Álava"
"20006","ALKIZA",3,346,867.1,0,0,2020-07-13,NA,NA,NA,NA,"20","Bizkaia"
"48912","ALONSOTEGI",18,2852,631.1,1,5.6,2020-07-13,NA,NA,NA,NA,"48","Gipuzkoa"
"20906","ALTZAGA",1,188,531.9,0,0,2020-07-13,NA,NA,NA,NA,"20","Bizkaia"
"20007","ALTZO",8,367,2179.8,0,0,2020-07-13,NA,NA,NA,NA,"20","Bizkaia"
"20008","AMEZKETA",2,907,220.5,1,50,2020-07-13,NA,NA,NA,NA,"20","Bizkaia"
"48003","AMOREBIETA-ETXANO",193,19119,1009.5,18,9.3,2020-07-13,NA,NA,NA,NA,"48","Gipuzkoa"
"01002","AMURRIO",127,10419,1218.9,8,6.3,2020-07-13,NA,NA,NA,NA,"01","Araba/Álava"
"20009","ANDOAIN",54,14945,361.3,3,5.6,2020-07-13,NA,NA,NA,NA,"20","Bizkaia"
"20010","ANOETA",14,2036,687.6,1,7.1,2020-07-13,NA,NA,NA,NA,"20","Bizkaia"
"20011","ANTZUOLA",8,2201,363.5,0,0,2020-07-13,NA,NA,NA,NA,"20","Bizkaia"
"20012","ARAMA",2,202,990.1,0,0,2020-07-13,NA,NA,NA,NA,"20","Bizkaia"
"01003","ARAMAIO",5,1506,332,0,0,2020-07-13,NA,NA,NA,NA,"01","Araba/Álava"
"48006","ARANTZAZU",1,377,265.3,0,0,2020-07-13,NA,NA,NA,NA,"48","Gipuzkoa"
