COD17ZON,OSI_NOM_eu,OSI_NOM_es,Cod_bopv1,Cod_osi,ZON_Cod,ZONA_Nom,ZONA_Nom1
301009,Araba,Araba,1.1.16,1,1116,LLANADA ALAVESA,Llanada Alavesa
306002,Barrualde - Galdakao,Barrualde - Galdakao,2.5.02,6,2502,AIALA,Aiala
301011,Araba,Araba,1.1.18,1,1118,NORTE-LEGUTIO,Norte-Villarreal
308006,Alto Deba,Debagoiena,3.2.01,8,3201,ARRASATE,Arrasate
301019,Araba,Araba,1.1.21,1,1121,VALLES ALAVESES II,Valles Alaveses II
313001,Rioja Alavesa,Arabako Errioxa,1.2.01,13,1201,RIOJA ALAVESA,Rioja
301010,Araba,Araba,1.1.17,1,1117,MONTAÑA ALAVESA,Montaña Alavesa
301013,Araba,Araba,1.1.07,1,1107,OLAGUIBEL,Olaguibel
301012,Araba,Araba,1.1.19,1,1119,NORTE-ZUIA,Norte-Zuya
306015,Barrualde - Galdakao,Barrualde - Galdakao,2.5.15,6,2515,LLODIO,Llodio
301018,Araba,Araba,1.1.20,1,1120,VALLES ALAVESES I,Valles Alaveses I
301001,Araba,Araba,1.1.01,1,1101,ABETXUKO,Abetxuko
301002,Araba,Araba,1.1.02,1,1102,ARANBIZKARRA I,Aranbizkarra I
301003,Araba,Araba,1.1.03,1,1103,ARANBIZKARRA II,Aranbizkarra II
301004,Araba,Araba,1.1.05,1,1105,CASCO VIEJO (VITORIA-GASTEIZ),Casco Viejo (Vitoria)
301005,Araba,Araba,1.1.08,1,1108,GAZALBIDE - TXAGORRITXU,Gazalbide Txagorritxu
301006,Araba,Araba,1.1.06,1,1106,LA HABANA,La Habana
301007,Araba,Araba,1.1.09,1,1109,LAKUA - ARRIAGA,Lakua - Arriaga
301008,Araba,Araba,1.1.13,1,1113,LAKUABIZKARRA,Lakuabizkarra
301014,Araba,Araba,1.1.10,1,1110,OLARIZU,Olarizu
301015,Araba,Araba,1.1.11,1,1111,SALBURUA,Salburua
301016,Araba,Araba,1.1.04,1,1104,SAN MARTÍN,San Martín
301017,Araba,Araba,1.1.12,1,1112,SANSOMENDI,Sansomendi
301020,Araba,Araba,1.1.14,1,1114,ZABALGANA,Zabalgana
301021,Araba,Araba,1.1.15,1,1115,ZARAMAGA,Zaramaga
310001,Tolosaldea,Tolosaldea,3.4.01,10,3401,ALEGIA,Alegia
310005,Tolosaldea,Tolosaldea,3.4.05,10,3405,VILLABONA,Villabona
311020,Donostialdea,Donostialdea,3.5.20,11,3520,ZUMAIA - ZESTOA - GETARIA,Zumaia - Zestoa - Getaria
310002,Tolosaldea,Tolosaldea,3.4.02,10,3402,ANDOAIN,Andoain
308007,Alto Deba,Debagoiena,3.2.02,8,3202,BERGARA,Bergara
309006,Goierri - Alto Urola,Goierri - Urola Garaia,3.3.06,9,3306,ORDIZIA,Ordizia
308009,Alto Deba,Debagoiena,3.2.04,8,3204,VALLE DE LENIZ,Valle de Leniz
309004,Goierri - Alto Urola,Goierri - Urola Garaia,3.3.04,9,3304,LAZKAO,Lazkao
311019,Donostialdea,Donostialdea,3.5.19,11,3519,ZARAUTZ - ORIO - AIA,Zarautz ? Orio - Aia
309001,Goierri - Alto Urola,Goierri - Urola Garaia,3.3.01,9,3301,AZKOITIA,Azkoitia
309002,Goierri - Alto Urola,Goierri - Urola Garaia,3.3.02,9,3302,AZPEITIA,Azpeitia
