"date","province","ccaa","new_cases","PCR","TestAc","activos","hospitalized","intensive_care","deceased","cases_accumulated","cases_accumulated_PCR","recovered","source_name","source","comments"
2020-06-04,"A Coruña","Galicia",NA,NA,NA,NA,7,0,166,2763,NA,NA,"Área sanitarias A Coruña via @lipido","https://github.com/lipido/galicia-covid19/blob/master/coruna.csv;https://github.com/lipido/galicia-covid19/blob/master/coruna.ext.csv",NA
2020-06-05,"A Coruña","Galicia",NA,NA,NA,NA,8,0,166,2768,NA,NA,"Área sanitarias A Coruña via @lipido","https://github.com/lipido/galicia-covid19/blob/master/coruna.csv;https://github.com/lipido/galicia-covid19/blob/master/coruna.ext.csv",NA
2020-06-06,"A Coruña","Galicia",NA,NA,NA,NA,5,0,166,2769,NA,NA,"Área sanitarias A Coruña via @lipido","https://github.com/lipido/galicia-covid19/blob/master/coruna.csv;https://github.com/lipido/galicia-covid19/blob/master/coruna.ext.csv",NA
2020-06-07,"A Coruña","Galicia",NA,NA,NA,NA,5,0,166,2769,NA,NA,"Área sanitarias A Coruña via @lipido","https://github.com/lipido/galicia-covid19/blob/master/coruna.csv;https://github.com/lipido/galicia-covid19/blob/master/coruna.ext.csv",NA
2020-06-08,"A Coruña","Galicia",NA,NA,NA,NA,4,0,166,2773,NA,NA,"Área sanitarias A Coruña via @lipido","https://github.com/lipido/galicia-covid19/blob/master/coruna.csv;https://github.com/lipido/galicia-covid19/blob/master/coruna.ext.csv",NA
2020-06-09,"A Coruña","Galicia",NA,NA,NA,NA,3,0,166,2778,NA,NA,"Área sanitarias A Coruña via @lipido","https://github.com/lipido/galicia-covid19/blob/master/coruna.csv;https://github.com/lipido/galicia-covid19/blob/master/coruna.ext.csv",NA
2020-06-10,"A Coruña","Galicia",NA,NA,NA,NA,3,0,166,2782,NA,NA,"Área sanitarias A Coruña via @lipido","https://github.com/lipido/galicia-covid19/blob/master/coruna.csv;https://github.com/lipido/galicia-covid19/blob/master/coruna.ext.csv",NA
2020-06-11,"A Coruña","Galicia",NA,NA,NA,NA,2,0,166,2782,NA,NA,"Área sanitarias A Coruña via @lipido","https://github.com/lipido/galicia-covid19/blob/master/coruna.csv;https://github.com/lipido/galicia-covid19/blob/master/coruna.ext.csv",NA
2020-06-12,"A Coruña","Galicia",NA,NA,NA,NA,1,0,166,2785,NA,NA,"Área sanitarias A Coruña via @lipido","https://github.com/lipido/galicia-covid19/blob/master/coruna.csv;https://github.com/lipido/galicia-covid19/blob/master/coruna.ext.csv",NA
2020-06-13,"A Coruña","Galicia",NA,NA,NA,NA,2,0,166,2786,NA,NA,"Área sanitarias A Coruña via @lipido","https://github.com/lipido/galicia-covid19/blob/master/coruna.csv;https://github.com/lipido/galicia-covid19/blob/master/coruna.ext.csv",NA
2020-06-14,"A Coruña","Galicia",NA,NA,NA,NA,2,0,166,2786,NA,NA,"Área sanitarias A Coruña via @lipido","https://github.com/lipido/galicia-covid19/blob/master/coruna.csv;https://github.com/lipido/galicia-covid19/blob/master/coruna.ext.csv",NA
2020-06-15,"A Coruña","Galicia",NA,NA,NA,NA,2,0,166,2787,NA,NA,"Área sanitarias A Coruña via @lipido","https://github.com/lipido/galicia-covid19/blob/master/coruna.csv;https://github.com/lipido/galicia-covid19/blob/master/coruna.ext.csv",NA
2020-06-16,"A Coruña","Galicia",NA,NA,NA,NA,2,0,166,2790,NA,NA,"Área sanitarias A Coruña via @lipido","https://github.com/lipido/galicia-covid19/blob/master/coruna.csv;https://github.com/lipido/galicia-covid19/blob/master/coruna.ext.csv",NA
2020-06-17,"A Coruña","Galicia",NA,NA,NA,NA,2,0,166,2790,NA,NA,"Área sanitarias A Coruña via @lipido","https://github.com/lipido/galicia-covid19/blob/master/coruna.csv;https://github.com/lipido/galicia-covid19/blob/master/coruna.ext.csv",NA
