"date","province","ccaa","new_cases","PCR","TestAc","activos","hospitalized","intensive_care","deceased","cases_accumulated","cases_accumulated_PCR","recovered","source_name","source","comments"
2020-06-04,"Ferrol","Galicia",NA,NA,NA,NA,2,0,33,613,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/ferrol.csv;https://github.com/lipido/galicia-covid19/blob/master/ferrol.ext.csv",NA
2020-06-05,"Ferrol","Galicia",NA,NA,NA,NA,1,0,33,613,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/ferrol.csv;https://github.com/lipido/galicia-covid19/blob/master/ferrol.ext.csv",NA
2020-06-06,"Ferrol","Galicia",NA,NA,NA,NA,2,0,33,613,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/ferrol.csv;https://github.com/lipido/galicia-covid19/blob/master/ferrol.ext.csv",NA
2020-06-07,"Ferrol","Galicia",NA,NA,NA,NA,1,0,33,613,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/ferrol.csv;https://github.com/lipido/galicia-covid19/blob/master/ferrol.ext.csv",NA
2020-06-08,"Ferrol","Galicia",NA,NA,NA,NA,1,0,33,613,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/ferrol.csv;https://github.com/lipido/galicia-covid19/blob/master/ferrol.ext.csv",NA
2020-06-09,"Ferrol","Galicia",NA,NA,NA,NA,0,0,33,613,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/ferrol.csv;https://github.com/lipido/galicia-covid19/blob/master/ferrol.ext.csv",NA
2020-06-10,"Ferrol","Galicia",NA,NA,NA,NA,0,0,33,613,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/ferrol.csv;https://github.com/lipido/galicia-covid19/blob/master/ferrol.ext.csv",NA
2020-06-11,"Ferrol","Galicia",NA,NA,NA,NA,0,0,33,613,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/ferrol.csv;https://github.com/lipido/galicia-covid19/blob/master/ferrol.ext.csv",NA
2020-06-12,"Ferrol","Galicia",NA,NA,NA,NA,0,0,33,613,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/ferrol.csv;https://github.com/lipido/galicia-covid19/blob/master/ferrol.ext.csv",NA
2020-06-13,"Ferrol","Galicia",NA,NA,NA,NA,0,0,33,614,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/ferrol.csv;https://github.com/lipido/galicia-covid19/blob/master/ferrol.ext.csv",NA
2020-06-14,"Ferrol","Galicia",NA,NA,NA,NA,0,0,33,614,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/ferrol.csv;https://github.com/lipido/galicia-covid19/blob/master/ferrol.ext.csv",NA
2020-06-15,"Ferrol","Galicia",NA,NA,NA,NA,0,0,33,614,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/ferrol.csv;https://github.com/lipido/galicia-covid19/blob/master/ferrol.ext.csv",NA
2020-06-16,"Ferrol","Galicia",NA,NA,NA,NA,0,0,33,614,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/ferrol.csv;https://github.com/lipido/galicia-covid19/blob/master/ferrol.ext.csv",NA
2020-06-17,"Ferrol","Galicia",NA,NA,NA,NA,0,0,33,614,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/ferrol.csv;https://github.com/lipido/galicia-covid19/blob/master/ferrol.ext.csv",NA
2020-06-18,"Ferrol","Galicia",NA,NA,NA,NA,0,0,33,614,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/ferrol.csv;https://github.com/lipido/galicia-covid19/blob/master/ferrol.ext.csv",NA
2020-06-19,"Ferrol","Galicia",NA,NA,NA,NA,0,0,33,614,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/ferrol.csv;https://github.com/lipido/galicia-covid19/blob/master/ferrol.ext.csv",NA
2020-06-20,"Ferrol","Galicia",NA,NA,NA,NA,0,0,33,615,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/ferrol.csv;https://github.com/lipido/galicia-covid19/blob/master/ferrol.ext.csv",NA
2020-06-21,"Ferrol","Galicia",NA,NA,NA,NA,0,0,33,615,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/ferrol.csv;https://github.com/lipido/galicia-covid19/blob/master/ferrol.ext.csv",NA
2020-06-22,"Ferrol","Galicia",NA,NA,NA,NA,0,0,33,615,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/ferrol.csv;https://github.com/lipido/galicia-covid19/blob/master/ferrol.ext.csv",NA
2020-06-23,"Ferrol","Galicia",NA,NA,NA,NA,0,0,33,615,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/ferrol.csv;https://github.com/lipido/galicia-covid19/blob/master/ferrol.ext.csv",NA
2020-06-24,"Ferrol","Galicia",NA,NA,NA,NA,0,0,33,615,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/ferrol.csv;https://github.com/lipido/galicia-covid19/blob/master/ferrol.ext.csv",NA
2020-06-25,"Ferrol","Galicia",NA,NA,NA,NA,0,0,33,615,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/ferrol.csv;https://github.com/lipido/galicia-covid19/blob/master/ferrol.ext.csv",NA
2020-06-26,"Ferrol","Galicia",NA,NA,NA,NA,0,0,33,615,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/ferrol.csv;https://github.com/lipido/galicia-covid19/blob/master/ferrol.ext.csv",NA
2020-06-27,"Ferrol","Galicia",NA,NA,NA,NA,0,0,33,615,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/ferrol.csv;https://github.com/lipido/galicia-covid19/blob/master/ferrol.ext.csv",NA
2020-06-28,"Ferrol","Galicia",NA,NA,NA,NA,0,0,33,615,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/ferrol.csv;https://github.com/lipido/galicia-covid19/blob/master/ferrol.ext.csv",NA
2020-06-29,"Ferrol","Galicia",NA,NA,NA,NA,0,0,33,615,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/ferrol.csv;https://github.com/lipido/galicia-covid19/blob/master/ferrol.ext.csv",NA
2020-06-30,"Ferrol","Galicia",NA,NA,NA,NA,0,0,33,615,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/ferrol.csv;https://github.com/lipido/galicia-covid19/blob/master/ferrol.ext.csv",NA
2020-07-01,"Ferrol","Galicia",NA,NA,NA,NA,0,0,33,615,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/ferrol.csv;https://github.com/lipido/galicia-covid19/blob/master/ferrol.ext.csv",NA
2020-07-02,"Ferrol","Galicia",NA,NA,NA,NA,0,0,33,616,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/ferrol.csv;https://github.com/lipido/galicia-covid19/blob/master/ferrol.ext.csv",NA
2020-07-03,"Ferrol","Galicia",NA,NA,NA,NA,0,0,33,616,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/ferrol.csv;https://github.com/lipido/galicia-covid19/blob/master/ferrol.ext.csv",NA
2020-07-04,"Ferrol","Galicia",NA,NA,NA,NA,0,0,33,616,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/ferrol.csv;https://github.com/lipido/galicia-covid19/blob/master/ferrol.ext.csv",NA
2020-07-05,"Ferrol","Galicia",NA,NA,NA,NA,0,0,33,616,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/ferrol.csv;https://github.com/lipido/galicia-covid19/blob/master/ferrol.ext.csv",NA
2020-07-06,"Ferrol","Galicia",NA,NA,NA,NA,0,0,33,616,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/ferrol.csv;https://github.com/lipido/galicia-covid19/blob/master/ferrol.ext.csv",NA
2020-07-07,"Ferrol","Galicia",NA,NA,NA,NA,0,0,33,617,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/ferrol.csv;https://github.com/lipido/galicia-covid19/blob/master/ferrol.ext.csv",NA
2020-07-08,"Ferrol","Galicia",NA,NA,NA,NA,0,0,33,617,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/ferrol.csv;https://github.com/lipido/galicia-covid19/blob/master/ferrol.ext.csv",NA
2020-07-09,"Ferrol","Galicia",NA,NA,NA,NA,0,0,33,617,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/ferrol.csv;https://github.com/lipido/galicia-covid19/blob/master/ferrol.ext.csv",NA
2020-07-10,"Ferrol","Galicia",NA,NA,NA,NA,0,0,33,617,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/ferrol.csv;https://github.com/lipido/galicia-covid19/blob/master/ferrol.ext.csv",NA
2020-07-11,"Ferrol","Galicia",NA,NA,NA,NA,0,0,33,617,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/ferrol.csv;https://github.com/lipido/galicia-covid19/blob/master/ferrol.ext.csv",NA
2020-07-12,"Ferrol","Galicia",NA,NA,NA,NA,0,0,33,617,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/ferrol.csv;https://github.com/lipido/galicia-covid19/blob/master/ferrol.ext.csv",NA
2020-07-13,"Ferrol","Galicia",NA,NA,NA,NA,0,0,33,618,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/ferrol.csv;https://github.com/lipido/galicia-covid19/blob/master/ferrol.ext.csv",NA
2020-07-14,"Ferrol","Galicia",NA,NA,NA,NA,0,0,33,618,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/ferrol.csv;https://github.com/lipido/galicia-covid19/blob/master/ferrol.ext.csv",NA
2020-07-15,"Ferrol","Galicia",NA,NA,NA,NA,0,0,33,618,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/ferrol.csv;https://github.com/lipido/galicia-covid19/blob/master/ferrol.ext.csv",NA
2020-07-16,"Ferrol","Galicia",NA,NA,NA,NA,0,0,33,618,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/ferrol.csv;https://github.com/lipido/galicia-covid19/blob/master/ferrol.ext.csv",NA
2020-07-17,"Ferrol","Galicia",NA,NA,NA,NA,0,0,33,618,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/ferrol.csv;https://github.com/lipido/galicia-covid19/blob/master/ferrol.ext.csv",NA
