"date","province","ccaa","new_cases","PCR","TestAc","activos","hospitalized","intensive_care","deceased","cases_accumulated","cases_accumulated_PCR","recovered","source_name","source","comments"
2020-06-04,"Lugo","Galicia",NA,NA,NA,NA,1,0,28,950,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/lugo.csv;https://github.com/lipido/galicia-covid19/blob/master/lugo.ext.csv",NA
2020-06-05,"Lugo","Galicia",NA,NA,NA,NA,2,0,28,953,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/lugo.csv;https://github.com/lipido/galicia-covid19/blob/master/lugo.ext.csv",NA
2020-06-06,"Lugo","Galicia",NA,NA,NA,NA,1,0,28,957,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/lugo.csv;https://github.com/lipido/galicia-covid19/blob/master/lugo.ext.csv",NA
2020-06-07,"Lugo","Galicia",NA,NA,NA,NA,1,0,28,957,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/lugo.csv;https://github.com/lipido/galicia-covid19/blob/master/lugo.ext.csv",NA
2020-06-08,"Lugo","Galicia",NA,NA,NA,NA,1,0,28,957,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/lugo.csv;https://github.com/lipido/galicia-covid19/blob/master/lugo.ext.csv",NA
2020-06-09,"Lugo","Galicia",NA,NA,NA,NA,1,0,28,958,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/lugo.csv;https://github.com/lipido/galicia-covid19/blob/master/lugo.ext.csv",NA
2020-06-10,"Lugo","Galicia",NA,NA,NA,NA,1,0,28,962,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/lugo.csv;https://github.com/lipido/galicia-covid19/blob/master/lugo.ext.csv",NA
2020-06-11,"Lugo","Galicia",NA,NA,NA,NA,2,0,28,963,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/lugo.csv;https://github.com/lipido/galicia-covid19/blob/master/lugo.ext.csv",NA
2020-06-12,"Lugo","Galicia",NA,NA,NA,NA,1,0,28,963,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/lugo.csv;https://github.com/lipido/galicia-covid19/blob/master/lugo.ext.csv",NA
2020-06-13,"Lugo","Galicia",NA,NA,NA,NA,1,0,28,963,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/lugo.csv;https://github.com/lipido/galicia-covid19/blob/master/lugo.ext.csv",NA
2020-06-14,"Lugo","Galicia",NA,NA,NA,NA,2,0,28,964,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/lugo.csv;https://github.com/lipido/galicia-covid19/blob/master/lugo.ext.csv",NA
2020-06-15,"Lugo","Galicia",NA,NA,NA,NA,2,0,28,964,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/lugo.csv;https://github.com/lipido/galicia-covid19/blob/master/lugo.ext.csv",NA
2020-06-16,"Lugo","Galicia",NA,NA,NA,NA,2,0,28,964,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/lugo.csv;https://github.com/lipido/galicia-covid19/blob/master/lugo.ext.csv",NA
2020-06-17,"Lugo","Galicia",NA,NA,NA,NA,2,0,28,964,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/lugo.csv;https://github.com/lipido/galicia-covid19/blob/master/lugo.ext.csv",NA
2020-06-18,"Lugo","Galicia",NA,NA,NA,NA,1,0,28,965,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/lugo.csv;https://github.com/lipido/galicia-covid19/blob/master/lugo.ext.csv",NA
2020-06-19,"Lugo","Galicia",NA,NA,NA,NA,1,0,28,966,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/lugo.csv;https://github.com/lipido/galicia-covid19/blob/master/lugo.ext.csv",NA
