"region","fecha","cases_registered","PCR","TestAc","hospitalized","intensive_care","deceassed","date","recovered"
"Andalucía","20/2/2020",0,0,NA,NA,NA,NA,2020-02-20,NA
"Aragón","20/2/2020",0,0,NA,NA,NA,NA,2020-02-20,NA
"Asturias","20/2/2020",0,0,NA,NA,NA,NA,2020-02-20,NA
"Baleares","20/2/2020",1,1,NA,NA,NA,NA,2020-02-20,NA
"Canarias","20/2/2020",1,1,NA,NA,NA,NA,2020-02-20,NA
"Cantabria","20/2/2020",0,0,NA,NA,NA,NA,2020-02-20,NA
"Castilla-La Mancha","20/2/2020",0,0,NA,NA,NA,NA,2020-02-20,NA
"Castilla y León","20/2/2020",0,0,NA,NA,NA,NA,2020-02-20,NA
"Cataluña","20/2/2020",0,0,NA,NA,NA,NA,2020-02-20,NA
"Ceuta","20/2/2020",0,0,NA,NA,NA,NA,2020-02-20,NA
"C. Valenciana","20/2/2020",0,0,NA,26,0,NA,2020-02-20,NA
"Extremadura","20/2/2020",0,0,NA,NA,NA,NA,2020-02-20,NA
"Galicia","20/2/2020",0,0,NA,NA,NA,NA,2020-02-20,NA
"Madrid","20/2/2020",1,1,NA,NA,NA,NA,2020-02-20,NA
"Melilla","20/2/2020",0,0,NA,NA,NA,NA,2020-02-20,NA
"Murcia","20/2/2020",0,0,NA,NA,NA,NA,2020-02-20,NA
"Navarra","20/2/2020",0,0,NA,NA,NA,NA,2020-02-20,NA
"País Vasco","20/2/2020",0,0,NA,NA,NA,NA,2020-02-20,NA
"La Rioja","20/2/2020",0,0,NA,NA,NA,NA,2020-02-20,NA
"Andalucía","21/2/2020",0,0,NA,NA,NA,NA,2020-02-21,NA
"Aragón","21/2/2020",0,0,NA,NA,NA,NA,2020-02-21,NA
"Asturias","21/2/2020",0,0,NA,NA,NA,NA,2020-02-21,NA
"Baleares","21/2/2020",1,1,NA,NA,NA,NA,2020-02-21,NA
"Canarias","21/2/2020",1,1,NA,NA,NA,NA,2020-02-21,NA
"Cantabria","21/2/2020",0,0,NA,NA,NA,NA,2020-02-21,NA
"Castilla-La Mancha","21/2/2020",0,0,NA,NA,NA,NA,2020-02-21,NA
"Castilla y León","21/2/2020",0,0,NA,NA,NA,NA,2020-02-21,NA
"Cataluña","21/2/2020",0,0,NA,NA,NA,NA,2020-02-21,NA
"Ceuta","21/2/2020",0,0,NA,NA,NA,NA,2020-02-21,NA
"C. Valenciana","21/2/2020",0,0,NA,30,1,NA,2020-02-21,NA
"Extremadura","21/2/2020",0,0,NA,NA,NA,NA,2020-02-21,NA
"Galicia","21/2/2020",0,0,NA,NA,NA,NA,2020-02-21,NA
"Madrid","21/2/2020",1,1,NA,NA,NA,NA,2020-02-21,NA
"Melilla","21/2/2020",0,0,NA,NA,NA,NA,2020-02-21,NA
"Murcia","21/2/2020",0,0,NA,NA,NA,NA,2020-02-21,NA
"Navarra","21/2/2020",0,0,NA,NA,NA,NA,2020-02-21,NA
"País Vasco","21/2/2020",0,0,NA,NA,NA,NA,2020-02-21,NA
"La Rioja","21/2/2020",0,0,NA,NA,NA,NA,2020-02-21,NA
"Andalucía","22/2/2020",0,0,NA,NA,NA,NA,2020-02-22,NA
"Aragón","22/2/2020",0,0,NA,NA,NA,NA,2020-02-22,NA
"Asturias","22/2/2020",0,0,NA,NA,NA,NA,2020-02-22,NA
"Baleares","22/2/2020",1,1,NA,NA,NA,NA,2020-02-22,NA
"Canarias","22/2/2020",1,1,NA,NA,NA,NA,2020-02-22,NA
"Cantabria","22/2/2020",0,0,NA,NA,NA,NA,2020-02-22,NA
"Castilla-La Mancha","22/2/2020",0,0,NA,NA,NA,NA,2020-02-22,NA
"Castilla y León","22/2/2020",0,0,NA,NA,NA,NA,2020-02-22,NA
"Cataluña","22/2/2020",0,0,NA,NA,NA,NA,2020-02-22,NA
"Ceuta","22/2/2020",0,0,NA,NA,NA,NA,2020-02-22,NA
"C. Valenciana","22/2/2020",0,0,NA,33,1,NA,2020-02-22,NA
"Extremadura","22/2/2020",0,0,NA,NA,NA,NA,2020-02-22,NA
"Galicia","22/2/2020",0,0,NA,NA,NA,NA,2020-02-22,NA
"Madrid","22/2/2020",1,1,NA,NA,NA,NA,2020-02-22,NA
"Melilla","22/2/2020",0,0,NA,NA,NA,NA,2020-02-22,NA
"Murcia","22/2/2020",0,0,NA,NA,NA,NA,2020-02-22,NA
"Navarra","22/2/2020",0,0,NA,NA,NA,NA,2020-02-22,NA
"País Vasco","22/2/2020",0,0,NA,NA,NA,NA,2020-02-22,NA
"La Rioja","22/2/2020",0,0,NA,NA,NA,NA,2020-02-22,NA
"Andalucía","23/2/2020",0,0,NA,NA,NA,NA,2020-02-23,NA
"Aragón","23/2/2020",0,0,NA,NA,NA,NA,2020-02-23,NA
"Asturias","23/2/2020",0,0,NA,NA,NA,NA,2020-02-23,NA
"Baleares","23/2/2020",1,1,NA,NA,NA,NA,2020-02-23,NA
"Canarias","23/2/2020",1,1,NA,NA,NA,NA,2020-02-23,NA
"Cantabria","23/2/2020",0,0,NA,NA,NA,NA,2020-02-23,NA
"Castilla-La Mancha","23/2/2020",0,0,NA,NA,NA,NA,2020-02-23,NA
"Castilla y León","23/2/2020",0,0,NA,NA,NA,NA,2020-02-23,NA
"Cataluña","23/2/2020",0,0,NA,NA,NA,NA,2020-02-23,NA
"Ceuta","23/2/2020",0,0,NA,NA,NA,NA,2020-02-23,NA
"C. Valenciana","23/2/2020",0,0,NA,38,2,NA,2020-02-23,NA
"Extremadura","23/2/2020",0,0,NA,NA,NA,NA,2020-02-23,NA
"Galicia","23/2/2020",0,0,NA,NA,NA,NA,2020-02-23,NA
"Madrid","23/2/2020",1,1,NA,NA,NA,NA,2020-02-23,NA
"Melilla","23/2/2020",0,0,NA,NA,NA,NA,2020-02-23,NA
"Murcia","23/2/2020",0,0,NA,NA,NA,NA,2020-02-23,NA
"Navarra","23/2/2020",0,0,NA,NA,NA,NA,2020-02-23,NA
"País Vasco","23/2/2020",0,0,NA,NA,NA,NA,2020-02-23,NA
"La Rioja","23/2/2020",0,0,NA,NA,NA,NA,2020-02-23,NA
"Andalucía","24/2/2020",0,0,NA,NA,NA,NA,2020-02-24,NA
"Aragón","24/2/2020",0,0,NA,NA,NA,NA,2020-02-24,NA
"Asturias","24/2/2020",0,0,NA,NA,NA,NA,2020-02-24,NA
"Baleares","24/2/2020",1,1,NA,NA,NA,NA,2020-02-24,NA
"Canarias","24/2/2020",2,2,NA,NA,NA,NA,2020-02-24,NA
"Cantabria","24/2/2020",0,0,NA,NA,NA,NA,2020-02-24,NA
"Castilla-La Mancha","24/2/2020",0,0,NA,NA,NA,NA,2020-02-24,NA
"Castilla y León","24/2/2020",0,0,NA,NA,NA,NA,2020-02-24,NA
"Cataluña","24/2/2020",0,0,NA,NA,NA,NA,2020-02-24,NA
"Ceuta","24/2/2020",0,0,NA,NA,NA,NA,2020-02-24,NA
"C. Valenciana","24/2/2020",0,0,NA,49,2,NA,2020-02-24,NA
"Extremadura","24/2/2020",0,0,NA,NA,NA,NA,2020-02-24,NA
"Galicia","24/2/2020",0,0,NA,NA,NA,NA,2020-02-24,NA
"Madrid","24/2/2020",1,1,NA,NA,NA,NA,2020-02-24,NA
"Melilla","24/2/2020",0,0,NA,NA,NA,NA,2020-02-24,NA
"Murcia","24/2/2020",0,0,NA,NA,NA,NA,2020-02-24,NA
"Navarra","24/2/2020",0,0,NA,NA,NA,NA,2020-02-24,NA
"País Vasco","24/2/2020",0,0,NA,NA,NA,NA,2020-02-24,NA
"La Rioja","24/2/2020",0,0,NA,NA,NA,NA,2020-02-24,NA
"Andalucía","25/2/2020",0,0,NA,NA,NA,NA,2020-02-25,NA
"Aragón","25/2/2020",0,0,NA,NA,NA,NA,2020-02-25,NA
"Asturias","25/2/2020",0,0,NA,NA,NA,NA,2020-02-25,NA
"Baleares","25/2/2020",1,1,NA,NA,NA,NA,2020-02-25,NA
"Canarias","25/2/2020",5,5,NA,NA,NA,NA,2020-02-25,NA
"Cantabria","25/2/2020",0,0,NA,NA,NA,NA,2020-02-25,NA
"Castilla-La Mancha","25/2/2020",0,0,NA,NA,NA,NA,2020-02-25,NA
"Castilla y León","25/2/2020",0,0,NA,NA,NA,NA,2020-02-25,NA
"Cataluña","25/2/2020",1,1,NA,NA,NA,NA,2020-02-25,NA
"Ceuta","25/2/2020",0,0,NA,NA,NA,NA,2020-02-25,NA
"C. Valenciana","25/2/2020",1,1,NA,58,2,NA,2020-02-25,NA
"Extremadura","25/2/2020",0,0,NA,NA,NA,NA,2020-02-25,NA
"Galicia","25/2/2020",0,0,NA,NA,NA,NA,2020-02-25,NA
"Madrid","25/2/2020",2,2,NA,NA,NA,NA,2020-02-25,NA
"Melilla","25/2/2020",0,0,NA,NA,NA,NA,2020-02-25,NA
"Murcia","25/2/2020",0,0,NA,NA,NA,NA,2020-02-25,NA
"Navarra","25/2/2020",0,0,NA,NA,NA,NA,2020-02-25,NA
"País Vasco","25/2/2020",0,0,NA,NA,NA,NA,2020-02-25,NA
"La Rioja","25/2/2020",0,0,NA,NA,NA,NA,2020-02-25,NA
